
Q1	iCub (Imperial College London)
Q2	Philip K. Dick (Hanson Robotics)
Q3	EcceRobot (University of Zurich - AI Lab)
Q4	SnackBot (Carnegie Mellon University)
Q5	Reddy (RoboMotio)
Q6	Actroid Repilee Q2  (Osaka University, Kokoro Co. Ltd)
Q7	<unnamed> (National Taiwan University)
Q8	Aiko V1 (Project Aiko)
Q9	Pepper (Aldebaran Robotics)
Q10	Robina (Toyota)
Q11	iCub (RobotCub Consortium)
Q12	Han (Hanson Robotics)
Q13	HRP 4C “Miim” “Divabot” (National Institute of Advanced Industrial Science and Technology, Japan)
Q14	CB2 (Socially-Synergistic Intelligence group of JST ERATO Asada Project)
Q15	Kirobo (Toyota)
Q16	SociBot (Engineered Arts)
Q17	Sonny (I Robot replica)
Q18	Robot 3D
Q19	ETRO (Electronics and Telecommunications Research Institute, South Korea)
Q20	Actroid Geminoid HI2 (Osaka University, Kokoro Co. Ltd)
Q21	Baxter (Rethink Robotics)
Q22	Zeno (Hanson Robotics)
Q23	Kismet (Cynthia Breazeal, Massachusetts Institute of Technology)
Q24	EveR-4 (KITECH)
Q25	MiRAE (Casey Bennett, Indiana University)
Q26	Jules (Hanson Robotics)
Q27	Kensei (Meiji University Robot Science Laboratory)
Q28	Roppie (Industrial Technology Research Institute, Taiwan)
Q29	ASIMO (Honda)
Q30	InMoov (Gaël Langevin)
Q31	Millennia (International Robotics, Inc)
Q32	TUM-Rosie (Intelligent Autonomous Systems Group, Technical University Munich)
Q33	Atlas DRC (Boston Dynamics)
Q34	Pepper (Aldebaran Robotics)
Q35	<unnamed> (Intelligent Robotics & Mechanical System Lab, Sungkyunkwan University, Korea)
Q36	Actroid F2 (Osaka University, Kokoro Co. Ltd)
Q37	Actroid Repliee Q1 (Osaka University, Kokoro Co. Ltd)
Q38	MiP Robotic Companion (WowWee)
Q39	M1 Mobile Manipulator (Meka)
Q40	Next (Personal Robots Group, MIT Media Lab)
Q41	BINA48 (Hanson Robotics)
Q42	Hovis Genie (DST Robot Co.)
Q43	Autom (Intuitive Automata Inc.)
Q44	Maki (Laura-Ann Petitto, Gallaudet University)
Q45	iRobi Q (Yujin Robot Co., Korea)
Q46	Interactive Urban Robot “IURO” (Accrea Engineering)
Q47	Actroid Sara (Kokoro Co. Ltd)
Q48	HIRO (Kawada Industries)
Q49	WT-7RII (Humanoid Robotics Institute, Waseda University)
Q50	DARwIn-OP Gen2 (Robotis, Korea)
Q51	Qbo (Thecorpora)
Q52	Felix (Archimedes, Berlin)
Q53	RoboThespian (Engineered Arts)
Q54	Ifbot (Business Design Laboratory, Japan)
Q55	EMYS (FLASH Robotics Inc.)
Q56	Simon (Andrea Thomaz, Georgia Tech)
Q57	Tichno (VStone, Japan)
Q58	EMIEW2 (Hitachi)
Q59	Philo (http://online.liebertpub.com/doi/abs/10.1089/cyber.2012.0513)
Q60	PR2 (Willow Garage)
Q61	Aryan (Azad University, Tehran-South Campus)
Q62	<unnamed> (Mech-Dickel Studios)
Q63	Horatio “Doc” Beardsley (Robotics Institute, Carnegie Mellon University) 
Q64	T Series (Danny Choo)
Q65	Aiko Chihira (Toshiba)
Q66	Kodomoroid (Hiroshi Ishiguro, National Museum of Emerging Science and Innovation, Japan)
q67	Actroid Repliee R-1 (Osaka University)
Q68	FACE (University of Pisa)
Q69	Dion (China)
Q70	Wakamaru (Mitsubishi, Japan)
Q71	EcceRobot (Owen Holland, University of Sussex)
Q72	AILA (German Research Center for Artificial Intelligence)
Q73	Kobian (Waseda University, Japan)
Q74	Real Android Matsuken (KDDI)
Q75	Kojiro (JSK Robotics Laboratory, University of Tokyo)
Q76	LOLA (Institute of Applied Mechanics, Technische Universität München) 
Q77	Vincent (Ivan Estevez)
Q78	QRIO (Sony, Japan)
Q79	Charles (Handson Lab)
Q80	Actroid Geminoid DK (Osaka University, Kokoro/Sanrio)
Q81	Dreamer (Meka)

