Subject Number,Gender,Child/Adult,Age,Video Games,Robot Toy?,Face 1,Face 2,Face 3,Face 4,Face 5,Face 6,Face 7,Face 8,Face 9
1,M,A,39,0,N,-40,-40,0,-44,40,0,-6,0,-23
3,M,A,56,0,N,-18,0,-20,14,71,-35,-14,-13,-10
4,F,A,32,0.25,N,-55,-19,-55,27,35,0,-55,-43,-7
5,M,A,44,0,N,0,80,-17,-10,78,59,-35,40,-4
6,M,A,45,0,N,-58,41,-35,20,51,-15,-12,-8,-38
7,F,A,26,0,N,12,-10,-25,-18,13,-34,-28,-20,-26
8,F,A,61,0,N,-58,73,-6,-7,73,-43,-13,70,35
9,M,C,13,10,N,19,47,-33,32,72,-38,-70,-8,-10
10,F,A,44,0,N,-53,31,-33,19,5,-28,-38,6,25
18,F,C,12,0,N,28,44,-5,57,14,-70,-44,-53,-16
19,M,A,21,25,N,10,62,8,-74,-8,10,-25,-41,8
20,F,A,66,0,N,74,2,-16,74,74,-72,66,-3,74
21,F,A,47,0,N,33,-4,-46,43,13,-62,-46,-40,-61
24,F,C,13,3.5,N,-15,-4,0,44,70,0,-42,0,0
25,M,A,46,0,N,-53,19,-4,19,34,47,17,32,48
26,F,A,46,0,N,-21,-4,-22,29,48,5,-5,7,18
29,F,A,35,0,N,-7,51,-60,32,58,-46,-27,-12,-8
30,M,A,48,0,N,-39,8,-17,-38,38,-41,-19,-40,-58
31,F,A,41,0,N,-65,54,-45,-73,75,-3,-28,25,-15
32,M,A,44,0,N,-51,-29,-47,-12,74,40,4,-5,34
34,M,A,46,0,N,-60,12,-74,34,73,2,26,19,-14
35,F,A,52,0,N,12,-12,-42,24,15,-37,-22,-22,-7
36,F,A,43,0,N,-65,32,-64,-63,52,-49,-68,-14,-67
38,F,A,69,0,N,-36,-22,-78,22,72,-52,46,6,61
39,M,A,76,0,N,-45,26,57,-18,68,-18,-58,-58,66
41,M,A,33,0.5,N,-42,-11,-37,30,44,-18,-47,-16,-35
42,M,C,14,12,N,56,42,0,51,-6,7,-11,35,-36
44,F,A,46,0,N,54,-65,-73,56,68,-33,-73,-71,-46
45,F,A,46,0,N,-24,21,-34,-57,33,31,-7,13,-25
46,F,C,12,0,N,-11,51,-63,34,71,-23,-55,-14,-22
47,M,A,54,0,N,26,2,-26,41,12,-66,-56,-39,-64
48,F,A,47,0,N,-7,-18,-65,14,-55,-75,-9,-46,12
50,M,C,14,10,N,-11,-29,-29,-29,50,0,-32,-12,-79
51,M,C,11,1,N,0,-36,-71,54,30,0,-69,-44,-44
52,F,C,13,3,N,0,-14,0,70,33,0,63,-25,-9
2,F,A,52,0,Y,-73,2,-72,50,65,-7,-50,-6,8
11,F,C,13,0,Y,8,75,-60,-63,65,-57,-62,-35,-75
12,M,A,48,0,Y,45,51,31,46,45,53,53,44,44
13,F,A,32,0,Y,7,61,8,-28,21,73,-72,-24,-75
14,F,A,51,0,Y,-30,11,-24,-44,33,-34,-35,7,-36
15,M,C,14,2,Y,6,-22,-47,57,-37,-6,-75,-61,0
16,F,A,50,0,Y,-25,-1,-72,-52,61,-12,-7,9,3
17,F,A,44,0,Y,-36,18,-23,-59,20,-51,-34,-19,-62
22,F,A,33,0,Y,-75,64,-22,-75,-34,-47,-9,4,-57
23,F,C,13,0,Y,2,10,-9,57,40,-6,-15,-21,-32
27,M,C,12,10,Y,-40,0,21,47,-65,-53,2,0,29
28,M,A,44,0.25,Y,-42,40,15,37,-42,32,16,8,38
33,F,A,48,0,Y,-12,-7,-45,51,30,-5,-25,4,-55
37,F,A,52,0.5,Y,-8,13,-34,37,13,-9,-18,-4,61
40,F,A,54,0,Y,25,14,-14,45,-10,-37,-34,12,44
43,M,C,10,16,Y,51,9,-41,44,55,7,-41,-25,-17
49,F,C,11,5,Y,-22,-37,-72,-65,35,2,-75,-78,-77
