Subject #,Age,Gender,Profession,Recognize,1A - M(2),2A - N(5),3A - N(3),4A - M(6),5A - N(1),6A - M(4),7A blank,1B - N(2),2B - M(5),3B - M(3),4B - N(6),5B - M(1),6B - N(4),7B blank
1,71,2,1,2,,,,,,,,90,50,50,0,100,0,50
2,62,1,3,2,,,,,,,,15,60,70,50,30,40,10
3,71,2,1,1,,,,,,,,50,85,40,100,40,80,100
4,68,1,6,1,,,,,,,,60,50,40,75,30,50,20
5,48,2,1,2,,,,,,,,100,0,20,80,50,30,10
6,46,1,6,2,,,,,,,,100,20,80,80,0,50,40
7,54,1,1,2,,,,,,,,10,20,30,80,50,10,10
8,49,1,3,2,,,,,,,,100,20,10,40,50,10,20
9,48,2,3,2,,,,,,,,30,10,10,100,30,30,15
10,66,1,3,1,60,60,50,30,50,60,70,,,,,,,
11,55,1,1,2,,,,,,,,50,100,100,10,0,0,1
12,,1,1,2,,,,,,,,20,30,50,10,50,60,100
13,24,1,5,2,50,75,60,75,40,10,50,,,,,,,
14,36,2,3,2,5,5,5,5,5,5,5,,,,,,,
15,31,1,3,1,,,,,,,,80,40,60,80,40,20,60
16,40,1,3,2,20,10,20,0,30,10,10,,,,,,,
17,19,1,5,2,20,10,10,10,20,10,20,,,,,,,
18,28,2,5,1,,,,,,,,60,70,50,60,50,60,60
19,24,1,5,2,,,,,,,,99,10,50,1,75,20,7
20,27,1,5,2,,,,,,,,75,80,79,60,50,45,30
21,27,2,5,2,,,,,,,,60,40,30,20,20,60,50
22,25,2,6,2,,,,,,,,10,10,10,10,10,10,10
23,23,2,3,1,,,,,,,,100,30,30,0,55,55,100
24,22,1,5,2,10,10,10,10,10,10,0,,,,,,,
25,20,1,5,2,50,10,75,20,50,10,30,,,,,,,
26,26,,3,2,,,,,,,,50,50,30,20,0,0,30
27,31,2,5,2,,,,,,,,100,0,65,0,100,85,70
28,25,1,5,2,,,,,,,,50,10,20,60,30,10,30
29,24,2,5,1,,,,,,,,70,10,60,50,0,30,0
30,24,1,5,2,,,,,,,,20,30,30,20,40,20,20
31,26,1,5,1,,,,,,,,50,25,100,50,25,25,100
32,22,1,2,1,,,,,,,,100,20,80,20,80,50,50
33,31,2,3,2,35,60,10,25,75,90,25,,,,,,,
34,42,2,3,1,50,50,75,75,40,30,25,,,,,,,
35,37,1,1,2,60,75,70,60,80,55,50,,,,,,,
36,24,2,3,2,100,0,50,20,80,30,50,,,,,,,
