survey_code,experiment,Q32_3,Q14(1),Q14(2),Q14(3),Q14(4),Q14(5),Q14(6),Q14(7),Q14(8),Q14(9),Q25_1(1),Q25_1(2),Q25_1(3),Q25_1(4),Q25_1(5),Q25_1(6),Q25_1(7),Q25_1(8),Q25_1(9),Q20(1),Q20(2),Q20(3),Q20(4),Q20(5),Q20(6),Q20(7),Q20(8),Q20(9),Q4_1(1),Q4_2(1),Q4_3(1),Q4_4(1),Q4_1(2),Q4_2(2),Q4_3(2),Q4_4(2),Q4_1(3),Q4_2(3),Q4_3(3),Q4_4(3),Q4_1(4),Q4_2(4),Q4_3(4),Q4_4(4),Q4_1(5),Q4_2(5),Q4_3(5),Q4_4(5),Q4_1(6),Q4_2(6),Q4_3(6),Q4_4(6),Q4_1(7),Q4_2(7),Q4_3(7),Q4_4(7),Q4_1(8),Q4_2(8),Q4_3(8),Q4_4(8),Q4_1(9),Q4_2(9),Q4_3(9),Q4_4(9),Q52,Q33_1,Q33_2,Q33_3,Q33_4,Q46(1),Q46(2),Q46(3),Q46(4),Q46(5),Q46(6),Q46(7),Q46(8),Q46(9),Q47_1(1),Q47_1(2),Q47_1(3),Q47_1(4),Q47_1(5),Q47_1(6),Q47_1(7),Q47_1(8),Q47_1(9),Q49(1),Q49(2),Q49(3),Q49(4),Q49(5),Q49(6),Q49(7),Q49(8),Q49(9),Q50_1(1),Q50_2(1),Q50_3(1),Q50_4(1),Q50_1(2),Q50_2(2),Q50_3(2),Q50_4(2),Q50_1(3),Q50_2(3),Q50_3(3),Q50_4(3),Q50_1(4),Q50_2(4),Q50_3(4),Q50_4(4),Q50_1(5),Q50_2(5),Q50_3(5),Q50_4(5),Q50_1(6),Q50_2(6),Q50_3(6),Q50_4(6),Q50_1(7),Q50_2(7),Q50_3(7),Q50_4(7),Q50_1(8),Q50_2(8),Q50_3(8),Q50_4(8),Q50_1(9),Q50_2(9),Q50_3(9),Q50_4(9),Q18,Q16,Q15,Q17,Q17_1,Q17_2,Q17_3,Q17_4,Q17_5,Q17_6,Q17_7,Q17_8,Q17_9,Q36,LocationLatitude,LocationLongitude,LocationAccuracy
78548732,likeability,4.616,1,1,1,1,1,1,1,1,1,-44,42,-33,-78,13,95,58,38,-94,2,2,2,2,2,2,2,2,2,1.462,3.559,4.402,5,1.744,5.513,5.701,5,1.681,2.265,3.272,2,1.416,2.312,2.957,3,1.627,3.371,4.365,4,2.521,4.471,5.4,3,1.424,3.256,3.813,4,2.022,5.374,5.687,4,1.548,2.972,3.664,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,1,19,2,,,,,,1,,,,1,42.05859375,-87.68450165,-1
78557698,trust,7.549,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,47.605,0,1,1,1,1,1,1,1,1,1,48,48,51,50,51,50,49,51,50,2,2,2,2,2,2,2,2,2,2.208,4.943,5.797,4,1.394,2.038,4.292,2,4.694,9.069,11.128,3,1.197,2.313,2.887,3,0.84,2.632,4.201,3,1.408,2.321,3.526,2,1.16,2.164,2.885,3,0.907,1.61,2.508,2,1.754,2.458,3.407,2,Nope,2,27,5,1,,,,,,,,,1,35.46760559,-97.5164032,-1
78553569,likeability,24.323,1,1,1,1,1,1,1,1,1,-72,93,-13,47,87,82,10,14,66,2,2,2,1,2,2,2,1,2,1.927,5.227,6.183,4,2.801,5.595,6.183,2,1.725,3.893,4.785,2,6.047,8.227,9.408,2,1.922,5.256,6.33,2,3.009,5.077,5.629,2,3.849,5.769,7.004,2,1.748,3.772,4.96,2,2.027,3.799,4.909,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nope,2,30,4,,,,,,,,,1,1,39.64120483,-119.6940002,-1
78560586,likeability,2.703,1,1,1,1,1,1,1,1,1,-100,-100,-62,-100,1,100,-42,-100,-100,1,1,2,1,2,2,2,1,1,2.52,3.597,8.942,3,3.239,4.35,5.29,2,5.596,6.565,7.634,2,2.533,4.28,5.333,2,3.477,4.423,5.403,2,5.292,9.862,12.319,2,2.771,3.722,5.007,2,2.043,8.856,9.375,4,2.794,3.663,4.947,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,30,3,1,,,,,,,,,1,30.13459778,-93.27300262,-1
78598420,likeability,12.028,1,1,1,1,1,1,1,1,1,-6,54,-46,-21,-73,52,44,28,14,2,2,2,2,2,2,2,2,2,2.974,4.304,5.357,3,6.002,7.625,8.45,3,3.442,4.888,6.263,3,2.417,3.389,5.623,2,2.993,6.019,6.969,2,3.765,8.697,9.599,3,4.733,8.054,10.489,2,2.482,3.705,5.983,2,2.932,4.058,6.52,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None.,1,36,5,1,,,,,,,,,1,43.04829407,-76.29570007,-1
78592454,trust,2.106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,3.118,0,1,1,1,1,1,1,1,1,1,10,61,8,19,50,56,70,100,70,2,2,2,1,2,2,2,2,1,1.729,4.351,5.141,5,2.395,4.222,4.951,3,1.895,2.689,3.405,3,2.152,3.231,4.208,3,2.707,6.588,7.599,6,2.202,3.057,3.987,3,1.341,2.469,3.291,4,1.68,3.767,4.458,5,2.473,4.183,4.844,3,,2,25,4,1,,,,,,,,,1,36.30000305,-82.38240051,-1
78595018,likeability,5.769,1,1,1,1,1,1,1,1,1,-86,9,-61,-40,62,63,24,-81,-20,2,2,2,2,2,2,2,2,2,2.032,3.335,4.07,2,1.869,5.313,5.809,3,2.443,4.479,4.933,4,4.005,9.761,10.478,2,2.373,3.074,3.632,2,2.699,3.526,4.166,2,3.65,4.487,5.01,2,1.752,4.78,5.295,5,2.82,3.59,4.196,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,21,3,1,,,,,,,,,1,37.34860229,-121.951004,-1
78567686,likeability,5.232,1,1,1,1,1,1,1,1,1,-48,60,8,66,18,100,59,-24,-1,2,2,2,2,2,2,2,2,2,1.988,5.163,6.602,4,1.889,3.757,4.737,2,1.871,4.288,5.926,2,1.973,6.972,8.073,6,1.719,3.959,5.375,3,2.809,4.663,6.406,2,2.317,5.509,7.363,4,3.867,4.711,5.684,2,2.128,2.913,4.433,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,2,41,4,1,,,,,,,,,1,43.70530701,-84.23770142,-1
78535832,trust,6.538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,48.127,0,1,1,1,1,1,1,1,1,1,40,80,30,20,60,29,100,70,70,2,2,2,2,2,2,2,2,2,4.802,5.681,6.585,2,5.564,10.735,12.219,2,6.138,7.058,7.865,2,4.143,5.238,6.301,2,3.696,4.462,5.211,2,3.489,4.782,5.37,2,7.75,8.645,9.379,2,4.833,6.325,7.281,2,3.357,4.728,5.361,2,no,2,24,2,,1,,,,,,,,1,41.77420044,-87.71530151,-1
78599174,trust,1.999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,3.621,0,1,1,1,1,1,1,1,1,1,100,50,65,98,51,68,100,98,100,1,1,1,1,1,1,1,1,1,1.187,3.394,4.055,5,4.216,5.685,6.483,2,1.392,3.086,3.645,4,1.442,5.468,5.777,5,4.882,5.866,6.693,2,1.957,7.02,7.283,7,11.304,13.811,14.794,8,7.434,9.986,10.409,5,5.437,7.189,7.437,4,no,2,28,4,1,,,,,,,,,1,41.88020325,-87.75659943,-1
78592807,likeability,7.688,1,1,1,1,1,1,1,1,1,12,47,43,12,61,82,-32,-66,-16,1,2,2,2,2,2,2,2,2,4.192,6.647,7.608,2,3.759,4.96,5.741,2,2.731,8.338,9.977,2,5.644,8.56,9.3,3,5.023,6.771,7.674,2,5.815,14.522,15.53,5,2.014,3.574,4.913,3,3.016,5.539,6.497,2,2.692,5.362,6.693,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,31,4,1,,,,,,,,,1,38,-97,-1
78567132,likeability,23.789,1,1,1,1,1,1,1,1,1,35,10,-51,-76,-62,85,60,37,-16,2,2,2,2,1,2,2,2,2,2.954,9.683,10.423,3,4.216,5.6,6.51,2,4.221,5.629,6.849,2,4.289,5.936,9.042,2,6.803,8.328,11.646,2,8.158,14.652,18.846,3,2.243,5.677,9.963,3,14.534,15.731,17.226,2,5.895,7.299,9.54,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,There were no issues.,2,28,4,1,,,,,,,,,1,40.67050171,-74.10639954,-1
78519821,trust,40.178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,8.626,0,1,1,1,1,1,1,1,1,1,30,50,80,37,35,61,36,49,43,2,2,2,2,2,1,2,1,1,2.085,2.753,4.152,2,2.501,3.722,4.747,2,19.957,27.275,9.188,4,5.722,7.704,8.741,3,2.398,3.56,4.467,2,26.343,28.565,30.468,4,1.911,2.781,3.821,2,2.303,3.868,5.161,3,3.701,5.217,6.79,3,,2,41,4,1,,,,,,,,,1,40.5677948,-75.48280334,-1
78504272,trust,8.916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,23.963,0,1,1,1,1,1,1,1,1,1,50,50,50,50,51,50,50,50,50,2,1,2,2,2,2,2,1,2,1.909,4.642,5.651,3,2.451,3.859,5.309,2,1.984,2.944,3.924,2,4.254,5.946,7.269,2,2.021,3.604,5.964,2,11.839,13.699,15.35,2,1.728,2.768,3.669,2,3.326,4.366,5.814,2,1.888,3.343,4.319,2,no,2,32,4,,1,,,,,,,,1,26.15339661,-80.22489929,-1
78511216,trust,6.913,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,105.193,0,1,1,1,1,1,1,1,1,1,9,10,16,9,7,9,10,9,9,2,2,2,2,2,2,2,2,2,6.005,7.469,8.531,2,1.271,2.681,3.65,2,1.646,4.356,5.643,2,7.639,8.747,9.797,2,12.087,14.174,15.382,3,1.874,3.31,5.762,2,0.972,2.358,4.623,2,1.093,1.955,3.422,2,1.41,2.843,4.2,2,no,2,24,2,1,,,,,,,,,1,46.62879944,-87.479599,-1
78577037,likeability,14.185,1,1,1,1,1,1,1,1,1,-70,15,-73,-50,74,79,-30,-60,-18,2,2,2,2,2,2,2,2,2,6.221,9.811,12.318,2,7.334,8.969,10.105,2,3.533,6.863,8.981,3,4.063,7.057,9.971,3,8.297,13.892,15.222,2,7.369,9.616,19.592,2,5.688,7.698,9.024,2,4.662,10.32,12.053,3,2.952,8.488,9.45,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,2,34,4,1,,,,,,,,,1,41.11720276,-96.06109619,-1
78562382,likeability,8.831,1,1,1,1,1,1,1,1,1,21,7,-74,10,61,94,60,-29,1,2,2,2,2,2,2,2,2,2,2.372,5.965,6.468,5,4.527,5.383,5.886,2,2.694,3.885,4.769,2,5.581,6.237,7.372,2,2.533,7.99,8.563,3,2.648,3.528,4.247,2,1.73,3.728,5.256,3,8.16,17.28,18.053,3,6.27,7.03,7.633,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,none,2,33,4,,,,,,1,,,,1,42.54930115,-71.25579834,-1
78585514,trust,12.826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,97.641,0,1,1,1,1,1,1,1,1,1,10,20,0,9,15,0,30,30,10,2,2,2,2,2,2,2,2,1,4.08,4.739,5.441,2,10.837,14.738,16.545,2,5.426,8.755,4.25,3,3.761,5.138,6.068,2,4.419,5.089,5.921,2,2.677,4.174,5.682,3,4.181,5.74,6.325,2,3.033,7.074,7.688,4,3.7,6.952,7.467,3,,2,29,4,1,,,,,,,,,1,34.00689697,-118.0315018,-1
78528526,trust,16.026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,54.363,0,1,1,1,1,1,1,1,1,1,0,25,9,9,30,35,0,0,9,2,2,2,2,2,2,2,2,2,2.773,3.982,5.46,2,3.124,4.571,5.988,2,2.494,3.7,4.684,2,4.079,5.742,6.852,2,3.123,8.408,9.743,3,6.471,9.737,11.149,2,2.97,4.117,5.267,2,2.494,4.506,5.905,2,2.687,4.427,5.527,2,no,2,30,4,1,,,,,,,,,1,40.01919556,-75.09400177,-1
