V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,survey_code,experiment,Q17,Q23,Q58,Q32_1,Q32_2,Q32_3,Q32_4,Q14(1),Q14(2),Q14(3),Q14(4),Q14(5),Q14(6),Q14(7),Q14(8),Q14(9),Q25_1(1),Q25_1(2),Q25_1(3),Q25_1(4),Q25_1(5),Q25_1(6),Q25_1(7),Q25_1(8),Q25_1(9),Q20(1),Q20(2),Q20(3),Q20(4),Q20(5),Q20(6),Q20(7),Q20(8),Q20(9),Q4_1(1),Q4_2(1),Q4_3(1),Q4_4(1),Q4_1(2),Q4_2(2),Q4_3(2),Q4_4(2),Q4_1(3),Q4_2(3),Q4_3(3),Q4_4(3),Q4_1(4),Q4_2(4),Q4_3(4),Q4_4(4),Q4_1(5),Q4_2(5),Q4_3(5),Q4_4(5),Q4_1(6),Q4_2(6),Q4_3(6),Q4_4(6),Q4_1(7),Q4_2(7),Q4_3(7),Q4_4(7),Q4_1(8),Q4_2(8),Q4_3(8),Q4_4(8),Q4_1(9),Q4_2(9),Q4_3(9),Q4_4(9),Q52,Q33_1,Q33_2,Q33_3,Q33_4,Q46(1),Q46(2),Q46(3),Q46(4),Q46(5),Q46(6),Q46(7),Q46(8),Q46(9),Q47_1(1),Q47_1(2),Q47_1(3),Q47_1(4),Q47_1(5),Q47_1(6),Q47_1(7),Q47_1(8),Q47_1(9),Q49(1),Q49(2),Q49(3),Q49(4),Q49(5),Q49(6),Q49(7),Q49(8),Q49(9),Q50_1(1),Q50_2(1),Q50_3(1),Q50_4(1),Q50_1(2),Q50_2(2),Q50_3(2),Q50_4(2),Q50_1(3),Q50_2(3),Q50_3(3),Q50_4(3),Q50_1(4),Q50_2(4),Q50_3(4),Q50_4(4),Q50_1(5),Q50_2(5),Q50_3(5),Q50_4(5),Q50_1(6),Q50_2(6),Q50_3(6),Q50_4(6),Q50_1(7),Q50_2(7),Q50_3(7),Q50_4(7),Q50_1(8),Q50_2(8),Q50_3(8),Q50_4(8),Q50_1(9),Q50_2(9),Q50_3(9),Q50_4(9),Q18,Q16,Q15,Q17,Q17_1,Q17_2,Q17_3,Q17_4,Q17_5,Q17_6,Q17_7,Q17_8,Q17_9,Q36,LocationLatitude,LocationLongitude,LocationAccuracy,
ResponseID,ResponseSet,Name,ExternalDataReference,EmailAddress,IPAddress,Status,StartDate,EndDate,Finished,survey_code,experiment,Informed Consent for Participation in This Research   DESCRIPTION:  You are invited to participat...,"In this task, you will view and judge 9 robot faces, one at a time. Please take at least a few se...","Before judging the robot faces, please look at these thumbnails of all the faces you will see. Th...",Timing-First Click,Timing-Last Click,Timing-Page Submit,Timing-Click Count,${lm://Field/1} (1),${lm://Field/1} (2),${lm://Field/1} (3),${lm://Field/1} (4),${lm://Field/1} (5),${lm://Field/1} (6),${lm://Field/1} (7),${lm://Field/1} (8),${lm://Field/1} (9),  (1)-&nbsp;,  (2)-&nbsp;,  (3)-&nbsp;,  (4)-&nbsp;,  (5)-&nbsp;,  (6)-&nbsp;,  (7)-&nbsp;,  (8)-&nbsp;,  (9)-&nbsp;,Do you think you have seen this exact robot before you came to this survey (not including in the... (1),Do you think you have seen this exact robot before you came to this survey (not including in the... (2),Do you think you have seen this exact robot before you came to this survey (not including in the... (3),Do you think you have seen this exact robot before you came to this survey (not including in the... (4),Do you think you have seen this exact robot before you came to this survey (not including in the... (5),Do you think you have seen this exact robot before you came to this survey (not including in the... (6),Do you think you have seen this exact robot before you came to this survey (not including in the... (7),Do you think you have seen this exact robot before you came to this survey (not including in the... (8),Do you think you have seen this exact robot before you came to this survey (not including in the... (9),Timing (1)-First Click,Timing (1)-Last Click,Timing (1)-Page Submit,Timing (1)-Click Count,Timing (2)-First Click,Timing (2)-Last Click,Timing (2)-Page Submit,Timing (2)-Click Count,Timing (3)-First Click,Timing (3)-Last Click,Timing (3)-Page Submit,Timing (3)-Click Count,Timing (4)-First Click,Timing (4)-Last Click,Timing (4)-Page Submit,Timing (4)-Click Count,Timing (5)-First Click,Timing (5)-Last Click,Timing (5)-Page Submit,Timing (5)-Click Count,Timing (6)-First Click,Timing (6)-Last Click,Timing (6)-Page Submit,Timing (6)-Click Count,Timing (7)-First Click,Timing (7)-Last Click,Timing (7)-Page Submit,Timing (7)-Click Count,Timing (8)-First Click,Timing (8)-Last Click,Timing (8)-Page Submit,Timing (8)-Click Count,Timing (9)-First Click,Timing (9)-Last Click,Timing (9)-Page Submit,Timing (9)-Click Count,This is a collaborative project with builders of android robots that have been programmed to inte...,Timing-First Click,Timing-Last Click,Timing-Page Submit,Timing-Click Count,${lm://Field/1} (1),${lm://Field/1} (2),${lm://Field/1} (3),${lm://Field/1} (4),${lm://Field/1} (5),${lm://Field/1} (6),${lm://Field/1} (7),${lm://Field/1} (8),${lm://Field/1} (9),Wager amount ($): (1)-&nbsp;,Wager amount ($): (2)-&nbsp;,Wager amount ($): (3)-&nbsp;,Wager amount ($): (4)-&nbsp;,Wager amount ($): (5)-&nbsp;,Wager amount ($): (6)-&nbsp;,Wager amount ($): (7)-&nbsp;,Wager amount ($): (8)-&nbsp;,Wager amount ($): (9)-&nbsp;,Do you think you have seen this exact robot before you came to this survey (not including in the... (1),Do you think you have seen this exact robot before you came to this survey (not including in the... (2),Do you think you have seen this exact robot before you came to this survey (not including in the... (3),Do you think you have seen this exact robot before you came to this survey (not including in the... (4),Do you think you have seen this exact robot before you came to this survey (not including in the... (5),Do you think you have seen this exact robot before you came to this survey (not including in the... (6),Do you think you have seen this exact robot before you came to this survey (not including in the... (7),Do you think you have seen this exact robot before you came to this survey (not including in the... (8),Do you think you have seen this exact robot before you came to this survey (not including in the... (9),Timing (1)-First Click,Timing (1)-Last Click,Timing (1)-Page Submit,Timing (1)-Click Count,Timing (2)-First Click,Timing (2)-Last Click,Timing (2)-Page Submit,Timing (2)-Click Count,Timing (3)-First Click,Timing (3)-Last Click,Timing (3)-Page Submit,Timing (3)-Click Count,Timing (4)-First Click,Timing (4)-Last Click,Timing (4)-Page Submit,Timing (4)-Click Count,Timing (5)-First Click,Timing (5)-Last Click,Timing (5)-Page Submit,Timing (5)-Click Count,Timing (6)-First Click,Timing (6)-Last Click,Timing (6)-Page Submit,Timing (6)-Click Count,Timing (7)-First Click,Timing (7)-Last Click,Timing (7)-Page Submit,Timing (7)-Click Count,Timing (8)-First Click,Timing (8)-Last Click,Timing (8)-Page Submit,Timing (8)-Click Count,Timing (9)-First Click,Timing (9)-Last Click,Timing (9)-Page Submit,Timing (9)-Click Count,Did you experience any confusion or technical problems with this questionnaire? (Your answer will...,Sex:,Age (years):,Highest educational level:,Ethnicity (check all that apply):-Caucasian,Ethnicity (check all that apply):-Black/African American,Ethnicity (check all that apply):-Middle Eastern,Ethnicity (check all that apply):-Pacific Islander,Ethnicity (check all that apply):-South Asian,Ethnicity (check all that apply):-East Asian,Ethnicity (check all that apply):-Southeast Asian,Ethnicity (check all that apply):-Native American,Ethnicity (check all that apply):-Hispanic,Thank you for taking part in this study. Your validation code for mTurk is ...,LocationLatitude,LocationLongitude,LocationAccuracy,
R_0dE8uDHCUm0l1Ih,Default Response Set,Anonymous,,,165.124.222.92,0,2015-08-27 11:21:43,2015-08-27 11:23:23,1,78548732,likeability,1,1,1,0,0,4.616,0,1,1,1,1,1,1,1,1,1,-44,42,-33,-78,13,95,58,38,-94,2,2,2,2,2,2,2,2,2,1.462,3.5589999999999997,4.402,5,1.744,5.513,5.701,5,1.681,2.265,3.272,2,1.416,2.312,2.957,3,1.627,3.3709999999999996,4.365,4,2.521,4.471,5.4,3,1.424,3.256,3.813,4,2.022,5.374,5.687,4,1.548,2.9719999999999995,3.664,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,1,19,2,,,,,,1,,,,1,42.05859375,-87.684501647949,-1,
R_aguvJZ9lb4OI3w9,Default Response Set,Anonymous,,,72.198.172.147,0,2015-08-27 11:21:40,2015-08-27 11:24:08,1,78557698,trust,1,,1,0,0,7.549,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,47.605,0,1,1,1,1,1,1,1,1,1,48,48,51,50,51,50,49,51,50,2,2,2,2,2,2,2,2,2,2.208,4.9430000000000005,5.797,4,1.394,2.038,4.292,2,4.694,9.069,11.128,3,1.197,2.313,2.887,3,0.84,2.6319999999999997,4.201,3,1.408,2.3209999999999997,3.526,2,1.16,2.164,2.885,3,0.907,1.6099999999999999,2.508,2,1.754,2.458,3.407,2,Nope,2,27,5,1,,,,,,,,,1,35.46760559082,-97.516403198242,-1,
R_0ihCeQ1lYz29kBn,Default Response Set,Anonymous,,,71.94.0.9,0,2015-08-27 11:22:08,2015-08-27 11:24:17,1,78553569,likeability,1,1,1,0,0,24.323,0,1,1,1,1,1,1,1,1,1,-72,93,-13,47,87,82,10,14,66,2,2,2,1,2,2,2,1,2,1.927,5.226999999999999,6.183,4,2.801,5.595000000000001,6.183,2,1.725,3.8930000000000002,4.785,2,6.047,8.227,9.408,2,1.922,5.256,6.33,2,3.009,5.077,5.629,2,3.849,5.769,7.004,2,1.748,3.7720000000000002,4.96,2,2.027,3.7990000000000004,4.909,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nope,2,30,4,,,,,,,,,1,1,39.641204833984,-119.69400024414,-1,
R_01Abd2DB4Ub5Dnv,Default Response Set,Anonymous,,,173.217.96.226,0,2015-08-27 11:22:43,2015-08-27 11:24:45,1,78560586,likeability,1,1,1,0,0,2.703,0,1,1,1,1,1,1,1,1,1,-100,-100,-62,-100,1,100,-42,-100,-100,1,1,2,1,2,2,2,1,1,2.52,3.597,8.942,3,3.239,4.35,5.29,2,5.596,6.565,7.634,2,2.533,4.28,5.333,2,3.477,4.423,5.403,2,5.292,9.862,12.319,2,2.771,3.722,5.007,2,2.043,8.856,9.375,4,2.794,3.6630000000000002,4.947,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,30,3,1,,,,,,,,,1,30.13459777832,-93.273002624512,-1,
R_3xGhuGhn7UcX5pb,Default Response Set,Anonymous,,,67.249.217.250,0,2015-08-27 11:22:36,2015-08-27 11:24:58,1,78598420,likeability,1,1,1,0,0,12.028,0,1,1,1,1,1,1,1,1,1,-6,54,-46,-21,-73,52,44,28,14,2,2,2,2,2,2,2,2,2,2.974,4.304,5.357,3,6.002,7.625,8.45,3,3.442,4.888,6.263,3,2.417,3.389,5.623,2,2.993,6.019,6.969,2,3.765,8.697,9.599,3,4.733,8.054,10.489,2,2.482,3.705,5.983,2,2.932,4.058,6.52,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None.,1,36,5,1,,,,,,,,,1,43.048294067383,-76.295700073242,-1,
R_4I2VbAnBuJUf5MV,Default Response Set,Anonymous,,,76.7.157.23,0,2015-08-27 11:23:35,2015-08-27 11:25:02,1,78592454,trust,1,,1,0,0,2.106,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,3.118,0,1,1,1,1,1,1,1,1,1,10,61,8,19,50,56,70,100,70,2,2,2,1,2,2,2,2,1,1.729,4.351,5.141,5,2.395,4.2219999999999995,4.951,3,1.895,2.689,3.405,3,2.152,3.231,4.208,3,2.707,6.588,7.599,6,2.202,3.057,3.987,3,1.341,2.4690000000000003,3.291,4,1.68,3.767,4.458,5,2.473,4.183,4.844,3,,2,25,4,1,,,,,,,,,1,36.300003051758,-82.382400512695,-1,
R_0IFvDfcCMnnYTfD,Default Response Set,Anonymous,,,50.136.199.43,0,2015-08-27 11:23:17,2015-08-27 11:25:03,1,78595018,likeability,1,1,1,0,0,5.769,0,1,1,1,1,1,1,1,1,1,-86,9,-61,-40,62,63,24,-81,-20,2,2,2,2,2,2,2,2,2,2.032,3.335,4.07,2,1.869,5.313000000000001,5.809,3,2.443,4.479,4.933,4,4.005,9.761,10.478,2,2.373,3.0740000000000003,3.632,2,2.699,3.526,4.166,2,3.65,4.487,5.01,2,1.752,4.78,5.295,5,2.82,3.59,4.196,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,21,3,1,,,,,,,,,1,37.348602294922,-121.95100402832,-1,
R_cImD2Av6au98zjv,Default Response Set,Anonymous,,,68.188.244.162,0,2015-08-27 11:22:26,2015-08-27 11:25:07,1,78567686,likeability,1,1,1,0,0,5.232,0,1,1,1,1,1,1,1,1,1,-48,60,8,66,18,100,59,-24,-1,2,2,2,2,2,2,2,2,2,1.988,5.162999999999999,6.602,4,1.889,3.757,4.737,2,1.871,4.288,5.926,2,1.973,6.972,8.073,6,1.719,3.9590000000000005,5.375,3,2.809,4.663,6.406,2,2.317,5.5089999999999995,7.363,4,3.867,4.711,5.684,2,2.128,2.9130000000000003,4.433,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,2,41,4,1,,,,,,,,,1,43.705307006836,-84.237701416016,-1,
R_bCrkqzWpT6iCizz,Default Response Set,Anonymous,,,73.209.223.28,0,2015-08-27 11:22:50,2015-08-27 11:25:25,1,78535832,trust,1,,1,0,0,6.538,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,48.127,0,1,1,1,1,1,1,1,1,1,40,80,30,20,60,29,100,70,70,2,2,2,2,2,2,2,2,2,4.802,5.680999999999999,6.585,2,5.564,10.735,12.219,2,6.138,7.058,7.865,2,4.143,5.2379999999999995,6.301,2,3.696,4.462,5.211,2,3.489,4.782,5.37,2,7.75,8.645,9.379,2,4.833,6.325,7.281,2,3.357,4.728,5.361,2,no,2,24,2,,1,,,,,,,,1,41.774200439453,-87.715301513672,-1,
