"","survey_code","rating.variable","excluded","problems","age","educ","caucasian","hisp","black","middle.east","pacific.isl","native.am","south.asian","east.asian","southeast.asian","main.rating","emot","time.spent","face","female","seen.face.before"
"57540092.2",57540092,"human-like","","",21,"c.2.Yr.Coll",0,1,0,0,0,0,0,0,0,100,65,10.576,"2",0,0
"90848727.2",90848727,"human-like","","no",18,"b.HS.only",1,0,0,0,0,0,0,0,0,100,19,6.495,"2",0,0
"52139761.2",52139761,"mechanical","","no",25,"d.4.Yr.Coll",1,0,0,0,0,0,0,0,0,10,-31,5.941,"2",0,0
"22126544.2",22126544,"human-like","","I wasn't sure if the last question (Do you think you've seen this face before this survey) applied to previous questions or more generally in my life. ",19,"b.HS.only",1,0,0,0,0,0,0,0,0,100,29,5.85,"2",0,0
"98199656.2",98199656,"mechanical","","no",19,"b.HS.only",1,0,0,0,0,0,0,0,0,0,10,10.316,"2",1,0
"87459225.2",87459225,"human-like","","None",25,"d.4.Yr.Coll",0,0,0,0,0,1,0,0,0,100,23,7.016,"2",0,0
"30229826.2",30229826,"human-like","","None",51,"c.2.Yr.Coll",1,0,0,0,0,0,0,0,0,100,50,7.993,"2",0,0
"11142631.2",11142631,"mechanical","","no",27,"d.4.Yr.Coll",1,0,0,0,0,0,0,0,0,0,-19,12.363,"2",1,0
"67914440.2",67914440,"human-like","","No.",20,"b.HS.only",1,0,0,0,0,0,0,0,0,100,55,4.514,"2",1,0
"46031764.2",46031764,"human-like","","no",50,"b.HS.only",1,0,0,0,0,0,0,0,0,95,35,16.199,"2",1,0
"99445757.2",99445757,"human-like","","No",36,"d.4.Yr.Coll",1,0,0,0,0,0,0,0,0,97,19,11.52,"2",0,0
"87786538.2",87786538,"mechanical","","no. ",32,"Post.Grad.Degree",1,0,0,0,0,0,0,0,0,0,77,6.083,"2",0,0
"85547776.2",85547776,"human-like","","No. It was pretty straightforward.",42,"d.4.Yr.Coll",1,0,0,0,0,0,0,0,0,100,66,10.776,"2",1,0
"19071077.2",19071077,"mechanical","","",22,"d.4.Yr.Coll",1,0,0,0,0,0,0,0,0,2,43,12.097,"2",0,0
"36796684.2",36796684,"mechanical","","no",55,"b.HS.only",1,0,0,0,0,0,0,0,0,0,37,11.147,"2",0,0
"92872603.2",92872603,"mechanical","","No I did not. ",27,"c.2.Yr.Coll",1,0,0,0,0,0,0,0,0,13,76,8.76,"2",0,0
"25132135.2",25132135,"mechanical","","more confusion than anything.  some faces were extremely lifelike!",27,"d.4.Yr.Coll",1,0,0,0,0,0,0,0,0,0,25,7.049,"2",0,0
"29677744.2",29677744,"human-like","","No",37,"b.HS.only",1,0,0,0,0,0,0,0,0,100,14,11.286,"2",1,0
"21575119.2",21575119,"human-like","","",21,"c.2.Yr.Coll",1,0,0,0,0,1,0,0,0,100,-17,10.895,"2",1,0
"17350089.2",17350089,"mechanical","","No, I didn't have any problems.",43,"b.HS.only",1,0,0,0,0,1,0,1,0,0,40,17.83,"2",1,0
"78584558.2",78584558,"human-like","","no",61,"d.4.Yr.Coll",1,0,0,0,0,0,0,0,0,85,70,14.188,"2",1,0
"35118750.2",35118750,"human-like","","None",35,"b.HS.only",1,0,0,0,0,0,0,0,0,100,30,10.772,"2",0,0
"19405606.2",19405606,"human-like","","None.",39,"d.4.Yr.Coll",1,0,0,0,0,0,0,0,0,100,50,11.744,"2",1,0
