"","id","experiment","problems","too.many.faces","age","educ","caucasian","hisp","black","middle.east","pacific.isl","native.am","south.asian","east.asian","southeast.asian","female","exclude","time","main.rating","time.spent","seen.before","face"
"QTRX65292510.1","QTRX65292510","likeability","Nope",0,34,"c.2.Yr.Coll",1,0,0,0,0,0,0,0,0,0,"no",1,-15,7.056,2,"2"
"QTRX25521074.1","QTRX25521074","likeability","no",1,28,"d.4.Yr.Coll",1,0,0,0,0,0,0,0,0,0,"no",1,-63,5.725,2,"2"
"QTRX78247020.1","QTRX78247020","likeability","no",0,23,"b.HS.only",0,0,0,0,1,0,0,0,0,0,"no",1,38,20.157,2,"2"
"QTRX98338939.1","QTRX98338939","likeability","No",0,32,"c.2.Yr.Coll",1,0,0,0,0,0,0,0,0,1,"no",1,-38,9.516,2,"2"
"QTRX88434587.1","QTRX88434587","likeability","No",0,30,"d.4.Yr.Coll",1,0,0,0,0,0,0,0,0,0,"no",1,-100,22.015,2,"2"
"QTRX78070121.1","QTRX78070121","likeability","no",1,21,"b.HS.only",1,0,0,0,0,0,0,0,0,0,"no",1,-100,8.275,2,"2"
"QTRX36980247.1","QTRX36980247","likeability","",0,24,"c.2.Yr.Coll",1,0,0,0,0,0,0,0,0,1,"no",1,-21,16.08,2,"2"
"QTRX67188010.1","QTRX67188010","likeability","",0,29,"c.2.Yr.Coll",1,0,0,0,0,0,0,0,0,1,"no",1,-100,5.811,2,"2"
"QTRX48350058.1","QTRX48350058","likeability","No",0,24,"d.4.Yr.Coll",1,0,0,0,0,0,0,0,0,0,"no",1,63,5.424,2,"2"
"QTRX31664716.1","QTRX31664716","likeability","n",0,22,"d.4.Yr.Coll",1,0,0,0,0,0,0,0,0,1,"no",1,3,4.853,2,"2"
"QTRX48772191.1","QTRX48772191","likeability","no",0,31,"d.4.Yr.Coll",1,0,0,0,0,0,0,0,0,0,"no",1,63,6.524,2,"2"
"QTRX21605429.1","QTRX21605429","likeability","No",0,25,"d.4.Yr.Coll",1,0,0,0,0,0,0,0,0,0,"no",1,53,3.079,2,"2"
"QTRX53304542.1","QTRX53304542","likeability","No",0,30,"d.4.Yr.Coll",1,0,0,0,0,0,0,0,0,0,"no",1,4,8.183,2,"2"
"QTRX80669090.1","QTRX80669090","likeability","No",0,26,"d.4.Yr.Coll",1,0,0,0,0,0,0,0,0,1,"no",1,100,5.089,2,"2"
"QTRX90961196.1","QTRX90961196","likeability","No",0,53,"d.4.Yr.Coll",1,0,0,0,0,0,0,0,0,1,"no",1,95,17,2,"2"
"QTRX59352522.1","QTRX59352522","likeability","No",0,38,"Post.Grad.Degree",1,1,0,0,0,0,0,0,0,1,"no",1,20,11.785,2,"2"
"QTRX69916514.1","QTRX69916514","likeability","no",0,57,"d.4.Yr.Coll",1,0,0,0,0,0,0,0,0,0,"no",1,23,7.957,2,"2"
"QTRX50652976.1","QTRX50652976","likeability","No",0,32,"d.4.Yr.Coll",1,0,0,0,0,0,0,0,0,0,"no",1,0,10.369,2,"2"
"QTRX98285732.1","QTRX98285732","likeability","",0,28,"d.4.Yr.Coll",0,0,0,0,0,0,0,0,1,0,"no",1,1,9.271,2,"2"
"QTRX37496717.1","QTRX37496717","likeability","no issues",0,33,"b.HS.only",1,0,0,0,0,0,0,0,0,0,"no",1,0,8.228,2,"2"
"QTRX10917492.1","QTRX10917492","likeability","No confusion or technical problems occurred",0,23,"d.4.Yr.Coll",0,1,0,0,0,1,0,0,0,1,"no",1,74,15.898,2,"2"
"QTRX98180935.1","QTRX98180935","likeability","",0,19,"c.2.Yr.Coll",1,0,0,0,0,0,0,0,0,0,"no",1,0,9.984,2,"2"
"QTRX17943364.1","QTRX17943364","likeability","No",0,23,"b.HS.only",1,0,0,0,0,0,0,0,0,1,"no",1,-21,6.374,2,"2"
"QTRX91104654.1","QTRX91104654","likeability","nope",0,39,"b.HS.only",1,0,0,0,0,0,0,0,0,0,"no",1,-50,10.008,2,"2"
"QTRX77242402.1","QTRX77242402","likeability","Nope!",0,24,"Post.Grad.Degree",1,0,0,0,0,0,0,0,0,0,"no",1,-47,6.7,2,"2"
"QTRX81924240.1","QTRX81924240","likeability","",0,28,"b.HS.only",1,0,0,0,0,0,0,0,0,0,"no",1,82,5.047,2,"2"
"QTRX78989910.1","QTRX78989910","likeability","No",0,25,"c.2.Yr.Coll",1,0,0,0,0,0,0,0,0,1,"no",1,100,6.284,2,"2"
"QTRX25347010.1","QTRX25347010","likeability","No",0,24,"Post.Grad.Degree",1,0,0,0,0,0,0,0,0,0,"no",1,-41,9.656,2,"2"
"QTRX29619820.1","QTRX29619820","likeability","No problems.  One of those early ones was fricking hideous, though. As in, call the army and destroy it. As in, if we're taken over by evil robot overlords, it'd be that one, in charge of the revolt.",0,37,"b.HS.only",1,0,0,0,0,0,0,0,0,0,"no",1,75,17.421,2,"2"
"QTRX12120265.1","QTRX12120265","likeability","Nope!",0,34,"Post.Grad.Degree",1,0,0,0,0,0,0,0,0,0,"no",1,49,9.531,1,"2"
"QTRX30470836.1","QTRX30470836","likeability","No problems but that female face is going to creep out lots of people.",0,50,"b.HS.only",1,0,0,0,0,0,0,0,0,0,"no",1,65,62.806,2,"2"
"QTRX42469612.1","QTRX42469612","likeability","No confusion or problems. ",0,26,"d.4.Yr.Coll",0,0,0,0,0,1,0,0,0,0,"no",1,1,8.788,2,"2"
"QTRX35500213.1","QTRX35500213","likeability","No",0,20,"b.HS.only",1,0,0,0,0,0,0,0,0,1,"no",1,-25,8.408,2,"2"
"QTRX29688075.1","QTRX29688075","likeability","no",0,34,"d.4.Yr.Coll",1,0,0,0,0,0,0,0,0,0,"no",1,67,5.318,1,"2"
"QTRX94373940.1","QTRX94373940","likeability","no",1,64,"b.HS.only",1,0,0,0,0,0,0,0,0,0,"no",1,-43,7.621,1,"2"
"QTRX37715178.1","QTRX37715178","likeability","No",0,24,"c.2.Yr.Coll",1,0,0,0,0,0,0,0,0,1,"no",1,-41,5.808,2,"2"
"QTRX19089714.1","QTRX19089714","likeability","",0,50,"a.No.HS",1,0,0,0,0,0,0,0,0,0,"no",1,-2,7.735,2,"2"
"QTRX23539077.1","QTRX23539077","likeability","no, none",0,47,"b.HS.only",1,0,0,0,0,0,0,0,0,0,"no",1,70,3.106,2,"2"
"QTRX48848377.1","QTRX48848377","likeability","None",0,40,"d.4.Yr.Coll",0,1,0,0,0,0,0,0,0,1,"no",1,-4,7.857,2,"2"
"QTRX37787483.1","QTRX37787483","likeability","No",0,27,"Post.Grad.Degree",1,0,0,0,0,0,0,0,0,0,"no",1,30,9.869,2,"2"
