"","id","experiment","problems","too.many.faces","age","educ","caucasian","hisp","black","middle.east","pacific.isl","native.am","south.asian","east.asian","southeast.asian","female","exclude","time","main.rating","time.spent","seen.before","face"
"QTRX70286191.1","QTRX70286191","trust","no",0,46,"c.2.Yr.Coll",1,0,0,0,0,0,0,0,0,0,"no",1,42,5.969,2,"2"
"QTRX72521536.1","QTRX72521536","trust","No",0,34,"d.4.Yr.Coll",1,0,0,0,0,0,0,0,0,0,"no",1,10,8.664,2,"2"
"QTRX93970948.1","QTRX93970948","trust","none",0,47,"Post.Grad.Degree",1,0,0,0,0,0,0,0,0,0,"no",1,20,10.833,2,"2"
"QTRX63762556.1","QTRX63762556","trust","The instructions were clear but the lack of explanation of why I was doing these tasks was a little confusing. ",0,31,"b.HS.only",1,0,0,0,0,0,0,0,0,1,"no",1,9,14.808,2,"2"
"QTRX81445432.1","QTRX81445432","trust","no",0,53,"c.2.Yr.Coll",1,0,0,0,0,0,0,0,0,1,"no",1,30,13.158,2,"2"
"QTRX50915451.1","QTRX50915451","trust","no",0,36,"c.2.Yr.Coll",0,1,0,0,0,0,0,0,0,1,"no",1,15,12.421,2,"2"
"QTRX19567508.1","QTRX19567508","trust","No problems.  ",0,38,"Post.Grad.Degree",1,0,0,0,0,0,0,0,0,1,"no",1,24,10.89,2,"2"
"QTRX65419860.1","QTRX65419860","trust","No",0,43,"d.4.Yr.Coll",1,0,0,0,0,0,0,0,0,1,"no",1,5,14.528,2,"2"
"QTRX69734106.1","QTRX69734106","trust","no",0,27,"d.4.Yr.Coll",0,0,0,0,0,0,0,0,1,0,"no",1,19,6.553,2,"2"
"QTRX38082285.1","QTRX38082285","trust","no",1,30,"c.2.Yr.Coll",1,0,0,0,0,0,0,0,0,0,"no",1,79,3.291,2,"2"
"QTRX10316751.1","QTRX10316751","trust","no",0,25,"b.HS.only",0,1,0,0,0,0,0,0,0,1,"no",1,0,7.273,2,"2"
"QTRX61259365.1","QTRX61259365","trust","No problems",0,29,"b.HS.only",0,0,0,0,0,0,0,0,1,0,"no",1,75,7.473,2,"2"
"QTRX17312992.1","QTRX17312992","trust","no",0,36,"d.4.Yr.Coll",1,0,0,0,0,0,0,0,0,0,"no",1,30,9.455,2,"2"
"QTRX74974159.1","QTRX74974159","trust","Nah ",0,27,"b.HS.only",1,0,0,0,0,0,0,0,0,0,"no",1,30,14.684,2,"2"
"QTRX78266396.1","QTRX78266396","trust","No I did not experience any confusion although I'm curious as to what see the faces before had to do with the study.",0,21,"b.HS.only",0,1,0,0,0,0,0,0,0,1,"no",1,84,14.497,1,"2"
"QTRX88764574.1","QTRX88764574","trust","N/A",0,36,"b.HS.only",1,0,0,0,0,0,0,0,0,0,"no",1,100,20.693,2,"2"
