"","face","mean.human","mean.mech","mean.emot","time","time.sd","low.emot","like.mean","like.sd","trust.mean","trust.sd","composite","nadir.dist","like.adj.mean","trust.adj.mean","emot.valence"
"2",3,2,99.2121212121212,-6.42622950819672,11.0315,5.82127368964018,1,-36.4366197183099,42.4973049210573,36.5142857142857,32.4947009535726,-97.2121212121212,133.696221212121,-34.9160991917214,33.6866372424493,NA
"70",71,1.60606060606061,98.6969696969697,-6.58730158730159,9.7355,10.5832808683097,1,-33.3950617283951,44.1482386433326,36.5396825396825,32.3916682820003,-97.0909090909091,133.575009090909,-33.6218262326175,36.1893349924937,NA
"32",33,2.09090909090909,99.030303030303,-4.68253968253968,9.9285,11.8199707034551,1,-13.3283582089552,42.1344845665391,33.830985915493,30.6225807979728,-96.9393939393939,133.423493939394,-13.5942576908952,35.112193267635,NA
"31",32,2.84848484848485,98.3333333333333,-7.69354838709677,9.591,11.1990957947943,1,-7.22058823529412,39.8241828534789,36.9375,29.1699317900286,-95.4848484848485,131.968948484848,-6.85152356801964,34.6264954916971,NA
"75",76,3.87878787878788,98.3333333333333,-3.14516129032258,10.2115,12.781372485553,1,-1.16923076923077,50.5814841464892,39.140625,32.7960833838045,-94.4545454545454,130.938645454545,0.851417170026034,36.3043674405255,NA
"47",48,4.78787878787879,98.5757575757576,-2.38095238095238,9.871,8.15213691012354,1,-1.98507462686567,40.0615029209118,37.1772151898734,34.478071624072,-93.7878787878788,130.271978787879,-0.907108113409365,38.452902285106,NA
"59",60,3.51515151515152,96.6363636363636,-0.85,10.9825,17.9847100740218,1,11,37.7697196724828,42.5645161290323,31.6241352983538,-93.1212121212121,129.605312121212,8.2371367511168,41.0515713267035,NA
"61",62,3.81818181818182,95.9393939393939,2.52380952380952,9.9245,10.7535714601577,1,21.9538461538462,34.5101573676282,50.6507936507937,34.0593214611245,-92.1212121212121,128.605312121212,20.1102548360927,46.8977099094409,NA
"24",25,11.8181818181818,96.1212121212121,6.390625,12.057,11.3392639478196,1,-11.7971014492754,39.5249659411785,36.7792207792208,31.7111234745224,-84.3030303030303,120.78713030303,-10.443742133559,35.939259629606,NA
"22",23,14.4545454545455,95.4545454545455,30.0461538461538,11.891,8.98289285077649,0,-20.2698412698413,43.9384490120817,36.5961538461538,29.0336246009013,-81,117.4841,-22.8765572848538,42.2776550543511,"pos"
"58",59,12.0909090909091,92.969696969697,50.0606060606061,12.169,12.4686405672994,0,13.3559322033898,43.8700128168097,44.8524590163934,31.949353705291,-80.8787878787879,117.362887878788,10.6218075772154,47.3409390029623,"pos"
"37",38,10.1818181818182,88.8484848484848,-3.171875,9.8135,16.6535780599986,1,17.25,42.5567781332112,40.7428571428571,31.4249442665092,-78.6666666666666,115.150766666667,14.5016720755246,39.3161108075938,NA
"51",52,18.5757575757576,95.3333333333333,-27.1363636363636,11.585,8.55076576306075,1,-41.4909090909091,40.6050866760935,32.280701754386,28.3704791149715,-76.7575757575757,113.241675757576,-43.656408375661,32.8229623990836,"neg"
"60",61,16.7272727272727,92.2727272727273,12.6212121212121,13.063,12.2572180018926,0,-38.4705882352941,48.1050321447461,42.4675324675325,32.1728818529815,-75.5454545454546,112.029554545455,-36.6928823388555,39.9963926461239,"pos"
"27",28,12.8484848484848,88.3333333333333,-0.40625,9.647,39.9661051779226,1,31.515625,35.2330076966075,40.6338028169014,31.536029026505,-75.4848484848485,111.968948484848,31.402536623231,40.2222395334494,NA
"54",55,17.4242424242424,90.9090909090909,-48.8787878787879,10.9615,8.48943724187198,1,-45.3207547169811,37.9852064244984,33.15625,32.9097943398628,-73.4848484848485,109.968948484848,-48.344804458742,30.2430832512589,"neg"
"20",21,13.1212121212121,85.969696969697,-15.7878787878788,13.5525,9.22255268860918,1,0.339622641509434,36.4717716957114,42.9411764705882,33.093662807224,-72.8484848484849,109.332584848485,1.81312360723287,40.7119448094971,"neg"
"49",50,12.9393939393939,85.6969696969697,1.6,10.727,9.75160281757081,1,26.3888888888889,43.1569541523239,46.2264150943396,34.3262859075811,-72.7575757575758,109.241675757576,28.2316329589214,41.2478607713298,NA
"77",78,15.3333333333333,87.6363636363636,-0.634920634920635,12.399,8.08915976903644,1,13.7924528301887,28.7919316225958,39.4142857142857,29.4901078266481,-72.3030303030303,108.78713030303,14.3733671527445,43.4143953317155,NA
"44",45,15.2121212121212,87.3333333333333,29.7692307692308,11.0125,20.0034379592254,0,16.0428571428571,43.0434346571082,41.9850746268657,33.1664729112568,-72.1212121212121,108.605312121212,19.5728369788672,40.6709753814603,"pos"
"38",39,17.2424242424242,87.969696969697,-2.28125,11.241,7.8552824799829,1,-8.015625,44.0474103116032,37.44,27.3289471321409,-70.7272727272728,107.211372727273,-9.31768996728654,36.0306970816329,NA
"3",4,14.7272727272727,85.3030303030303,-4.17460317460317,10.819,8.7033705562229,1,10.046511627907,36.7701700323536,38.5666666666667,29.2002824845093,-70.5757575757576,107.059857575758,8.42827331321966,39.3590440464127,NA
"18",19,15.9090909090909,86.030303030303,15.7878787878788,11.9335,7.72126395635345,0,-9.43137254901961,45.3419253680127,39.96875,31.2038707153303,-70.1212121212121,106.605312121212,-11.5640356097414,38.9711388334207,"pos"
