"","id","experiment","problems","age","educ","caucasian","hisp","black","middle.east","pacific.isl","native.am","south.asian","east.asian","southeast.asian","female","face","time","seen","main.rating","time.spent","seen.before"
"78548732.1",78548732,"likeability","None",19,"b.HS.only",0,0,0,0,0,1,0,0,0,1,"a.Cog",1,1,-44,4.402,2
"78553569.1",78553569,"likeability","Nope",30,"d.4.Yr.Coll",0,0,0,0,0,0,0,0,1,0,"a.Cog",1,1,-72,6.183,2
"78560586.1",78560586,"likeability","",30,"c.2.Yr.Coll",1,0,0,0,0,0,0,0,0,1,"a.Cog",1,1,-100,8.942,1
"78598420.1",78598420,"likeability","None.",36,"Post.Grad.Degree",1,0,0,0,0,0,0,0,0,1,"a.Cog",1,1,-6,5.357,2
"78595018.1",78595018,"likeability","",21,"c.2.Yr.Coll",1,0,0,0,0,0,0,0,0,0,"a.Cog",1,1,-86,4.07,2
"78567686.1",78567686,"likeability","None",41,"d.4.Yr.Coll",1,0,0,0,0,0,0,0,0,0,"a.Cog",1,1,-48,6.602,2
"78592807.1",78592807,"likeability","",31,"d.4.Yr.Coll",1,0,0,0,0,0,0,0,0,0,"a.Cog",1,1,12,7.608,1
"78567132.1",78567132,"likeability","There were no issues.",28,"d.4.Yr.Coll",1,0,0,0,0,0,0,0,0,0,"a.Cog",1,1,35,10.423,2
"78577037.1",78577037,"likeability","No",34,"d.4.Yr.Coll",1,0,0,0,0,0,0,0,0,0,"a.Cog",1,1,-70,12.318,2
"78562382.1",78562382,"likeability","none",33,"d.4.Yr.Coll",0,0,0,0,0,1,0,0,0,0,"a.Cog",1,1,21,6.468,2
"78587011.1",78587011,"likeability","No.",28,"b.HS.only",1,0,0,0,0,0,0,0,0,1,"a.Cog",1,1,-100,5.286,2
"78598192.1",78598192,"likeability","no",43,"b.HS.only",1,0,0,0,0,0,0,0,0,1,"a.Cog",1,1,-100,15.131,2
"78505451.1",78505451,"likeability","none",43,"d.4.Yr.Coll",0,0,0,0,1,0,0,0,0,1,"a.Cog",1,1,34,9.17,2
"78541780.1",78541780,"likeability","No",36,"b.HS.only",1,0,0,0,0,0,0,0,0,1,"a.Cog",1,1,43,27.065,2
"78506673.1",78506673,"likeability","no",40,"c.2.Yr.Coll",1,0,0,0,0,0,1,0,0,1,"a.Cog",1,1,-80,6.301,2
"78553493.1",78553493,"likeability","None.",25,"d.4.Yr.Coll",1,0,0,0,0,0,0,0,0,1,"a.Cog",1,1,-63,17.592,1
"78516276.1",78516276,"likeability","",23,"d.4.Yr.Coll",1,0,0,0,0,0,0,0,0,0,"a.Cog",1,1,-100,6.375,1
"78579435.1",78579435,"likeability","No",29,"b.HS.only",1,0,0,0,0,0,0,0,0,0,"a.Cog",1,1,61,4.254,2
"78510069.1",78510069,"likeability","No.",30,"d.4.Yr.Coll",1,0,0,0,0,0,0,0,0,0,"a.Cog",1,1,19,6.082,2
"78557263.1",78557263,"likeability","No. Movement (GIFs) of the robots would be more telling, I think. ",28,"c.2.Yr.Coll",1,0,0,0,1,0,0,0,0,0,"a.Cog",1,1,-40,9.926,2
"78575386.1",78575386,"likeability","",32,"d.4.Yr.Coll",1,0,0,0,0,0,0,0,0,0,"a.Cog",1,1,-41,10.089,2
"78519815.1",78519815,"likeability","",24,"d.4.Yr.Coll",1,0,0,0,0,0,0,0,0,1,"a.Cog",1,1,-63,5.555,2
"78516834.1",78516834,"likeability","Not _exactly, but there was an iFrame error and this popped up inside the turk window, which is mildly awkward.",43,"Post.Grad.Degree",1,0,0,0,0,0,0,0,0,0,"a.Cog",1,1,-34,8.977,2
"78575643.1",78575643,"likeability","no",61,"c.2.Yr.Coll",1,0,0,0,0,0,0,0,0,0,"a.Cog",1,1,-84,14.141,2
"78574455.1",78574455,"likeability","No",28,"b.HS.only",1,0,0,0,0,0,0,0,0,1,"a.Cog",1,1,-20,10.586,2
"78594280.1",78594280,"likeability","no.",20,"b.HS.only",0,0,0,0,0,0,0,0,1,0,"a.Cog",1,1,28,7.494,2
"78538917.1",78538917,"likeability","None",26,"Post.Grad.Degree",1,0,0,0,0,0,0,0,0,0,"a.Cog",1,1,-39,10.8,2
"78533169.1",78533169,"likeability","nope",43,"c.2.Yr.Coll",1,0,0,0,0,0,0,0,0,0,"a.Cog",1,1,-17,6.301,2
"78569058.1",78569058,"likeability","no did not experince any confution or problems",28,"d.4.Yr.Coll",1,0,0,0,0,0,0,0,0,1,"a.Cog",1,1,-97,9.55,2
"78590439.1",78590439,"likeability","No",36,"b.HS.only",1,0,0,0,0,0,0,0,0,0,"a.Cog",1,1,-20,30.049,2
"78557521.1",78557521,"likeability","no",34,"c.2.Yr.Coll",1,0,0,0,0,0,0,0,0,0,"a.Cog",1,1,-63,6.663,2
"78551923.1",78551923,"likeability","NO",41,"b.HS.only",1,0,0,0,0,0,0,0,0,1,"a.Cog",1,1,-63,9.955,2
"78571036.1",78571036,"likeability","No.",66,"b.HS.only",1,0,0,0,0,0,0,0,0,0,"a.Cog",1,1,-62,17.837,2
"78569640.1",78569640,"likeability","No confusion or tech problems.",33,"d.4.Yr.Coll",1,0,0,0,0,0,0,0,0,0,"a.Cog",1,1,0,16.77,2
"78546738.1",78546738,"likeability","No technical problems occurred and verything in the survey was clearly written. Thank you",40,"d.4.Yr.Coll",0,0,0,0,0,0,0,0,1,1,"a.Cog",1,1,-33,11.692,2
"78507849.1",78507849,"likeability","no",33,"d.4.Yr.Coll",1,0,0,0,0,0,0,0,0,1,"a.Cog",1,1,-79,30.72,2
"78564825.1",78564825,"likeability","",24,"b.HS.only",1,0,0,0,0,0,0,0,0,0,"a.Cog",1,1,-71,3.884,2
"78577557.1",78577557,"likeability","not at all",40,"d.4.Yr.Coll",0,0,0,0,0,0,1,0,0,1,"a.Cog",1,1,-100,6.099,2
"78570947.1",78570947,"likeability","No",25,"d.4.Yr.Coll",1,0,0,0,0,0,0,0,0,0,"a.Cog",1,1,0,3.747,2
