"","id","experiment","problems","age","educ","caucasian","hisp","black","middle.east","pacific.isl","native.am","south.asian","east.asian","southeast.asian","female","time","main.rating","time.spent","seen.before","face"
"78557698.1",78557698,"trust","Nope",27,"Post.Grad.Degree",1,0,0,0,0,0,0,0,0,0,1,48,5.797,2,"a.Cog"
"78592454.1",78592454,"trust","",25,"d.4.Yr.Coll",1,0,0,0,0,0,0,0,0,0,1,10,5.141,2,"a.Cog"
"78535832.1",78535832,"trust","no",24,"b.HS.only",0,1,0,0,0,0,0,0,0,0,1,40,6.585,2,"a.Cog"
"78599174.1",78599174,"trust","no",28,"d.4.Yr.Coll",1,0,0,0,0,0,0,0,0,0,1,100,4.055,1,"a.Cog"
"78519821.1",78519821,"trust","",41,"d.4.Yr.Coll",1,0,0,0,0,0,0,0,0,0,1,30,4.152,2,"a.Cog"
"78504272.1",78504272,"trust","no",32,"d.4.Yr.Coll",0,1,0,0,0,0,0,0,0,0,1,50,5.651,2,"a.Cog"
"78511216.1",78511216,"trust","no",24,"b.HS.only",1,0,0,0,0,0,0,0,0,0,1,9,8.531,2,"a.Cog"
"78585514.1",78585514,"trust","",29,"d.4.Yr.Coll",1,0,0,0,0,0,0,0,0,0,1,10,5.441,2,"a.Cog"
"78528526.1",78528526,"trust","no",30,"d.4.Yr.Coll",1,0,0,0,0,0,0,0,0,0,1,0,5.46,2,"a.Cog"
"78578713.1",78578713,"trust","no",41,"d.4.Yr.Coll",1,0,0,0,0,0,0,0,0,1,1,82,8.44,2,"a.Cog"
"78527067.1",78527067,"trust","no",32,"b.HS.only",1,0,0,0,0,0,0,0,0,1,1,0,4.945,2,"a.Cog"
"78560919.1",78560919,"trust","none",40,"d.4.Yr.Coll",1,0,0,0,0,0,0,0,0,0,1,30,10.196,2,"a.Cog"
"78579143.1",78579143,"trust","NO",46,"a.No.HS",1,0,0,0,0,0,0,0,0,1,1,10,6.99,2,"a.Cog"
"78553402.1",78553402,"trust","No",32,"d.4.Yr.Coll",1,0,0,0,0,0,0,0,0,0,1,100,3.814,2,"a.Cog"
"78505334.1",78505334,"trust","No",39,"c.2.Yr.Coll",1,0,0,0,0,0,0,0,0,0,1,40,4.016,2,"a.Cog"
"78583828.1",78583828,"trust","No.",35,"c.2.Yr.Coll",1,0,0,0,0,0,0,0,0,1,1,20,17.023,1,"a.Cog"
