"Package","Version","Source","Link"
"R","3.3.1","R",NA
"abind","1.4-5","cran",NA
"acepack","1.4.1","cran",NA
"Amelia","1.7.4","cran",NA
"arm","1.9-3","cran",NA
"backports","1.0.4","cran",NA
"base64enc","0.1-3","cran",NA
"bitops","1.0-6","cran",NA
"brew","1.0-6","cran",NA
"caTools","1.17.1","cran",NA
"checkmate","1.8.2","cran",NA
"coda","0.19-1","cran",NA
"commonmark","1.1","cran",NA
"crayon","1.3.2","cran",NA
"curl","2.3","cran",NA
"data.table","1.10.4","cran",NA
"desc","1.1.0","cran",NA
"devtools","1.12.0","cran",NA
"e1071","1.6-8","cran",NA
"estimability","1.2","cran",NA
"evaluate","0.10","cran",NA
"expm","0.999-0","cran",NA
"FNN","1.1","cran",NA
"formatR","1.4","cran",NA
"Formula","1.2-1","cran",NA
"gdata","2.17.0","cran",NA
"ggplot2","2.2.1","cran",NA
"git2r","0.18.0","cran",NA
"gmodels","2.16.2","cran",NA
"gstat","1.1-4","cran",NA
"gtools","3.5.0","cran",NA
"hexbin","1.27.1","cran",NA
"highr","0.6","cran",NA
"Hmisc","4.0-2","cran",NA
"htmlTable","1.8","cran",NA
"htmlwidgets","0.8","cran",NA
"httr","1.2.1","cran",NA
"intervals","0.15.1","cran",NA
"joineR","1.1.0","cran",NA
"knitr","1.15.1","cran",NA
"latticeExtra","0.6-28","cran",NA
"lavaan","0.5-22","cran",NA
"lmerTest","2.0-33","cran",NA
"lpSolve","5.6.13","cran",NA
"lsmeans","2.25","cran",NA
"manipulate","0.98.945",NA,NA
"markdown","0.7.7","cran",NA
"mediation","4.4.5","cran",NA
"memisc","0.99.8","cran",NA
"memoise","1.0.0","cran",NA
"mice","2.25","cran",NA
"msm","1.6.4","cran",NA
"multcomp","1.4-6","cran",NA
"openssl","0.9.6","cran",NA
"packrat","0.4.8-14",NA,NA
"pander","0.6.0","cran",NA
"pbivnorm","0.6.0","cran",NA
"pkgsnap","1.0.0",NA,NA
"plotly","4.5.6","cran",NA
"purrr","0.2.2","cran",NA
"RcppArmadillo","0.7.600.1.0","cran",NA
"rmarkdown","1.3","cran",NA
"roxygen2","6.0.1","cran",NA
"rprojroot","1.2","cran",NA
"rstudio","0.98.945",NA,NA
"rstudioapi","0.6","cran",NA
"sandwich","2.3-4","cran",NA
"scales","0.4.1","cran",NA
"sp","1.2-4","cran",NA
"spacetime","1.2-0","cran",NA
"stargazer","5.2","cran",NA
"statmod","1.4.27","cran",NA
"stringi","1.1.2","cran",NA
"survey","3.31-5","cran",NA
"tableone","0.7.3","cran",NA
"TH.data","1.0-8","cran",NA
"tidyr","0.6.1","cran",NA
"viridis","0.3.4","cran",NA
"viridisLite","0.1.3","cran",NA
"whisker","0.3-2","cran",NA
"withr","1.0.2","cran",NA
"xml2","1.1.1","cran",NA
"xts","0.9-7","cran",NA
"yaml","2.1.14","cran",NA
"zoo","1.7-14","cran",NA
"assertthat","0.1","cran",NA
"BH","1.60.0-2","cran",NA
"car","2.1-3","cran",NA
"colorspace","1.2-6","cran",NA
"corpcor","1.6.8","cran",NA
"DBI","0.4-1","cran",NA
"dichromat","2.0-0","cran",NA
"digest","0.6.9","cran",NA
"dplyr","0.5.0","cran",NA
"ellipse","0.3-8","cran",NA
"foreach","1.4.3","cran",NA
"ggplot2","2.1.0","cran",NA
"glmnet","2.0-5","cran",NA
"gridExtra","2.2.1","cran",NA
"gtable","0.2.0","cran",NA
"htmltools","0.3.5","cran",NA
"httpuv","1.3.3","cran",NA
"iterators","1.0.8","cran",NA
"jsonlite","1.1","cran",NA
"labeling","0.3","cran",NA
"lazyeval","0.2.0","cran",NA
"leaps","2.9","cran",NA
"lessR","3.4.8","cran",NA
"lme4","1.1-12","cran",NA
"magrittr","1.5","cran",NA
"manipulate","0.98.945",NA,NA
"MatrixModels","0.4-1","cran",NA
"metafor","1.9-8","cran",NA
"mime","0.5","cran",NA
"minqa","1.2.4","cran",NA
"mnormt","1.5-4","cran",NA
"munsell","0.4.3","cran",NA
"mvtnorm","1.0-5","cran",NA
"nloptr","1.0.4","cran",NA
"pbkrtest","0.4-6","cran",NA
"plyr","1.8.4","cran",NA
"pracma","1.9.5","cran",NA
"psych","1.6.6","cran",NA
"pwr","1.2-0","cran",NA
"quadprog","1.5-5","cran",NA
"quantreg","5.26","cran",NA
"R6","2.1.2","cran",NA
"RColorBrewer","1.1-2","cran",NA
"Rcpp","0.12.6","cran",NA
"readxl","0.1.1","cran",NA
"reshape2","1.4.1","cran",NA
"rstudio","0.98.945",NA,NA
"sas7bdat","0.5","cran",NA
"scales","0.4.0","cran",NA
"shiny","0.14","cran",NA
"sourcetools","0.1.5","cran",NA
"SparseM","1.7","cran",NA
"stringi","1.1.1","cran",NA
"stringr","1.0.0","cran",NA
"tibble","1.1","cran",NA
"triangle","0.10","cran",NA
"xtable","1.8-2","cran",NA
