year,Alan Turing
1800,0.0
1801,0.0
1802,0.0
1803,0.0
1804,0.0
1805,0.0
1806,0.0
1807,0.0
1808,0.0
1809,0.0
1810,0.0
1811,0.0
1812,0.0
1813,0.0
1814,0.0
1815,0.0
1816,0.0
1817,0.0
1818,0.0
1819,0.0
1820,0.0
1821,0.0
1822,0.0
1823,0.0
1824,0.0
1825,0.0
1826,0.0
1827,0.0
1828,0.0
1829,0.0
1830,0.0
1831,0.0
1832,0.0
1833,0.0
1834,0.0
1835,0.0
1836,0.0
1837,0.0
1838,0.0
1839,0.0
1840,0.0
1841,0.0
1842,0.0
1843,0.0
1844,0.0
1845,0.0
1846,0.0
1847,0.0
1848,0.0
1849,0.0
1850,0.0
1851,0.0
1852,0.0
1853,0.0
1854,0.0
1855,0.0
1856,0.0
1857,0.0
1858,0.0
1859,0.0
1860,0.0
1861,0.0
1862,0.0
1863,0.0
1864,0.0
1865,0.0
1866,0.0
1867,0.0
1868,0.0
1869,0.0
1870,0.0
1871,0.0
1872,0.0
1873,0.0
1874,0.0
1875,0.0
1876,0.0
1877,0.0
1878,0.0
1879,0.0
1880,0.0
1881,0.0
1882,0.0
1883,0.0
1884,0.0
1885,0.0
1886,0.0
1887,0.0
1888,0.0
1889,0.0
1890,0.0
1891,0.0
1892,0.0
1893,0.0
1894,0.0
1895,0.0
1896,0.0
1897,0.0
1898,0.0
1899,0.0
1900,0.0
1901,0.0
1902,0.0
1903,0.0
1904,0.0
1905,0.0
1906,0.0
1907,0.0
1908,0.0
1909,0.0
1910,0.0
1911,0.0
1912,0.0
1913,0.0
1914,0.0
1915,0.0
1916,0.0
1917,0.0
1918,0.0
1919,0.0
1920,0.0
1921,0.0
1922,0.0
1923,0.0
1924,0.0
1925,0.0
1926,0.0
1927,0.0
1928,0.0
1929,0.0
1930,0.0
1931,0.0
1932,0.0
1933,0.0
1934,0.0
1935,0.0
1936,0.0
1937,0.0
1938,0.0
1939,0.0
1940,0.0
1941,0.0
1942,0.0
1943,2.2641951805521136e-10
1944,2.2641951805521136e-10
1945,2.2641951805521136e-10
1946,2.2641951805521136e-10
1947,3.9219646578000523e-10
1948,5.621433001629888e-10
1949,5.621433001629888e-10
1950,3.357237821077774e-10
1951,3.357237821077774e-10
1952,3.357237821077774e-10
1953,3.357237821077774e-10
1954,1.6994683438298352e-10
1955,0.0
1956,0.0
1957,1.1639750274738958e-10
1958,2.2254632264002387e-10
1959,2.7091107928407203e-10
1960,4.093095148530576e-10
1961,7.814200794368073e-10
1962,9.880078263460997e-10
1963,1.2240351668754305e-09
1964,1.5550722614372197e-09
1965,1.9645407047162523e-09
1966,2.6080421314641657e-09
1967,3.5043711107566165e-09
1968,3.4682971732686544e-09
1969,4.666107294199711e-09
1970,5.236157951671316e-09
1971,5.664448814763594e-09
1972,6.5430470882635714e-09
1973,6.750034467880742e-09
1974,6.535933794182824e-09
1975,8.413959243621808e-09
1976,9.324087597255876e-09
1977,1.27969781438253e-08
1978,1.4743502038275632e-08
1979,1.821320478561412e-08
1980,4.0023331569573525e-08
1981,4.4991917239453217e-08
1982,5.151921987435669e-08
1983,5.8099292995653484e-08
1984,6.360080310027375e-08
1985,7.230866876690406e-08
1986,7.768017137469282e-08
1987,6.302360436702007e-08
1988,6.632346887564771e-08
1989,6.911015759669681e-08
1990,7.094305232158149e-08
1991,7.261367634165644e-08
1992,7.416355986476577e-08
1993,7.73662672973582e-08
1994,8.285156687699263e-08
1995,8.741344308711113e-08
1996,9.052526398331143e-08
1997,9.447718797771034e-08
1998,9.800133885359433e-08
1999,1.0010850510460451e-07
2000,1.0223721298124084e-07
2001,1.0487077466742839e-07
2002,1.0642312512724554e-07
2003,1.0721192609253193e-07
2004,1.0832592600706903e-07
