year,Darwin
1800,2.886406094582128e-06
1801,5.200790588588689e-06
1802,4.818109401819962e-06
1803,4.672336358575129e-06
1804,4.6871107376286355e-06
1805,4.4915036150022e-06
1806,4.466148584419167e-06
1807,3.9856918961435535e-06
1808,2.959508699313622e-06
1809,2.7382961779969558e-06
1810,2.5670801667234045e-06
1811,2.4499968788964973e-06
1812,2.640218786962935e-06
1813,2.588289350466003e-06
1814,2.59822895769852e-06
1815,1.8007039798309928e-06
1816,1.8948770139002948e-06
1817,1.8960297129158983e-06
1818,2.0438975114294474e-06
1819,1.8640519010253748e-06
1820,1.9006736616335372e-06
1821,1.8768750447151206e-06
1822,1.8937466695742193e-06
1823,1.7980558877996243e-06
1824,1.6525378363496657e-06
1825,1.5423428442978043e-06
1826,1.604374297034131e-06
1827,1.519934406779555e-06
1828,1.5578436330138904e-06
1829,1.427882365298164e-06
1830,1.3999372529153016e-06
1831,1.3990903618500892e-06
1832,1.3990212690551118e-06
1833,1.3698067987201666e-06
1834,1.4318756196602628e-06
1835,1.412914240653659e-06
1836,1.5679649517811152e-06
1837,1.7491110553586559e-06
1838,1.71002658357265e-06
1839,1.7503821155681213e-06
1840,1.7198107197405728e-06
1841,1.696400043422435e-06
1842,1.7156945512551504e-06
1843,1.704905997712558e-06
1844,1.6307935634277522e-06
1845,1.807560505844614e-06
1846,1.8396312947897644e-06
1847,1.930870697362609e-06
1848,2.0516791963132164e-06
1849,2.010639590313953e-06
1850,2.0978364107447433e-06
1851,2.2988381311555325e-06
1852,2.2364486694316706e-06
1853,2.1497983330017893e-06
1854,2.0376214397036363e-06
1855,2.0665192198724265e-06
1856,2.14978136574879e-06
1857,2.4008299582029787e-06
1858,2.3726367643917e-06
1859,2.5205078039951852e-06
1860,3.0756239693476217e-06
1861,3.310896599170324e-06
1862,3.4375239843192114e-06
1863,3.922948796538808e-06
1864,3.9863521428579985e-06
1865,4.240873234298955e-06
1866,4.4789102549965975e-06
1867,4.528332172729474e-06
1868,5.6831919528527975e-06
1869,7.510212151982744e-06
1870,7.789144347165283e-06
1871,8.265638748688226e-06
1872,8.748902012761001e-06
1873,9.825522090929034e-06
1874,1.0278096736117601e-05
1875,9.985742138951537e-06
1876,9.477794687232485e-06
1877,1.0113573040371193e-05
1878,1.0116562385016031e-05
1879,1.0169411508188983e-05
1880,1.0296641266092723e-05
1881,1.0193789070253193e-05
1882,1.0646922520761238e-05
1883,1.060344647742438e-05
1884,1.2746364193714855e-05
1885,1.4462946913746627e-05
1886,1.5166906355342949e-05
1887,1.5158490967337457e-05
1888,1.5853595430469018e-05
1889,1.604371133063458e-05
1890,1.6551181606213765e-05
1891,1.49378122224724e-05
1892,1.4003480633359036e-05
1893,1.4566921907187081e-05
1894,1.4661518840901927e-05
1895,1.4266869665594381e-05
1896,1.3809557470624765e-05
1897,1.331958381050364e-05
1898,1.2643704630071234e-05
1899,1.2263289343244262e-05
1900,1.2065371322478313e-05
1901,1.1473407312223571e-05
1902,1.1422642249466922e-05
1903,1.143948298525694e-05
1904,1.1078809348776173e-05
1905,1.1071218909007386e-05
1906,1.1458790709184541e-05
1907,1.08680038246283e-05
1908,1.1227314067647448e-05
1909,1.1473774839438583e-05
1910,1.1711477481769958e-05
1911,1.1759516321977312e-05
1912,1.1747650302952803e-05
1913,1.2086893142233229e-05
1914,1.1927667577944184e-05
1915,1.1678163984031797e-05
1916,1.1318230956395123e-05
1917,1.0903214972911104e-05
1918,1.0715804908808682e-05
1919,1.0736428176219956e-05
1920,9.740601545412833e-06
1921,9.975216079689223e-06
1922,9.96725485232933e-06
1923,1.0251137520559236e-05
1924,1.062915439677324e-05
1925,1.0931459042597322e-05
1926,1.0885399009095767e-05
1927,1.1085955752118285e-05
1928,1.0848645926232946e-05
1929,1.0869559582309713e-05
1930,1.0355223104901207e-05
1931,9.855113721154599e-06
1932,9.517445669920173e-06
1933,9.06177337713286e-06
1934,8.538734578321184e-06
1935,7.9892748934591e-06
1936,7.45582075418432e-06
1937,7.538839367628368e-06
1938,7.413666088902054e-06
1939,7.41906791290603e-06
1940,7.42396611436951e-06
1941,7.47584875528316e-06
1942,7.561420887774213e-06
1943,7.567091836944785e-06
1944,7.463567043381707e-06
1945,7.327162832788353e-06
1946,7.288988232038004e-06
1947,7.612931746336926e-06
1948,7.568234245525218e-06
1949,7.563261265529166e-06
1950,7.571127531897609e-06
1951,7.484398550567611e-06
1952,7.834181372702784e-06
1953,7.66576725348094e-06
1954,7.2504410084661686e-06
1955,7.92277376859829e-06
1956,8.588724383124763e-06
1957,8.760154428395189e-06
1958,9.166636904264383e-06
1959,9.167399329815648e-06
1960,9.439104605998441e-06
1961,9.713753761226534e-06
1962,9.192423441106712e-06
1963,8.509364542013439e-06
1964,8.374254809341761e-06
1965,8.24623466806023e-06
1966,8.21318913425882e-06
1967,7.843064436891772e-06
1968,7.66624462045229e-06
1969,7.626150037814179e-06
1970,7.600184945642598e-06
1971,7.77681588561206e-06
1972,7.45351269821575e-06
1973,7.187796291369912e-06
1974,7.2822797209580254e-06
1975,7.305486246674978e-06
1976,7.11908340836739e-06
1977,7.421346155516468e-06
1978,7.375660333406943e-06
1979,7.683292406365386e-06
1980,7.944633237246179e-06
1981,8.089664687206874e-06
1982,8.217734285308e-06
1983,8.276518222771756e-06
1984,8.074061376817099e-06
1985,8.076598311796649e-06
1986,8.050803816875682e-06
1987,7.83679427586646e-06
1988,7.864432384557013e-06
1989,7.777017333105668e-06
1990,7.931388233929835e-06
1991,7.959188841713935e-06
1992,8.290789627401246e-06
1993,8.249827125946954e-06
1994,8.323011444742535e-06
1995,8.187841415414304e-06
1996,8.22746080787949e-06
1997,8.387258590504742e-06
1998,8.478309876380763e-06
1999,8.436959209490169e-06
2000,8.593024668458937e-06
2001,8.738908208881314e-06
2002,8.94770174989882e-06
2003,9.127964489152873e-06
2004,9.189105981022294e-06
