year,Darwinism
1800,0.0
1801,0.0
1802,0.0
1803,1.2083035524515902e-09
1804,1.2083035524515902e-09
1805,1.2083035524515902e-09
1806,1.2083035524515902e-09
1807,1.2083035524515902e-09
1808,1.2083035524515902e-09
1809,1.2083035524515902e-09
1810,0.0
1811,8.48110343858772e-10
1812,8.48110343858772e-10
1813,8.48110343858772e-10
1814,2.4143366036558487e-09
1815,3.8118356090624925e-09
1816,3.8118356090624925e-09
1817,9.988700850576443e-09
1818,9.926915353223161e-09
1819,9.926915353223161e-09
1820,9.926915353223161e-09
1821,8.360689093426084e-09
1822,6.963190088019441e-09
1823,6.963190088019441e-09
1824,7.863248465054897e-10
1825,0.0
1826,4.862131649677589e-10
1827,4.862131649677589e-10
1828,4.862131649677589e-10
1829,4.862131649677589e-10
1830,4.862131649677589e-10
1831,4.862131649677589e-10
1832,4.862131649677589e-10
1833,3.903391578217809e-10
1834,3.903391578217809e-10
1835,1.1870880469087653e-09
1836,1.1870880469087653e-09
1837,2.5351011766007657e-09
1838,2.9039681770370862e-09
1839,2.9039681770370862e-09
1840,2.5136290192153054e-09
1841,2.8543239835191312e-09
1842,2.0575750944321467e-09
1843,2.0575750944321467e-09
1844,7.095619647401463e-10
1845,3.406949643038258e-10
1846,3.406949643038258e-10
1847,3.406949643038258e-10
1848,2.656790026074012e-10
1849,2.656790026074012e-10
1850,2.656790026074012e-10
1851,2.656790026074012e-10
1852,9.73174461650826e-10
1853,9.73174461650826e-10
1854,1.475759260825628e-09
1855,1.2100802582182268e-09
1856,1.6957053539101707e-09
1857,2.1656671059641243e-09
1858,2.1656671059641243e-09
1859,2.8981206640870435e-09
1860,6.654847149535823e-09
1861,1.2525160242304878e-08
1862,1.735311846598872e-08
1863,1.9994280516958237e-08
1864,2.117704700488332e-08
1865,2.7177363121871116e-08
1866,3.5460959184925e-08
1867,6.632075631531262e-08
1868,1.558080995651372e-07
1869,2.5586271457100906e-07
1870,3.427583499566416e-07
1871,4.6070157441338975e-07
1872,5.540996277047277e-07
1873,6.864269296461397e-07
1874,8.118426636981115e-07
1875,8.228866365454581e-07
1876,8.62073007011434e-07
1877,9.170530605371952e-07
1878,9.223488746101793e-07
1879,9.17613557963445e-07
1880,9.340544896271499e-07
1881,8.850168181798576e-07
1882,9.571076822518469e-07
1883,9.643914456855133e-07
1884,1.002355080207248e-06
1885,1.0400853055005297e-06
1886,1.1103358435856793e-06
1887,1.1748903422211957e-06
1888,1.204945543723365e-06
1889,1.1852815759993973e-06
1890,1.2298907604092944e-06
1891,1.1947655888125804e-06
1892,1.2504496064634298e-06
1893,1.2360162539185434e-06
1894,1.1515479942301811e-06
1895,1.0956259153260817e-06
1896,1.0760556590534113e-06
1897,1.0340233971918776e-06
1898,9.922937054897472e-07
1899,9.251990414428845e-07
1900,9.416927623716122e-07
1901,9.292513788291704e-07
1902,9.97203554271258e-07
1903,1.0168556417206837e-06
1904,1.0630350938559528e-06
