year,Elin
1800,6.670039631728741e-08
1801,6.388184203842684e-08
1802,5.7570246643952786e-08
1803,5.055422924726827e-08
1804,7.271895822010981e-08
1805,7.271895822010981e-08
1806,6.032446466162712e-08
1807,3.847925305373273e-08
1808,3.1769531005920726e-08
1809,2.8053492481408933e-08
1810,2.8820254373483426e-08
1811,1.0896077119935756e-08
1812,1.2723845278981929e-08
1813,1.1687987910846687e-08
1814,8.849038264051908e-09
1815,8.043385322866113e-09
1816,1.214478352805161e-08
1817,1.1405091157204846e-08
1818,9.523513977427456e-09
1819,1.2963086984793141e-08
1820,1.4648206330442852e-08
1821,1.8805892716094212e-08
1822,2.1047131466238915e-08
1823,1.694573326105342e-08
1824,1.627350394122524e-08
1825,1.5480493617151377e-08
1826,1.1671791945642797e-08
1827,1.1655668208376824e-08
1828,1.0233066616294195e-08
1829,8.901210847765486e-09
1830,1.0741908346949863e-08
1831,1.1126773185361164e-08
1832,9.560808969918559e-09
1833,9.663526106302406e-09
1834,1.0111024779340435e-08
1835,1.0562935605560953e-08
1836,1.241489964799923e-08
1837,1.5292248166178168e-08
1838,1.6557441639974968e-08
1839,1.6967483703770166e-08
1840,1.611310713427778e-08
1841,1.4337307817159837e-08
1842,1.3339044757643137e-08
1843,1.2442890305410157e-08
1844,1.1265146942258347e-08
1845,9.971361545981139e-09
1846,1.1678548985015271e-08
1847,1.493869523321629e-08
1848,1.6192074284556868e-08
1849,1.630452674459905e-08
1850,1.5581899707025774e-08
1851,1.5803419144739498e-08
1852,1.8893143208639377e-08
1853,1.8965679693394577e-08
1854,1.751147742685382e-08
1855,1.6708346198665173e-08
1856,1.6592474108964187e-08
1857,1.89746216992605e-08
1858,1.983909609608909e-08
1859,1.7269904379573527e-08
1860,2.0202947235782786e-08
1861,1.9717763390301813e-08
1862,2.233479136558105e-08
1863,2.0931175237492994e-08
1864,1.7957371526275016e-08
1865,2.0896691234538267e-08
1866,2.1247921676094605e-08
1867,1.6905936682322575e-08
1868,1.6662828608967776e-08
1869,1.4515465654848673e-08
1870,1.7403160991667577e-08
1871,2.3134965942972482e-08
1872,1.8453677348111745e-08
1873,2.025070654023052e-08
1874,2.4818554354512553e-08
1875,2.621154230172554e-08
1876,2.931665998850974e-08
1877,3.074785764096382e-08
1878,2.6818176600075713e-08
1879,2.6692699415877186e-08
1880,2.41795319639542e-08
1881,2.0289183380991664e-08
1882,1.8611522069532175e-08
1883,1.561994555920876e-08
1884,1.1410135281053613e-08
1885,1.2108508005783034e-08
1886,1.0098413978048322e-08
1887,1.0475260658893149e-08
1888,1.254738519434235e-08
1889,1.2115738396672221e-08
1890,1.2145774909631613e-08
1891,2.6975998006812625e-08
1892,2.5520184061227676e-08
1893,2.667451995793816e-08
1894,2.7714544500615342e-08
1895,3.062340958592813e-08
1896,3.152519263099103e-08
1897,3.171889263940488e-08
1898,1.933122771381944e-08
1899,2.056812486201614e-08
1900,2.6900909698225813e-08
1901,4.5956916407328766e-08
1902,4.099765781624092e-08
1903,4.127713593942468e-08
1904,5.254702394636672e-08
1905,5.1834676098990884e-08
1906,5.178526617046129e-08
1907,4.597458509130498e-08
1908,2.643581179359192e-08
1909,2.82492696853812e-08
1910,2.6947378883868115e-08
1911,2.162737444688645e-08
1912,2.0893281279680106e-08
1913,2.0784033335655546e-08
1914,2.2101928747504066e-08
1915,2.174217626573137e-08
1916,2.42302449612478e-08
1917,2.6162961630493697e-08
1918,2.883037769629837e-08
1919,2.8358671086018257e-08
1920,2.928298747135421e-08
1921,2.981622686050654e-08
1922,3.099033237173389e-08
1923,2.8327413637008195e-08
1924,2.979373403544372e-08
1925,2.1698936124105372e-08
1926,2.5236657398762322e-08
1927,2.301556844314894e-08
1928,2.5135072063380596e-08
1929,2.7444474954523605e-08
1930,2.5729497651497523e-08
1931,4.3077102623063316e-08
1932,5.2808910871211216e-08
1933,6.773954501295063e-08
1934,7.378194845562649e-08
1935,9.093500435192986e-08
1936,9.746662113111323e-08
1937,1.021192635928893e-07
1938,8.50368294589922e-08
1939,1.0830518171982867e-07
1940,9.644538546365363e-08
1941,9.30714107449937e-08
1942,7.384040923945941e-08
1943,7.250530358644219e-08
1944,7.088158064462645e-08
1945,7.184552000946301e-08
1946,5.039239539935839e-08
1947,5.261987621820095e-08
1948,6.505727542397263e-08
1949,6.620075544892602e-08
1950,6.45839796563154e-08
1951,6.419086929459234e-08
1952,6.587321309061066e-08
1953,6.611821276195481e-08
1954,6.457388354189472e-08
1955,6.132052933681211e-08
1956,6.271053468572978e-08
1957,6.40626349270233e-08
1958,6.82007819584131e-08
1959,6.550399022404411e-08
1960,6.314563173538876e-08
1961,5.892275771270305e-08
1962,5.0324384810134555e-08
1963,5.4516406666760275e-08
1964,5.866662207619301e-08
1965,5.653622204916862e-08
1966,5.911367054982948e-08
1967,5.71733931467985e-08
1968,6.465696760929848e-08
1969,7.303095192479071e-08
1970,7.194850231865121e-08
1971,6.652641506328066e-08
1972,7.123423508202465e-08
1973,7.416400487387468e-08
1974,7.411910653485977e-08
1975,9.902871652859144e-08
1976,9.495149051146662e-08
1977,9.310670571035676e-08
1978,9.453246227078946e-08
1979,9.552588425038827e-08
1980,9.755758118806008e-08
1981,1.2415217657110338e-07
1982,1.0900905565515626e-07
1983,1.1132439922282142e-07
1984,1.1543273403802345e-07
1985,1.2027990990505698e-07
1986,1.1919771601500072e-07
1987,1.183240516995048e-07
1988,1.152245763564557e-07
1989,1.0877886128365536e-07
1990,1.1582145350733494e-07
1991,1.1742467763222108e-07
1992,1.3472340094316288e-07
1993,1.4021319137493193e-07
1994,1.6731106373362487e-07
1995,1.5020830950491465e-07
1996,1.5166755359555646e-07
1997,1.5394671857928343e-07
1998,1.590250102077663e-07
1999,1.3891524337188752e-07
2000,1.4714501214311125e-07
2001,1.260054771000187e-07
2002,1.2838492650472472e-07
2003,1.3061524470892038e-07
2004,1.272802731544509e-07
