year,Elsa
1800,1.2852372721638972e-08
1801,1.2035485674743995e-08
1802,1.4364949674217087e-08
1803,1.3521117558923379e-08
1804,1.4827625857297529e-08
1805,1.1699616767454505e-08
1806,1.1699616767454505e-08
1807,1.2645933316386099e-08
1808,1.3004676700591387e-08
1809,1.1772549919036074e-08
1810,1.8464508144688807e-08
1811,1.6836019689492332e-08
1812,2.1949089276266217e-08
1813,2.1949089276266217e-08
1814,2.1002772727334625e-08
1815,2.0090216347666357e-08
1816,2.909022013751285e-08
1817,2.4278390980165502e-08
1818,2.258217029244796e-08
1819,1.7378034122828012e-08
1820,2.18716855420504e-08
1821,2.2333650706585217e-08
1822,2.1634901203881896e-08
1823,3.53515267535544e-08
1824,3.282623788664856e-08
1825,3.282623788664856e-08
1826,3.558143319664404e-08
1827,4.2353501816805306e-08
1828,4.4170774022538646e-08
1829,6.144904984850541e-08
1830,5.64961812570581e-08
1831,6.873115359391185e-08
1832,9.203894281638116e-08
1833,9.61546118917665e-08
1834,1.1494310976039352e-07
1835,1.1465574458112218e-07
1836,9.841297389710593e-08
1837,8.962341307190108e-08
1838,8.494037105423655e-08
1839,8.82853159467345e-08
1840,9.380060652018431e-08
1841,6.476847350508511e-08
1842,6.402730561611796e-08
1843,9.096968867083888e-08
1844,9.238540446939883e-08
1845,8.45768026090456e-08
1846,5.792406849407834e-08
1847,5.391552439424986e-08
1848,6.166084661910329e-08
1849,7.140469228593207e-08
1850,5.485245971722666e-08
1851,4.4277523488947934e-08
1852,4.798019223198732e-08
1853,5.1483817812122575e-08
1854,4.125056288614307e-08
1855,3.564692698164253e-08
1856,2.538081464046168e-08
1857,3.6748304161576025e-08
1858,1.0291860032461488e-07
1859,1.0358929369846948e-07
1860,1.0247631224543799e-07
1861,1.1555016984513397e-07
1862,1.3652619076534984e-07
1863,1.3918510601205825e-07
1864,1.285119683368054e-07
1865,6.499956411205282e-08
1866,6.518150273495036e-08
1867,6.773607617662134e-08
1868,5.95098752498302e-08
1869,5.150586313007466e-08
1870,5.227715471622929e-08
1871,1.23178730755085e-07
1872,1.304248721245571e-07
1873,1.5616840850655018e-07
1874,3.365011700554429e-07
1875,3.740731163714983e-07
1876,4.1600148793983855e-07
1877,4.444501846080838e-07
1878,4.497578482500129e-07
1879,4.773858259651424e-07
1880,4.836390708077128e-07
1881,3.309303060631105e-07
1882,3.5009104220368977e-07
1883,3.310919861609918e-07
1884,3.380352564530398e-07
1885,4.5720161996014905e-07
1886,5.227581772222172e-07
1887,5.650275090030021e-07
1888,5.484293669675923e-07
1889,5.43218272015216e-07
1890,5.378536281749494e-07
1891,5.413372748159467e-07
1892,3.82869858484014e-07
1893,3.907163940957454e-07
1894,5.966355833513555e-07
1895,7.460260640357319e-07
1896,8.817795192430009e-07
1897,8.978265711842173e-07
1898,1.016125847590794e-06
1899,1.0523991562649826e-06
1900,1.0025701325641227e-06
1901,8.209937232907447e-07
1902,7.275205124049729e-07
1903,6.269700086087531e-07
1904,7.166402770890963e-07
1905,7.162959980711037e-07
1906,7.931923613797258e-07
1907,8.40291975747119e-07
