year,Lamarckism
1800,0.0
1801,0.0
1802,0.0
1803,0.0
1804,0.0
1805,0.0
1806,0.0
1807,0.0
1808,0.0
1809,0.0
1810,0.0
1811,0.0
1812,0.0
1813,0.0
1814,0.0
1815,0.0
1816,0.0
1817,0.0
1818,0.0
1819,0.0
1820,0.0
1821,0.0
1822,0.0
1823,0.0
1824,0.0
1825,0.0
1826,0.0
1827,0.0
1828,0.0
1829,0.0
1830,0.0
1831,0.0
1832,0.0
1833,3.903391578217809e-10
1834,3.903391578217809e-10
1835,3.903391578217809e-10
1836,3.903391578217809e-10
1837,3.903391578217809e-10
1838,3.903391578217809e-10
1839,3.903391578217809e-10
1840,0.0
1841,0.0
1842,0.0
1843,0.0
1844,0.0
1845,0.0
1846,0.0
1847,0.0
1848,0.0
1849,0.0
1850,0.0
1851,0.0
1852,0.0
1853,0.0
1854,0.0
1855,0.0
1856,0.0
1857,0.0
1858,0.0
1859,0.0
1860,0.0
1861,0.0
1862,0.0
1863,0.0
1864,0.0
1865,0.0
1866,0.0
1867,0.0
1868,2.5494744410841415e-10
1869,1.2634336910011257e-09
1870,1.2634336910011257e-09
1871,1.2634336910011257e-09
1872,1.2634336910011257e-09
1873,2.1077180794344078e-09
1874,2.1077180794344078e-09
1875,1.8527706353259938e-09
1876,3.682006065121511e-09
1877,5.867973028119065e-09
1878,5.867973028119065e-09
1879,6.385257481486154e-09
1880,6.001705021851933e-09
1881,6.325776807131993e-09
1882,1.0325666877086803e-08
1883,7.880559205197812e-09
1884,6.229059950386378e-09
1885,6.947037818021735e-09
1886,7.740077023754566e-09
1887,1.0546092729260944e-08
1888,1.1062603721967434e-08
1889,1.1793809722477583e-08
1890,1.6237834378683506e-08
1891,2.3643267090177137e-08
1892,3.423948756266424e-08
1893,4.380397771492588e-08
1894,4.690545050779958e-08
1895,5.289053918642951e-08
1896,6.229777248036226e-08
1897,8.77144329629915e-08
1898,9.855233414267164e-08
1899,1.1262159735744451e-07
1900,1.0501857045097652e-07
1901,1.0454553531610449e-07
1902,1.0205430802815282e-07
1903,1.0018637724191441e-07
1904,1.0407827410225628e-07
1905,1.4679292471247202e-07
1906,1.2931340830674947e-07
1907,1.3447708563374405e-07
1908,1.557582410351342e-07
1909,1.773726788302708e-07
1910,1.8279235150123594e-07
1911,1.5328364205702272e-07
1912,1.0818360533594782e-07
1913,1.1632264864034981e-07
1914,1.255159377623803e-07
1915,1.1483353116023157e-07
1916,9.391211035809327e-08
1917,8.30115510457625e-08
1918,8.542001958148201e-08
1919,8.297733441623275e-08
1920,7.26417526765642e-08
1921,6.356566120294511e-08
1922,6.953137839303483e-08
1923,7.765653448066345e-08
1924,8.073525015988333e-08
1925,8.994659765417166e-08
1926,9.023648716339444e-08
1927,9.428324668611257e-08
1928,1.1046918977987628e-07
1929,1.154300393205584e-07
1930,1.1179128478477905e-07
1931,1.1792262141366702e-07
1932,1.1401235566754764e-07
1933,1.0417807237507657e-07
1934,1.0010443189458127e-07
1935,8.227199170342456e-08
1936,6.148425607532815e-08
1937,6.711121046982475e-08
1938,5.5064695081430415e-08
1939,5.0644696349331856e-08
1940,5.4584058757039296e-08
1941,5.365258342366579e-08
1942,5.461114446373269e-08
1943,5.462719687709949e-08
1944,4.299122956836448e-08
1945,4.4998550687212554e-08
1946,5.944530054710232e-08
1947,6.34368280048671e-08
1948,6.831021947301913e-08
1949,8.141010335701741e-08
1950,8.949192988248558e-08
1951,9.071414732878377e-08
1952,8.744501014560211e-08
1953,7.450437350398076e-08
1954,8.170379827460955e-08
1955,8.574464424989817e-08
1956,7.792913615998843e-08
1957,7.082329331728078e-08
1958,7.577588281452005e-08
1959,8.21060488645894e-08
1960,8.437299158543204e-08
1961,7.702219589900139e-08
1962,7.192871728789463e-08
1963,6.508424073094408e-08
1964,6.351250966025418e-08
1965,5.91601838906275e-08
1966,5.6697811275295355e-08
1967,5.15360926751323e-08
1968,4.427907297567733e-08
1969,4.1013993871765105e-08
1970,4.3192012359551316e-08
1971,4.4731175616715846e-08
1972,4.48683900390799e-08
1973,4.4033985453971266e-08
1974,4.772770560910824e-08
1975,4.7937156795661654e-08
1976,4.711215952476636e-08
1977,5.449010695236988e-08
1978,5.560376842295156e-08
1979,6.00870585351235e-08
1980,9.086404483588901e-08
1981,9.005052406728188e-08
1982,9.66804333793084e-08
1983,1.0036192774462043e-07
1984,9.26349583866123e-08
1985,9.56263983018354e-08
1986,1.0120902862414167e-07
1987,7.09466822968701e-08
1988,7.052019736021796e-08
1989,7.962642883544264e-08
1990,8.302018273636286e-08
1991,8.673889274295782e-08
1992,8.605412521456302e-08
1993,8.217106561847487e-08
1994,8.503168593053192e-08
1995,8.58512243398898e-08
1996,7.625243148409336e-08
1997,7.428424672606403e-08
1998,7.36345449495587e-08
1999,7.259465501349308e-08
2000,6.971860889397924e-08
2001,7.020694957139893e-08
2002,7.046237480527277e-08
2003,6.877036089480982e-08
2004,6.91860574386638e-08
