year,anatomy
1800,7.2412547531541804e-06
1801,6.910039016361225e-06
1802,6.499715539121098e-06
1803,6.325166164547877e-06
1804,6.3093294418844645e-06
1805,5.905197416008637e-06
1806,6.199157015527947e-06
1807,5.622421062818311e-06
1808,5.562516861346012e-06
1809,5.517417292821847e-06
1810,6.002789437583748e-06
1811,6.176024129445068e-06
1812,6.432311624036759e-06
1813,6.455359316045619e-06
1814,6.901964149668466e-06
1815,7.450383884182494e-06
1816,7.949372234504284e-06
1817,7.412945931508018e-06
1818,7.159262963796208e-06
1819,7.151735567439183e-06
1820,6.608293631416018e-06
1821,6.649460784404125e-06
1822,6.329933348021248e-06
1823,6.490665955181743e-06
1824,6.8537698325599195e-06
1825,7.401602790732145e-06
1826,7.921156523593709e-06
1827,7.945798076645718e-06
1828,8.528569235214231e-06
1829,8.699336936907847e-06
1830,8.574859460200708e-06
1831,9.169265370344094e-06
1832,9.351394579328242e-06
1833,9.475607778800363e-06
1834,1.0143416314381934e-05
1835,1.0212523189271191e-05
1836,1.070166363449841e-05
1837,1.1366912555591366e-05
1838,1.1173828438261679e-05
1839,1.0853490006671304e-05
1840,1.1064738527823336e-05
1841,1.1143985578395846e-05
1842,1.0990251926809185e-05
1843,1.0878942402671654e-05
1844,1.0654851832571563e-05
1845,1.0711585202573457e-05
1846,1.1076634832209364e-05
1847,1.0911704724289198e-05
1848,1.0881048102159444e-05
1849,1.1100799294386627e-05
1850,1.1064724170799828e-05
1851,1.1299265078637939e-05
1852,1.1558774758668733e-05
1853,1.1677416604730492e-05
1854,1.1746813454140336e-05
1855,1.2068844382286314e-05
1856,1.2081489882932925e-05
1857,1.2301007724805197e-05
1858,1.2591424779527318e-05
1859,1.2234098310922749e-05
1860,1.2127043622253302e-05
1861,1.2152870868119083e-05
1862,1.1805595225463808e-05
1863,1.2091580539877863e-05
1864,1.21241771142065e-05
1865,1.2369206128174223e-05
1866,1.241042433061271e-05
1867,1.305365406421645e-05
1868,1.336608280715674e-05
1869,1.3798027404326213e-05
1870,1.4166020475516105e-05
1871,1.457534704383891e-05
1872,1.4408517082691625e-05
1873,1.523262827569332e-05
1874,1.4745909506278362e-05
1875,1.4819440268963391e-05
1876,1.5511589140260185e-05
1877,1.5385316422517853e-05
1878,1.5741773933898783e-05
1879,1.5893617143904392e-05
1880,1.603990444566859e-05
1881,1.676199479204245e-05
1882,1.7289002877467802e-05
1883,1.6800650493158692e-05
1884,1.6523425561639927e-05
1885,1.6092832489838266e-05
1886,1.57504248688513e-05
1887,1.5165873557115058e-05
1888,1.489062304926847e-05
1889,1.4656446450901837e-05
1890,1.4646791287629769e-05
1891,1.4814541478764503e-05
1892,1.4875056527736369e-05
1893,1.4761021426628368e-05
1894,1.5095585630271154e-05
1895,1.5123036429745948e-05
1896,1.4527820033955711e-05
1897,1.4311835522156408e-05
1898,1.4346912702681688e-05
1899,1.4064302523105914e-05
1900,1.4147067214967785e-05
1901,1.3718474300666067e-05
1902,1.3620830681507609e-05
1903,1.3549526670431076e-05
1904,1.3450607127651892e-05
1905,1.3110657066915468e-05
1906,1.300547746398349e-05
1907,1.3036475828747437e-05
1908,1.2839016156768984e-05
1909,1.2727755664140464e-05
1910,1.2902493377201347e-05
1911,1.2616592158565254e-05
1912,1.2510977037598942e-05
1913,1.2454486206284596e-05
1914,1.2463485347780079e-05
1915,1.2365338035026853e-05
1916,1.1899914251703844e-05
1917,1.172845516959699e-05
1918,1.1438579243921204e-05
1919,1.0982134820583919e-05
1920,1.0703223153996078e-05
1921,9.866026181677106e-06
1922,9.836279431851835e-06
1923,9.560507864746017e-06
1924,9.135937986570752e-06
1925,9.215265974051234e-06
1926,9.332373612177696e-06
1927,9.299902008105424e-06
1928,9.51677757906769e-06
1929,9.508691221071787e-06
1930,9.74856682286632e-06
1931,9.758040550065872e-06
1932,9.613263403350303e-06
1933,9.586669201715788e-06
1934,9.5269724299994e-06
1935,9.588805381456821e-06
1936,9.639301408372245e-06
1937,9.72380715731041e-06
1938,9.798771226802014e-06
1939,1.0005067995929754e-05
1940,1.0186055845906594e-05
1941,1.0585443342441586e-05
1942,1.0377212890132015e-05
1943,1.0469378070508486e-05
1944,1.0469079358342371e-05
1945,1.0539782688770824e-05
1946,1.075360174646838e-05
1947,1.0775922886198585e-05
1948,1.0444700194511825e-05
1949,1.0754651879908903e-05
1950,1.07592495623976e-05
1951,1.075622352735601e-05
1952,1.0576883125525325e-05
1953,1.0325229884041878e-05
1954,1.0347464309136609e-05
1955,1.0777361576888973e-05
1956,1.1160573555863656e-05
1957,1.141178899339528e-05
1958,1.1523027268367514e-05
1959,1.2031739284371465e-05
1960,1.2163442213315128e-05
1961,1.2104719823063143e-05
1962,1.1917787458872097e-05
1963,1.1481527345884909e-05
1964,1.117443784437455e-05
1965,1.0957720572183202e-05
1966,1.0683553824719638e-05
1967,1.0624457364169107e-05
1968,1.0548881517382012e-05
1969,1.048175828697952e-05
1970,1.0465585920168712e-05
1971,1.0623640735372775e-05
1972,1.0917298900332234e-05
1973,1.1036093460299007e-05
1974,1.1113646175025288e-05
1975,1.1283469254814397e-05
1976,1.1225227885753547e-05
1977,1.1487990337043033e-05
1978,1.136693391247588e-05
1979,1.1286671666864224e-05
1980,1.1349968096802902e-05
1981,1.1496327078118285e-05
1982,1.16542138641762e-05
1983,1.1903516804880254e-05
1984,1.1903486560121174e-05
1985,1.2027516338061364e-05
1986,1.2070232238719266e-05
1987,1.2170782200980413e-05
1988,1.2103917356398597e-05
1989,1.2022279613737349e-05
1990,1.1860964483340858e-05
1991,1.1804896152917924e-05
1992,1.1907684060880846e-05
1993,1.1924652369543766e-05
1994,1.1939004545118744e-05
1995,1.1933386563863936e-05
1996,1.1902003527503829e-05
1997,1.207329554680265e-05
1998,1.1934443883936702e-05
1999,1.1746232477857381e-05
2000,1.1527949335946427e-05
2001,1.123377565802132e-05
2002,1.1149595403973459e-05
2003,1.1005119330320668e-05
2004,1.0681826530856142e-05
