year,and
1800,0.027593074963078834
1801,0.027557353035081177
1802,0.027667032729368657
1803,0.02763390359801373
1804,0.0276212884429177
1805,0.027732013375498354
1806,0.02776576013171247
1807,0.027881291104547148
1808,0.02794465503289497
1809,0.027889999311550385
1810,0.02793382211322231
1811,0.027963055613716797
1812,0.027950649365915785
1813,0.02789126184403098
1814,0.02768924064834469
1815,0.027674548577384224
1816,0.027742314468404014
1817,0.027811508160084486
1818,0.027928453246464154
1819,0.027958749884939085
1820,0.02797280078188383
1821,0.028060987300705165
1822,0.028080307113538892
1823,0.0280908837698267
1824,0.02796714337975053
1825,0.028000407170371285
1826,0.027992617230795856
1827,0.02821029699407518
1828,0.028279854749728526
1829,0.028221926103079956
1830,0.028148886606296792
1831,0.028257547686475197
1832,0.028149191522970796
1833,0.028058744443114847
1834,0.027782524836116602
1835,0.027648478546845063
1836,0.027740910832237984
1837,0.027743933589330742
1838,0.027740421995986253
1839,0.02786783768429554
1840,0.027803821239753494
1841,0.027924310590606183
1842,0.027942625007459098
1843,0.027873789958123653
1844,0.02789018810394087
1845,0.027887463827417896
1846,0.027752492834614322
1847,0.027959809006590928
1848,0.02790923841530457
1849,0.028023169750148166
1850,0.028011617084432925
1851,0.028032261653736765
1852,0.02795891882020182
1853,0.028025164194072465
1854,0.02790359457555626
1855,0.027862261589949155
1856,0.027777066537445144
1857,0.027777381457521445
1858,0.027625301304007217
1859,0.0276100618565189
1860,0.02747735030217362
1861,0.027426916074806025
1862,0.02741064058916111
1863,0.027341779354693632
1864,0.02736044964486999
1865,0.027417500295476724
1866,0.02744845616897302
1867,0.027476956776808947
1868,0.027524414123035967
1869,0.027459703236153085
1870,0.027405303345793594
1871,0.027320551062335392
1872,0.027241138059512848
1873,0.02717442361504904
1874,0.02710928169212171
1875,0.0270067771198228
1876,0.02697231071735067
1877,0.027003163172464286
1878,0.02697174750002367
1879,0.026981011640080915
1880,0.026927121349477345
1881,0.026902271983479817
1882,0.026882077592225478
1883,0.026837691365342056
1884,0.026812671667097936
1885,0.02679091040045023
1886,0.026721132910876935
1887,0.026676301337179863
1888,0.026624773113456155
1889,0.026538285210595598
1890,0.02651481199843277
1891,0.02639045982920964
1892,0.026310530017196597
1893,0.02626348133864147
1894,0.026216245979802415
1895,0.0261762645428202
1896,0.026229439428009624
1897,0.026184327010664026
1898,0.026167917381306846
1899,0.026154800376389176
1900,0.026132493013782163
1901,0.02612997954046088
1902,0.026115594065881202
1903,0.026052981057936058
1904,0.026031172518352314
1905,0.026013225666247308
1906,0.02596430033944281
1907,0.025929115546335067
1908,0.02585082855408213
1909,0.025803465778673332
1910,0.025708307254327725
1911,0.025658784650399214
1912,0.025572958277604942
1913,0.025489750692421306
1914,0.025391572213266045
1915,0.02532621646865404
1916,0.025266720905035202
1917,0.025231492032097385
1918,0.025129952800593207
1919,0.025082084508280138
1920,0.025097770142435496
1921,0.025087178352155855
1922,0.025027502236688245
1923,0.0249483519250394
1924,0.024909957827601047
1925,0.02493279104653214
1926,0.02491946083526792
1927,0.024834925483446568
1928,0.0247504808690532
1929,0.024703600576945713
1930,0.024609675240104222
1931,0.024531761209280894
1932,0.024442327316916947
1933,0.024349696917592412
1934,0.024288018882673765
1935,0.024209846268474524
1936,0.024151368440860615
1937,0.024118251250391562
1938,0.024015491146461242
1939,0.0239648338340755
1940,0.023929961350014697
1941,0.02391407570602106
1942,0.023940873856190592
1943,0.02399034152040258
1944,0.02401156531414017
1945,0.024038369384860352
1946,0.02401233515203265
1947,0.02397783862293831
1948,0.023874693645796342
1949,0.023814039317325553
1950,0.023700867999910512
1951,0.02365583849522019
1952,0.02361622701781536
1953,0.023567047930555418
1954,0.023521650520186604
1955,0.023505138362192417
1956,0.023449054328791265
1957,0.023414442615051358
1958,0.02334546425845474
1959,0.023317606849429597
1960,0.023298554575636184
1961,0.023288626693621542
1962,0.02328572133306547
1963,0.02329001232698959
1964,0.02331651926838926
1965,0.02334882898555536
1966,0.023373983118550053
1967,0.023403620584368973
1968,0.023433294712698886
1969,0.023446855218415812
1970,0.023461962605194585
1971,0.023442402615078857
1972,0.02343058544959474
1973,0.023405654098106812
1974,0.02337616862080592
1975,0.02333615013880522
1976,0.023323325261506916
1977,0.023306743537042558
1978,0.023271780598276694
1979,0.023226846229850447
1980,0.023195705717496042
1981,0.02316671016991937
1982,0.023150693629369404
1983,0.023113276098488966
1984,0.023071637098577673
1985,0.023052789761485268
1986,0.0230421471351292
1987,0.02302203031389841
1988,0.022992696392715777
1989,0.022978396408559223
1990,0.022986357549338466
1991,0.023007177028505663
1992,0.02302500222244167
1993,0.023066859351404543
1994,0.02309784507295782
1995,0.023152340282519748
1996,0.023189129478331388
1997,0.023225185681699907
1998,0.023256567256924297
1999,0.023277837342383072
2000,0.023305431582100158
2001,0.02338401717549589
2002,0.02340220565868852
2003,0.02342952800681815
2004,0.023454692724044435
