year,biochemistry
1800,0.0
1801,0.0
1802,0.0
1803,0.0
1804,0.0
1805,0.0
1806,0.0
1807,0.0
1808,0.0
1809,0.0
1810,0.0
1811,0.0
1812,0.0
1813,0.0
1814,0.0
1815,0.0
1816,0.0
1817,0.0
1818,0.0
1819,0.0
1820,0.0
1821,0.0
1822,0.0
1823,0.0
1824,0.0
1825,0.0
1826,0.0
1827,0.0
1828,0.0
1829,0.0
1830,0.0
1831,0.0
1832,0.0
1833,0.0
1834,0.0
1835,3.186995556347938e-09
1836,3.186995556347938e-09
1837,3.186995556347938e-09
1838,3.5558625567842584e-09
1839,3.5558625567842584e-09
1840,3.5558625567842584e-09
1841,3.5558625567842584e-09
1842,3.688670004363205e-10
1843,3.688670004363205e-10
1844,3.688670004363205e-10
1845,0.0
1846,0.0
1847,0.0
1848,0.0
1849,0.0
1850,2.285131131937338e-10
1851,2.285131131937338e-10
1852,2.285131131937338e-10
1853,4.47489711952187e-10
1854,9.500745111269892e-10
1855,9.500745111269892e-10
1856,9.500745111269892e-10
1857,7.215613979332553e-10
1858,7.215613979332553e-10
1859,7.215613979332553e-10
1860,8.441053887610548e-10
1861,3.4152058958625275e-10
1862,3.4152058958625275e-10
1863,3.4152058958625275e-10
1864,3.4152058958625275e-10
1865,3.4152058958625275e-10
1866,3.4152058958625275e-10
1867,2.6027461138714413e-10
1868,2.6027461138714413e-10
1869,2.6027461138714413e-10
1870,5.04900756124828e-10
1871,5.04900756124828e-10
1872,5.04900756124828e-10
1873,5.04900756124828e-10
1874,2.446261447376839e-10
1875,2.446261447376839e-10
1876,2.446261447376839e-10
1877,1.8216392204197162e-09
1878,2.726652031143877e-09
1879,2.726652031143877e-09
1880,2.726652031143877e-09
1881,3.2127596932036387e-09
1882,4.046070129731001e-09
1883,4.438684134530238e-09
1884,2.6170449141105223e-09
1885,4.5839434787658155e-09
1886,4.5839434787658155e-09
1887,5.309887418647463e-09
1888,6.1687121759896564e-09
1889,6.556329733088871e-09
1890,1.6461075899191054e-08
1891,2.598895609828844e-08
1892,2.3262098549002378e-08
1893,3.0466662446850176e-08
1894,3.500142256981523e-08
1895,4.189881024669567e-08
1896,4.2300313458325834e-08
1897,3.392041585709953e-08
1898,2.6392538305624362e-08
1899,2.7990554770810202e-08
1900,2.236547424245521e-08
1901,2.1170415270039504e-08
1902,1.4936740027377786e-08
1903,1.484810871873624e-08
1904,1.840198305640734e-08
1905,2.769239764483749e-08
1906,4.1200601628789616e-08
1907,4.984911886448832e-08
1908,6.555769831757224e-08
1909,7.412821355158781e-08
1910,8.702024485123567e-08
1911,1.0063398089446959e-07
1912,1.1198632383318293e-07
1913,1.2566104326935547e-07
1914,1.55641089397537e-07
1915,1.8040048646980213e-07
1916,2.3115635474000943e-07
1917,2.7660167615081323e-07
1918,3.166942267635824e-07
1919,3.440885443081346e-07
1920,3.686384692740725e-07
1921,3.844236318479537e-07
1922,3.968733527212212e-07
1923,3.930301791957699e-07
1924,4.164515654230578e-07
1925,5.059366458480343e-07
1926,5.249926828503655e-07
1927,5.885667595200468e-07
1928,6.62421055659073e-07
1929,7.370020903404599e-07
1930,7.741809631462665e-07
1931,8.451892991193484e-07
1932,8.199869654390569e-07
1933,8.555503581776845e-07
1934,9.319860286690788e-07
1935,9.995869056922402e-07
1936,1.0417323664008954e-06
1937,1.1293570837876492e-06
1938,1.1690191347010374e-06
1939,1.2657113087146044e-06
1940,1.3223321571688627e-06
1941,1.2820473495521258e-06
1942,1.2625576627353245e-06
1943,1.3125330414912438e-06
1944,1.3651656211826387e-06
1945,1.3918325174293907e-06
1946,1.4526891588064113e-06
1947,1.5326632184350534e-06
1948,1.6208252700624013e-06
1949,1.7134685853039043e-06
1950,1.8096359397645754e-06
1951,1.8923668473494866e-06
1952,2.0979304449854552e-06
1953,2.141701664015727e-06
1954,2.3314784170582115e-06
1955,2.46133764493704e-06
1956,2.5951743271182944e-06
1957,2.7120703549599057e-06
1958,2.802959692920532e-06
1959,2.840658788321499e-06
1960,3.0411290359617335e-06
1961,3.1774277268985836e-06
1962,3.5057703929705246e-06
1963,3.710943616397344e-06
1964,3.893795108313368e-06
1965,4.123554709118643e-06
1966,4.269579158793542e-06
1967,4.492630731687898e-06
1968,4.681128308854048e-06
1969,4.818341866195754e-06
1970,5.071284558003494e-06
1971,5.418299329968639e-06
1972,5.821178815170112e-06
1973,6.2004427953914794e-06
1974,6.358668596614539e-06
1975,6.678369482569581e-06
1976,6.810916964639092e-06
1977,7.1322067642297175e-06
1978,7.308997072844445e-06
1979,7.405375708710185e-06
1980,7.636489697355434e-06
1981,7.848258241389366e-06
1982,8.077300208242377e-06
1983,8.186859030193513e-06
1984,8.113975872398832e-06
1985,7.879271308297575e-06
1986,7.725294230860006e-06
1987,7.420555415852244e-06
1988,7.152165477261211e-06
1989,6.610474973253336e-06
1990,6.352489777888032e-06
1991,5.99621596413564e-06
1992,5.875673417270784e-06
1993,5.5673073323500185e-06
1994,5.321022093036325e-06
1995,5.11799427321031e-06
1996,4.98798316377653e-06
1997,4.746338122276127e-06
1998,4.503912996714884e-06
1999,4.299122288894555e-06
2000,4.155022593163186e-06
2001,3.978860285057197e-06
2002,3.887311718446066e-06
2003,3.778762115658196e-06
2004,3.7097573950539697e-06
