year,biology
1800,5.013968351619269e-08
1801,4.011174681295415e-08
1802,3.3426455677461796e-08
1803,2.865124772353868e-08
1804,1.9155059253047772e-08
1805,1.4695547128391288e-08
1806,1.3326335717473673e-08
1807,1.1954993439644568e-08
1808,1.1954993439644568e-08
1809,1.3610934601615554e-08
1810,2.1511196379719877e-08
1811,1.486177809389184e-08
1812,1.2663775044481035e-08
1813,1.1324654484009703e-08
1814,2.2288238810119765e-08
1815,2.368573781552641e-08
1816,2.6131194922182233e-08
1817,2.1319365828276204e-08
1818,2.2892015521287183e-08
1819,3.342669804443485e-08
1820,3.7275310901411074e-08
1821,2.631172657530101e-08
1822,2.581072308264051e-08
1823,2.1709324814013694e-08
1824,2.087346714521995e-08
1825,2.556467447258269e-08
1826,1.8919697269177098e-08
1827,1.5388877315304835e-08
1828,1.630057222534731e-08
1829,1.995099162068113e-08
1830,2.4092560993845983e-08
1831,2.5158016051359973e-08
1832,2.7735044768765042e-08
1833,2.970042678462903e-08
1834,2.846078005015938e-08
1835,3.511819961816392e-08
1836,3.4022968474291456e-08
1837,5.8863681579828554e-08
1838,5.997205551214588e-08
1839,6.220230540167546e-08
1840,6.094258859461782e-08
1841,6.79319750610371e-08
1842,6.974314278477119e-08
1843,7.219790229154707e-08
1844,7.475649765886772e-08
1845,1.0955853637005322e-07
1846,1.2661630667741365e-07
1847,1.5630824133440665e-07
1848,1.8832410672179177e-07
1849,2.2829145703998475e-07
1850,3.4166886361422903e-07
1851,3.538069187466622e-07
1852,4.683408152723294e-07
1853,4.645183113081787e-07
1854,4.608886789674622e-07
1855,5.483786195930358e-07
1856,5.378809948235792e-07
1857,5.022503385568708e-07
1858,4.955817764733845e-07
1859,4.2677642952959616e-07
1860,4.455016215931807e-07
1861,5.903883095102561e-07
1862,5.573337061383553e-07
1863,6.279212499801394e-07
1864,6.676717629565992e-07
1865,7.955396486331827e-07
1866,8.515740623136838e-07
1867,1.0727211946662659e-06
1868,1.2214699819220902e-06
1869,1.4082983399126597e-06
1870,1.5427530496278256e-06
1871,1.8802313159125918e-06
1872,2.225213452484403e-06
1873,2.284317451385829e-06
1874,2.3752905085367663e-06
1875,2.28319059455576e-06
1876,2.423149285034145e-06
1877,2.5224538485904953e-06
1878,2.302848286157249e-06
1879,2.356827945756582e-06
1880,2.7329545945674127e-06
1881,2.7707398544407624e-06
1882,2.9200361199497952e-06
1883,2.898054030911875e-06
1884,3.00220667830737e-06
1885,3.204820079158058e-06
1886,3.1314154499893576e-06
1887,3.21634684244795e-06
1888,3.4945310919251175e-06
1889,3.7343413298783294e-06
1890,4.022519959789861e-06
1891,4.2741993330050065e-06
1892,4.405593005328358e-06
1893,4.7435464978207165e-06
1894,4.834535291463128e-06
1895,4.828852561493997e-06
1896,4.790121510365809e-06
1897,4.748502996270483e-06
1898,4.534808121141915e-06
1899,4.768636098820674e-06
1900,4.587835324595549e-06
1901,4.590683362591465e-06
1902,4.5021487307751936e-06
1903,4.505593862193434e-06
1904,4.50495143817469e-06
1905,4.7505711851921925e-06
1906,4.643240988652257e-06
1907,4.780151050860176e-06
1908,4.971997183490982e-06
1909,5.442729512797736e-06
1910,5.753012589236407e-06
1911,5.981279644272166e-06
1912,6.2165350008009616e-06
1913,6.399913421059214e-06
1914,6.723128767102285e-06
1915,6.805788708723932e-06
1916,6.699418881745649e-06
1917,6.6673445583579194e-06
1918,6.911632399107605e-06
1919,7.008736517377656e-06
1920,7.1435896761126324e-06
1921,7.193425442356524e-06
1922,7.3088578927484245e-06
1923,7.626988469106826e-06
1924,8.110366378234956e-06
1925,8.614426759225222e-06
1926,9.211081861946826e-06
1927,9.741292935976681e-06
1928,1.060905089746354e-05
1929,1.1098546069985917e-05
1930,1.1257806322971322e-05
1931,1.1806289693692764e-05
1932,1.1466183248590564e-05
1933,1.1124243997073792e-05
1934,1.1354806933435871e-05
1935,1.0742659465482315e-05
1936,1.0928929595723145e-05
1937,1.114753973346134e-05
1938,1.0692078680969125e-05
1939,1.0819481604227932e-05
1940,1.0880414103147424e-05
1941,1.0364985371325021e-05
1942,1.0172708601073413e-05
1943,9.667530507938083e-06
1944,9.27201082033337e-06
1945,9.128922089627978e-06
1946,9.267292106025186e-06
1947,9.32541408360521e-06
1948,9.385012735460157e-06
1949,9.704940412445597e-06
1950,9.813626164145717e-06
1951,9.92803108447658e-06
1952,9.944878844489072e-06
1953,9.801012763789782e-06
1954,9.915147803748628e-06
1955,1.0240484862882632e-05
1956,1.0427881463215273e-05
1957,1.0465994535024947e-05
1958,1.0859578960012836e-05
1959,1.1330015041721708e-05
1960,1.1791241429851391e-05
1961,1.2174198092550015e-05
1962,1.2552005963633358e-05
1963,1.254310704114557e-05
1964,1.3060497695148246e-05
1965,1.3425315086936151e-05
1966,1.3593347623392608e-05
1967,1.3665786407760347e-05
1968,1.3951038080709363e-05
1969,1.4123030248518781e-05
1970,1.4710472811430009e-05
1971,1.5208801609592878e-05
1972,1.5756838296608423e-05
1973,1.6258065841157077e-05
1974,1.6847757754996045e-05
1975,1.7276716643469365e-05
1976,1.7626758002669313e-05
1977,1.8068597918435053e-05
1978,1.831970748509905e-05
1979,1.844248088543411e-05
1980,1.8968803536673867e-05
1981,1.930986074479993e-05
1982,1.9954881094820723e-05
1983,2.0355806051546616e-05
1984,2.0433360000587137e-05
1985,2.0564664310995795e-05
1986,2.0692483665080935e-05
1987,2.0665252630383944e-05
1988,2.0767849357688256e-05
1989,2.0290024195901424e-05
1990,2.0507469644469112e-05
1991,2.0936658537656122e-05
1992,2.123067228256202e-05
1993,2.1320869279861654e-05
1994,2.147704362138419e-05
1995,2.1544621558535126e-05
1996,2.1784895263213654e-05
1997,2.167723289809536e-05
1998,2.134956178930939e-05
1999,2.120139413161074e-05
2000,2.1122313348038396e-05
2001,2.078880347409852e-05
2002,2.0709253817585704e-05
2003,2.0572908033500427e-05
2004,2.0359659316682155e-05
