year,black paintings
1800,0.0
1801,0.0
1802,0.0
1803,0.0
1804,0.0
1805,0.0
1806,0.0
1807,0.0
1808,0.0
1809,0.0
1810,0.0
1811,0.0
1812,0.0
1813,1.6913945799501562e-09
1814,1.6913945799501562e-09
1815,1.6913945799501562e-09
1816,1.6913945799501562e-09
1817,1.6913945799501562e-09
1818,1.6913945799501562e-09
1819,1.6913945799501562e-09
1820,0.0
1821,0.0
1822,0.0
1823,0.0
1824,5.392111519191595e-10
1825,5.392111519191595e-10
1826,5.392111519191595e-10
1827,5.392111519191595e-10
1828,9.758609793258139e-10
1829,1.8458317414220866e-09
1830,1.8458317414220866e-09
1831,1.306620589502927e-09
1832,1.306620589502927e-09
1833,1.6804750606931001e-09
1834,1.6804750606931001e-09
1835,1.2438252332864457e-09
1836,3.73854471190173e-10
1837,3.73854471190173e-10
1838,3.73854471190173e-10
1839,3.73854471190173e-10
1840,0.0
1841,0.0
1842,0.0
1843,0.0
1844,0.0
1845,0.0
1846,0.0
1847,0.0
1848,0.0
1849,0.0
1850,0.0
1851,3.9969757662358264e-10
1852,8.50381035430051e-10
1853,8.50381035430051e-10
1854,8.50381035430051e-10
1855,1.102382962692161e-09
1856,1.102382962692161e-09
1857,1.5515641628636801e-09
1858,1.1518665862400975e-09
1859,7.011831274336292e-10
1860,7.011831274336292e-10
1861,7.011831274336292e-10
1862,3.1633907556941463e-09
1863,3.1633907556941463e-09
1864,2.7142095555226272e-09
1865,2.7142095555226272e-09
1866,2.958423870959491e-09
1867,2.958423870959491e-09
1868,2.958423870959491e-09
1869,2.4421431543686367e-10
1870,1.879250421943368e-09
1871,1.879250421943368e-09
1872,1.879250421943368e-09
1873,1.6350361065065044e-09
1874,2.6556761868943924e-09
1875,2.872123269373869e-09
1876,3.0804268342470613e-09
1877,1.445390727740557e-09
1878,1.445390727740557e-09
1879,1.6098703005594318e-09
1880,1.6098703005594318e-09
1881,7.437864609930297e-10
1882,5.273393785135535e-10
1883,1.0676330613230383e-09
1884,1.0676330613230383e-09
1885,1.0676330613230383e-09
1886,1.4387762092837875e-09
1887,1.4387762092837875e-09
1888,1.2842199684623016e-09
1889,1.2842199684623016e-09
1890,9.820963090386873e-10
1891,1.285043436739995e-09
1892,1.8384341033644042e-09
1893,1.3028113825847803e-09
1894,1.434777344552377e-09
1895,1.434777344552377e-09
1896,1.434777344552377e-09
1897,9.883037562933135e-10
1898,6.853566285920059e-10
1899,4.4351306754159785e-10
1900,5.510519104515562e-10
1901,4.190859484839596e-10
1902,4.190859484839596e-10
1903,4.190859484839596e-10
1904,4.190859484839596e-10
1905,4.190859484839596e-10
1906,1.0753884290995837e-10
1907,0.0
1908,0.0
1909,2.8523919734116786e-10
1910,2.8523919734116786e-10
1911,6.960507725750631e-10
1912,9.206419594929929e-10
1913,9.206419594929929e-10
1914,9.206419594929929e-10
1915,9.206419594929929e-10
1916,6.354027621518249e-10
1917,6.354027621518249e-10
1918,1.3433202645478967e-09
1919,1.215048736228194e-09
1920,1.3333472342098268e-09
1921,1.3333472342098268e-09
1922,2.5564847778396835e-09
1923,3.07338777443584e-09
1924,3.2974204557310676e-09
1925,2.6279907377230974e-09
1926,2.5316710791248703e-09
1927,2.632218570093008e-09
1928,2.7472597609522e-09
1929,1.5241222173223434e-09
1930,1.007219220726187e-09
1931,1.3004679000339081e-09
1932,8.51168540411911e-10
1933,8.51168540411911e-10
1934,6.323225514621405e-10
1935,2.7841659136892562e-09
1936,3.1112641986551027e-09
1937,3.1112641986551027e-09
1938,2.593982838052154e-09
1939,2.593982838052154e-09
1940,2.593982838052154e-09
1941,2.593982838052154e-09
1942,3.2709828496584644e-10
1943,3.39629277082817e-10
1944,8.312888472821506e-10
1945,1.0146927425276025e-09
1946,1.4299443058212497e-09
1947,2.258829076165877e-09
1948,2.258829076165877e-09
1949,4.107593899936392e-09
1950,4.024935210519434e-09
1951,3.6971942808859482e-09
1952,6.002572835609295e-09
1953,5.887185659604808e-09
1954,5.756157122378219e-09
1955,6.928082028702574e-09
1956,6.135441345454597e-09
1957,7.217042015593224e-09
1958,8.114611605674378e-09
1959,7.318595590666277e-09
1960,7.941387440503687e-09
1961,7.70866940122009e-09
1962,8.024176244094048e-09
1963,9.328325500934652e-09
1964,9.555775397153608e-09
1965,1.2894221044065392e-08
1966,1.303489993323811e-08
1967,1.531656077762606e-08
1968,1.7102868058290913e-08
1969,1.878349661524733e-08
1970,1.9143736278743565e-08
1971,1.9632301808046393e-08
1972,1.901666742330578e-08
1973,2.10675535271067e-08
1974,2.2913247410549786e-08
1975,2.300059980570828e-08
1976,2.5453531679201346e-08
1977,2.624472385050401e-08
1978,2.9364261248744835e-08
1979,2.763236646243149e-08
1980,2.994387447917214e-08
1981,2.899242076970232e-08
1982,3.11733059108318e-08
1983,2.9002197919030566e-08
1984,2.9705031611069818e-08
1985,2.828643072748184e-08
1986,3.1424402054709103e-08
1987,2.905297864785883e-08
1988,2.9922854236086316e-08
1989,2.9323425481437533e-08
1990,3.209948146573208e-08
1991,3.2187575997401555e-08
1992,3.285230360171111e-08
1993,3.284120610775558e-08
1994,3.3438503811116556e-08
1995,3.613427127751352e-08
1996,3.520729980174434e-08
1997,3.328310964235375e-08
1998,3.33772104885166e-08
1999,3.272389774929195e-08
2000,3.146375209281801e-08
2001,2.976036581951526e-08
2002,2.5778859760970198e-08
2003,2.6744035820647215e-08
2004,2.5901982253495603e-08
