year,catastrophism
1800,0.0
1801,0.0
1802,0.0
1803,0.0
1804,0.0
1805,0.0
1806,0.0
1807,0.0
1808,0.0
1809,0.0
1810,0.0
1811,0.0
1812,0.0
1813,0.0
1814,0.0
1815,0.0
1816,0.0
1817,0.0
1818,0.0
1819,0.0
1820,0.0
1821,0.0
1822,0.0
1823,0.0
1824,0.0
1825,0.0
1826,0.0
1827,3.3379912167674775e-09
1828,3.3379912167674775e-09
1829,3.3379912167674775e-09
1830,3.3379912167674775e-09
1831,3.3379912167674775e-09
1832,3.3379912167674775e-09
1833,3.3379912167674775e-09
1834,0.0
1835,0.0
1836,0.0
1837,0.0
1838,0.0
1839,0.0
1840,0.0
1841,0.0
1842,0.0
1843,0.0
1844,0.0
1845,0.0
1846,0.0
1847,0.0
1848,0.0
1849,0.0
1850,0.0
1851,0.0
1852,0.0
1853,4.3795319751690643e-10
1854,4.3795319751690643e-10
1855,4.3795319751690643e-10
1856,4.3795319751690643e-10
1857,4.3795319751690643e-10
1858,4.3795319751690643e-10
1859,4.3795319751690643e-10
1860,0.0
1861,0.0
1862,0.0
1863,0.0
1864,0.0
1865,0.0
1866,0.0
1867,1.0150709637914344e-08
1868,2.3153029112979847e-08
1869,2.9456068409824558e-08
1870,3.0434572972914964e-08
1871,3.447346073683276e-08
1872,3.447346073683276e-08
1873,4.0383451455865734e-08
1874,4.157192588584633e-08
1875,3.174722635573041e-08
1876,2.9373340061842968e-08
1877,3.130945807378842e-08
1878,2.799458054258963e-08
1879,2.902914941760315e-08
1880,2.6497859573204607e-08
1881,1.6779034431709964e-08
1882,1.4601387004249083e-08
1883,1.1064848006091057e-08
1884,1.0644408069257087e-08
1885,1.4766748458937077e-08
1886,1.4668125063772256e-08
1887,1.2559826099791036e-08
1888,1.2956865834214324e-08
1889,1.4703981334106077e-08
1890,1.8055861885000827e-08
1891,3.8428591927644866e-08
1892,3.6773425384138495e-08
1893,4.277017346636975e-08
1894,5.8250961007136736e-08
1895,5.99683636399411e-08
1896,5.919137059860548e-08
1897,6.428850950003704e-08
1898,5.031049722857363e-08
1899,5.256640786147467e-08
1900,5.2628569026578834e-08
1901,4.5025080584539164e-08
1902,4.499041447328774e-08
1903,4.557665261861743e-08
1904,3.947068767860631e-08
1905,3.370681347528556e-08
1906,3.4493816509455806e-08
1907,3.561809641672298e-08
1908,2.784507412740516e-08
1909,3.4225082125503644e-08
1910,3.4827690049381895e-08
1911,3.489547855434998e-08
1912,3.82566599827732e-08
1913,3.287332677499271e-08
1914,3.586272109438023e-08
1915,3.929877317216628e-08
1916,3.072686841473374e-08
1917,2.900812691640299e-08
1918,2.8905236014255464e-08
1919,2.4339643435654168e-08
1920,2.9816656033077045e-08
1921,2.244991656067238e-08
1922,2.264447927581768e-08
1923,2.3441338743117916e-08
1924,2.5290548322232098e-08
1925,2.7301953967448104e-08
1926,2.8848376988830993e-08
1927,2.7225550615548958e-08
1928,2.565593133972501e-08
1929,2.6458921458567227e-08
1930,2.711715778115829e-08
1931,2.8031023922649367e-08
1932,2.776362537490077e-08
1933,2.596347140456804e-08
1934,2.2881528021529666e-08
1935,2.2520810898691527e-08
1936,2.071505804985512e-08
1937,2.3081291608154482e-08
1938,2.3489906638854815e-08
1939,2.1505138352624032e-08
1940,2.4331553819375732e-08
1941,2.3763891045445818e-08
1942,2.3031910093404155e-08
1943,2.1166499251736223e-08
1944,1.9032529806141596e-08
1945,1.8842849280886753e-08
1946,2.0474565883990944e-08
1947,1.997750850460786e-08
1948,2.373338478126438e-08
1949,2.9260407025904252e-08
1950,3.1075411172880914e-08
1951,3.2091199895857766e-08
1952,3.027867056288563e-08
1953,3.310405994565764e-08
1954,3.079066415326689e-08
1955,3.798000280148222e-08
1956,4.576831478887909e-08
1957,5.340588806111515e-08
1958,5.1530969824575834e-08
1959,5.632086373465382e-08
1960,6.545395011706542e-08
1961,7.3713945550732e-08
1962,7.214431566434801e-08
1963,7.311960878045706e-08
1964,7.242543821815519e-08
1965,7.710808812090773e-08
1966,7.702853192197751e-08
1967,7.125654706365201e-08
1968,7.011341228633863e-08
1969,6.77593614907744e-08
1970,6.104789405341523e-08
1971,6.417151427303861e-08
1972,6.867318878238976e-08
1973,7.239832313813263e-08
1974,7.503334375650158e-08
1975,7.510118225322645e-08
1976,7.648852734917382e-08
1977,8.093346974348745e-08
1978,7.68550968025369e-08
1979,8.139253115142203e-08
1980,8.643331908134552e-08
1981,8.59245765055012e-08
1982,8.785884813725506e-08
1983,9.022963633000178e-08
1984,9.038530846788057e-08
1985,9.403374510005439e-08
1986,9.3113359887566e-08
1987,8.791079162248243e-08
1988,8.458045810558598e-08
1989,8.844645503293589e-08
1990,9.117910920730667e-08
1991,8.993236143879052e-08
1992,8.963418026062899e-08
1993,8.751594866256747e-08
1994,9.262100596802673e-08
1995,9.683543888178954e-08
1996,9.595726042326597e-08
1997,9.285290129636334e-08
1998,8.9815094060443e-08
1999,8.842509656238815e-08
2000,8.851536821761843e-08
2001,8.344604914199496e-08
2002,8.185060247171509e-08
2003,7.891523304826009e-08
2004,7.858325373755193e-08
