year,century
1800,9.806920527921648e-05
1801,9.766766870598075e-05
1802,9.658667001607076e-05
1803,9.33261896603556e-05
1804,9.299459090479039e-05
1805,8.973105767649616e-05
1806,8.795213337415524e-05
1807,8.359782167945338e-05
1808,8.195551307161557e-05
1809,7.920467400879261e-05
1810,8.153164791987626e-05
1811,8.589420843106512e-05
1812,8.569531420172487e-05
1813,8.466929662225604e-05
1814,8.432753336608454e-05
1815,8.466634115831897e-05
1816,8.792255964554637e-05
1817,8.513676114928006e-05
1818,8.370564474700715e-05
1819,8.450474674402488e-05
1820,8.48882112539481e-05
1821,8.561559646328274e-05
1822,8.474602273216597e-05
1823,8.298861628678164e-05
1824,8.653396256314798e-05
1825,8.36124026071567e-05
1826,8.595370013608772e-05
1827,8.436987814418118e-05
1828,8.642964222157649e-05
1829,8.791564762792145e-05
1830,8.848405812094434e-05
1831,8.834297353489871e-05
1832,9.064277730073757e-05
1833,9.029460446592046e-05
1834,9.396074313729385e-05
1835,9.522091112655418e-05
1836,9.493404429252094e-05
1837,9.76702445833715e-05
1838,0.00010031627047218146
1839,9.935147126530605e-05
1840,0.00010024165486096795
1841,0.00010158782239549119
1842,0.00010104861332495472
1843,0.00010741894290536687
1844,0.00010880345658798822
1845,0.00010671509669789105
1846,0.00011120302029407218
1847,0.00011352083387399554
1848,0.00011417940126128607
1849,0.00011371091526208538
1850,0.00011106929870103548
1851,0.00011143120523878938
1852,0.00011362585623178998
1853,0.00011176259096958217
1854,0.00011181666718584893
1855,0.00011143109548226805
1856,0.00011284208824235975
1857,0.0001125633481089088
1858,0.00011238380557188066
1859,0.0001137546926039639
1860,0.00011477478246238855
1861,0.00011634887187028653
1862,0.00011703894444638405
1863,0.00011634660745585279
1864,0.00011961360395876648
1865,0.00011921730588580561
1866,0.00011970221739180229
1867,0.0001199984025593689
1868,0.00011915229185888165
1869,0.00012474098411985324
1870,0.00012622273936813144
1871,0.00012595458752327562
1872,0.00012862887971160878
1873,0.00013134700009231892
1874,0.00013503555195321885
1875,0.00014187257230397727
1876,0.0001394477357377712
1877,0.00014147397717221923
1878,0.0001429247930348408
1879,0.0001451805619418727
1880,0.00014381554266102676
1881,0.00014311021199578784
1882,0.00014030388868897195
1883,0.000144162908002597
1884,0.00014711629959102926
1885,0.0001474536616927123
1886,0.000147409254379584
1887,0.0001507191528194848
1888,0.0001531105511146182
1889,0.00015683476403540096
1890,0.00015727217982787676
1891,0.0001592694388818927
1892,0.00016145217130412803
1893,0.0001655914181973068
1894,0.00016707691395367874
1895,0.0001678304322954968
1896,0.00016962187221127224
1897,0.00017161885992728846
1898,0.00017469282342322655
1899,0.00017830503432898176
1900,0.00017705879447151216
1901,0.00017822026429062783
1902,0.00018050583928795407
1903,0.00018138894392905056
1904,0.00018406941285320502
1905,0.00018265605542312966
1906,0.00018212297852317403
1907,0.00018380649560510522
1908,0.00018340854749762263
1909,0.0001868916211346264
1910,0.0001861435901641276
1911,0.00018220040276771345
1912,0.00018129200287018776
1913,0.0001770058805894743
1914,0.00017346648447918206
1915,0.00017119895068974853
1916,0.0001644314066230176
1917,0.00016514706175842418
1918,0.0001666690237048637
1919,0.0001670421692259489
1920,0.00017305812343693106
1921,0.00018093867457277417
1922,0.0001877071751193528
1923,0.00019668268190084094
1924,0.00020299698012747416
1925,0.0002069730613811771
1926,0.00021160945811971033
1927,0.00021454097233280272
1928,0.00021544761833475995
1929,0.0002154309072466276
1930,0.00021396373196174473
1931,0.000211700435361958
1932,0.00021633499068229867
1933,0.0002195105846242638
1934,0.0002214483571541288
1935,0.0002232334264655427
1936,0.0002274524406402634
1937,0.00022811621965956874
1938,0.0002298359442128068
1939,0.00022423999335582527
1940,0.00021923609751541207
1941,0.00021596712099380963
1942,0.00021327885329875635
1943,0.0002095908590880364
1944,0.00021150359823098242
1945,0.00021294224377145708
1946,0.00021778721734985344
1947,0.00022255186565546737
1948,0.00022514145551407898
1949,0.00022755700683774194
1950,0.00023089240681071845
1951,0.00023059864983159578
1952,0.0002293811285036489
1953,0.0002288959536664541
1954,0.00023296926700108349
1955,0.00023699710149165703
1956,0.00023944634460804084
1957,0.00024195161841232348
1958,0.0002442325761486635
1959,0.0002498280119393062
1960,0.0002534745939816016
1961,0.0002544804522780656
1962,0.0002562656321255677
1963,0.0002593710608412688
1964,0.00025971772192536136
1965,0.00026092499305312747
1966,0.0002581137829663151
1967,0.00025654899031581275
1968,0.0002540248069148479
1969,0.00025069886768441004
1970,0.0002468206307802185
1971,0.0002444008387263758
1972,0.00024331780996687618
1973,0.00024197200033475904
1974,0.00024078119148336036
1975,0.00023890452608351813
1976,0.00023767041687148906
1977,0.00023679523314967812
1978,0.00023573577157419225
1979,0.00023289695307734552
1980,0.00023120104640383945
1981,0.00022957442744037898
1982,0.0002283139822663673
1983,0.00022634953858511966
1984,0.000225740980876513
1985,0.00022556230681759968
1986,0.00022680456417642096
1987,0.0002255964907444
1988,0.00022525601046449343
1989,0.00022545642787820597
1990,0.00022794916755434054
1991,0.00022929603947626932
1992,0.00023084142439496903
1993,0.00023462821037258306
1994,0.0002385770276954905
1995,0.0002415809903644523
1996,0.0002446551496697274
1997,0.00024738865943163546
1998,0.0002477011702483521
1999,0.0002470160080503904
2000,0.00024192935488339832
2001,0.00023836415898261163
2002,0.00023718533793726237
2003,0.00023473735889183444
2004,0.00022922731616858982
