year,color
1800,9.299185894207085e-06
1801,7.816370029445352e-06
1802,8.213109905952365e-06
1803,8.477689769494288e-06
1804,7.915047941509101e-06
1805,7.834841668393924e-06
1806,7.320754224033571e-06
1807,6.850944747632022e-06
1808,7.127876508202949e-06
1809,6.592720742913473e-06
1810,5.935977828386285e-06
1811,5.518179747302351e-06
1812,4.654665537578191e-06
1813,4.793450421607709e-06
1814,4.380709019408917e-06
1815,4.706515667101436e-06
1816,4.535540285439359e-06
1817,4.419650334851002e-06
1818,4.319650799595414e-06
1819,4.939772069358282e-06
1820,4.415669536366502e-06
1821,4.426938620825739e-06
1822,3.891085107486449e-06
1823,4.184300421103007e-06
1824,3.957740984050773e-06
1825,4.910470997535451e-06
1826,5.112810177486184e-06
1827,5.781609561296617e-06
1828,7.102750956944348e-06
1829,9.998512327477219e-06
1830,1.1003437396097024e-05
1831,1.2261683807159229e-05
1832,1.3940707308471697e-05
1833,1.5469395458505325e-05
1834,1.598414018281044e-05
1835,1.6902438936420138e-05
1836,1.5613099289308557e-05
1837,1.543679324398996e-05
1838,1.591949298226528e-05
1839,1.5042334526934758e-05
1840,1.4336181899768771e-05
1841,1.4270747005694164e-05
1842,1.43555114962319e-05
1843,1.5636889196305302e-05
1844,1.7061808043347275e-05
1845,1.796834819829079e-05
1846,1.9698806165686327e-05
1847,2.1960799024104256e-05
1848,2.570067175509751e-05
1849,2.782020173443454e-05
1850,2.8611648893165208e-05
1851,2.9939917966308777e-05
1852,3.2043693290668375e-05
1853,3.296251843311536e-05
1854,3.442331653248841e-05
1855,3.416920135482623e-05
1856,3.560294475235537e-05
1857,3.7351123360959294e-05
1858,3.787954792297147e-05
1859,4.017841214018095e-05
1860,4.170624760847984e-05
1861,4.0898882605436674e-05
1862,4.134996045378005e-05
1863,4.097034596993256e-05
1864,4.2195296393694146e-05
1865,4.3510938902662535e-05
1866,4.256939662436058e-05
1867,4.206251988238461e-05
1868,4.3183333134371485e-05
1869,4.4407654465926166e-05
1870,4.5261768714713716e-05
1871,4.5208201872323374e-05
1872,4.4476593790778096e-05
1873,4.394231490221857e-05
1874,4.3348442114319945e-05
1875,4.3004863717856416e-05
1876,4.4708158919247255e-05
1877,4.546675439952098e-05
1878,4.640700035756546e-05
1879,4.7362279198231203e-05
1880,4.9332233950443485e-05
1881,5.0644776901468246e-05
1882,5.3773357547827664e-05
1883,5.296851770302575e-05
1884,5.321517034774712e-05
1885,5.2716613818607326e-05
1886,5.4724782521426664e-05
1887,5.50159613957086e-05
1888,5.63449592253359e-05
1889,5.570700272171183e-05
1890,5.598620054619069e-05
1891,5.716508471412648e-05
1892,5.92200907009653e-05
1893,5.915171235163338e-05
1894,6.0349205652089814e-05
1895,6.322245089458127e-05
1896,6.334551726995739e-05
1897,6.510335263953948e-05
1898,6.639544661928605e-05
1899,6.617708202887635e-05
1900,6.757595128143683e-05
1901,6.76754689063078e-05
1902,6.838690531805826e-05
1903,6.964372192490893e-05
1904,7.026600880521984e-05
1905,6.905535299698125e-05
1906,7.120411580428611e-05
1907,7.245847542338067e-05
1908,7.430066035648712e-05
1909,7.482996056345266e-05
1910,7.70659510465066e-05
1911,7.986994472324633e-05
1912,8.396031618320064e-05
1913,8.773029070344558e-05
1914,9.064113843594766e-05
1915,9.250790638556541e-05
1916,9.215135683656886e-05
1917,9.255062917645773e-05
1918,9.19659327678346e-05
1919,9.053461245197729e-05
1920,8.69671202313579e-05
1921,8.472709286674476e-05
1922,8.372806765269811e-05
1923,8.356788764071357e-05
1924,8.270463798355975e-05
1925,8.278139639677258e-05
1926,8.320769540302666e-05
1927,8.37692745676577e-05
1928,8.32133570806296e-05
1929,8.142894069708615e-05
1930,7.99182354122812e-05
1931,7.78561527405535e-05
1932,7.599057865296086e-05
1933,7.524322817939069e-05
1934,7.640104567891676e-05
1935,7.771790610279692e-05
1936,7.949656131651344e-05
1937,8.246957648745073e-05
1938,8.791507317645093e-05
1939,9.36575984837873e-05
1940,9.619020148323086e-05
1941,9.77128941193379e-05
1942,9.897164737334867e-05
1943,9.968753853075085e-05
1944,0.000101451643225963
1945,0.00010100324273512992
1946,9.817389383215414e-05
1947,9.576384533309984e-05
1948,9.342394991205894e-05
1949,9.001881053498957e-05
1950,8.931916903520687e-05
1951,8.873035271303056e-05
1952,8.508273251501513e-05
1953,8.247269456010795e-05
1954,8.149331211728037e-05
1955,7.946956531311245e-05
1956,8.05984082278753e-05
1957,7.767688064827131e-05
1958,7.354498312192196e-05
1959,7.203587605480217e-05
