year,colour
1800,0.00011249791884893057
1801,0.00011995486929663456
1802,0.00011317084310273155
1803,0.00010762094304287269
1804,0.00011609381374455552
1805,0.00011470945058330731
1806,0.00011550283565091897
1807,0.000114425522318535
1808,0.00010451902621103468
1809,0.00010433866788974098
1810,0.00010647528936910282
1811,9.384117124357416e-05
1812,9.728135980172477e-05
1813,9.372864527839348e-05
1814,9.051670282847876e-05
1815,9.01944865177029e-05
1816,9.664011025733998e-05
1817,9.458816210131511e-05
1818,9.720220426093615e-05
1819,9.63998267918344e-05
1820,9.487813064522146e-05
1821,9.309735866379144e-05
1822,9.482911689571796e-05
1823,8.893888858502968e-05
1824,8.860094978250084e-05
1825,8.527759526292096e-05
1826,8.269450546549706e-05
1827,8.066343716401596e-05
1828,8.29535881215244e-05
1829,8.209734108634492e-05
1830,8.140860494774773e-05
1831,8.278843738805466e-05
1832,8.28140289205034e-05
1833,8.304674500030678e-05
1834,8.325662992092475e-05
1835,7.745135059167296e-05
1836,7.462267819034552e-05
1837,7.278773953852838e-05
1838,7.230126132234156e-05
1839,7.206215938789943e-05
1840,7.219900543629722e-05
1841,7.184080811027473e-05
1842,7.13539911722754e-05
1843,7.214012514720838e-05
1844,7.226825099288752e-05
1845,7.057916829061079e-05
1846,6.872334178556879e-05
1847,6.580346057814625e-05
1848,6.408100555940368e-05
1849,6.482887903302981e-05
1850,6.362987652762187e-05
1851,6.198019480052608e-05
1852,6.102888429333169e-05
1853,5.880245813776648e-05
1854,5.916805040279931e-05
1855,5.99216343581637e-05
1856,5.7517905150104654e-05
1857,5.799921737954199e-05
1858,6.0722196021093365e-05
1859,6.207534363511513e-05
1860,6.618346014874987e-05
1861,6.61175700672954e-05
1862,6.627047858793438e-05
1863,6.756980565114645e-05
1864,6.634937197499573e-05
1865,6.560478178536349e-05
1866,6.61132309817601e-05
1867,6.486243273684522e-05
1868,6.514988485508053e-05
1869,6.605238705300767e-05
1870,6.742525017346322e-05
1871,7.064669057399442e-05
1872,7.024503890664034e-05
1873,6.886671363710255e-05
1874,6.84066750409329e-05
1875,6.898803300308438e-05
1876,6.902706581968232e-05
1877,6.706079021309312e-05
1878,6.284800185442561e-05
1879,6.25336015218636e-05
1880,6.105362373481122e-05
1881,6.0493193879145626e-05
1882,6.045951860349825e-05
1883,5.7834128239976834e-05
1884,5.645477347115957e-05
1885,5.6498339452965804e-05
1886,5.5609088235542004e-05
1887,5.5645266408126706e-05
1888,5.714057181194221e-05
1889,5.625729849206047e-05
1890,5.654681847642808e-05
1891,5.7596322449171566e-05
1892,6.006560041831627e-05
1893,5.977765686436344e-05
1894,5.9968020082123985e-05
1895,5.7036241141109455e-05
1896,5.484406923577418e-05
1897,5.38623867701712e-05
1898,5.367421095213233e-05
1899,5.303841299207436e-05
1900,5.411556435319653e-05
1901,5.737397922140579e-05
1902,5.948243350368492e-05
1903,6.341699788338571e-05
1904,6.634368904607462e-05
1905,6.789114448630633e-05
1906,6.697942980541225e-05
1907,6.67430855238698e-05
1908,6.422571183455667e-05
1909,6.376086740341893e-05
1910,6.211080121179943e-05
1911,6.0853037211927585e-05
1912,5.801135931246141e-05
1913,5.602860629291432e-05
1914,5.2177154965907645e-05
1915,4.843541268785754e-05
1916,4.562882481552931e-05
1917,4.412382718653264e-05
1918,4.227017343185123e-05
1919,4.1229032425300314e-05
1920,4.4636525558416906e-05
1921,4.866701345105996e-05
1922,5.310320157799911e-05
1923,5.575574462974535e-05
1924,5.6135678310706036e-05
1925,5.679833764458766e-05
1926,5.835995547645975e-05
1927,5.588121004101205e-05
1928,5.362317649217273e-05
1929,5.11526966420206e-05
1930,5.013406709102647e-05
1931,4.876920989512915e-05
1932,4.725501691739607e-05
1933,4.615799015742336e-05
1934,4.5581405012334085e-05
1935,4.5377689665266576e-05
1936,4.367644867540678e-05
1937,4.071204979741846e-05
1938,3.764202002847534e-05
1939,3.524733717443139e-05
1940,3.2656981407594034e-05
1941,3.063066310460272e-05
1942,2.8845045205473848e-05
1943,2.9786233751240487e-05
1944,3.1348646156662395e-05
1945,3.4315562256129594e-05
1946,3.710401327745265e-05
1947,3.9127502239872615e-05
1948,4.1192110042434896e-05
1949,4.3070666184316254e-05
1950,4.324979032129964e-05
1951,4.329664300582538e-05
1952,4.253118062739044e-05
1953,4.206321805863159e-05
1954,4.2177519779735515e-05
1955,4.125207237848372e-05
1956,3.988073561751142e-05
1957,3.906270054747957e-05
1958,3.800176386903331e-05
1959,3.845945876232041e-05
1960,3.784450788251499e-05
1961,3.752630258142225e-05
1962,3.716837526163934e-05
1963,3.751220343214559e-05
1964,3.786588942083264e-05
1965,3.8431061804138676e-05
1966,3.787630173844394e-05
1967,3.7948003637211514e-05
1968,3.724539520330186e-05
1969,3.726207543357824e-05
1970,3.6993841052078225e-05
1971,3.566789700926165e-05
1972,3.4799180866684765e-05
1973,3.386559105170558e-05
1974,3.27926502450282e-05
