year,eclipse
1800,5.992939500876204e-06
1801,5.618537721652217e-06
1802,5.312189733282698e-06
1803,5.345952610496291e-06
1804,5.438462180786173e-06
1805,5.484378207830178e-06
1806,5.40163923342821e-06
1807,5.117002644843588e-06
1808,5.741611545317937e-06
1809,6.023722086975372e-06
1810,6.249221198168747e-06
1811,7.229356140011793e-06
1812,7.684870346683478e-06
1813,7.340702340335221e-06
1814,7.199757801374622e-06
1815,6.69637399410204e-06
1816,6.820801938621303e-06
1817,6.58835297619374e-06
1818,5.972020786718499e-06
1819,5.593024576303459e-06
1820,5.939340408188189e-06
1821,5.9150355258909475e-06
1822,5.942921836802181e-06
1823,5.788084885161027e-06
1824,5.798672876089483e-06
1825,5.620304189030938e-06
1826,5.738854691271301e-06
1827,5.392392807834767e-06
1828,5.26293372108252e-06
1829,5.454052669559165e-06
1830,5.2710976043662024e-06
1831,5.1351003559828105e-06
1832,5.1391058612436165e-06
1833,4.990699435301695e-06
1834,4.941807456582126e-06
1835,5.127101910648183e-06
1836,5.171542009740904e-06
1837,5.489827311855322e-06
1838,5.718139916360039e-06
1839,5.493994201038227e-06
1840,5.385651021023413e-06
1841,5.299333603302006e-06
1842,5.227111021355313e-06
1843,5.005408772161348e-06
1844,4.710095850108636e-06
1845,4.564996815353034e-06
1846,4.665852696967526e-06
1847,5.088879022047925e-06
1848,5.153212687046351e-06
1849,5.8282320356539685e-06
1850,5.898292587299839e-06
1851,6.184603015617946e-06
1852,6.266276961954174e-06
1853,6.377700569057002e-06
1854,6.523520587973865e-06
1855,6.797573735387426e-06
1856,6.235626512664436e-06
1857,6.5521407200159435e-06
1858,6.317196961853305e-06
1859,6.215955807980273e-06
1860,6.210893610208196e-06
1861,5.538824090426227e-06
1862,5.1754576451758434e-06
1863,5.095795717835473e-06
1864,4.800715261511966e-06
1865,4.893171580684046e-06
1866,4.999832657099595e-06
1867,5.172788668009584e-06
1868,5.9675339778258215e-06
1869,6.706484959246544e-06
1870,6.9219067191690035e-06
1871,7.882327669303127e-06
1872,7.932526782740621e-06
1873,7.905901158876207e-06
1874,7.825800961670992e-06
1875,7.303404966510893e-06
1876,6.7874936188364435e-06
1877,6.537266179305692e-06
1878,5.435425301466727e-06
1879,5.322093225552342e-06
1880,5.401807242780673e-06
1881,5.237785506904759e-06
1882,5.18259629852683e-06
1883,5.2271497428892284e-06
1884,5.3061062205626645e-06
1885,5.327362985545798e-06
1886,6.052314860076942e-06
1887,6.056460486141596e-06
1888,6.2021743301800465e-06
1889,6.1800349736732386e-06
1890,6.1980738063230745e-06
1891,6.490128083466321e-06
1892,6.599878372323279e-06
1893,5.853819640070209e-06
1894,5.9777065867397794e-06
1895,6.1794218128495355e-06
1896,6.186062622402591e-06
1897,6.292555754937115e-06
1898,6.017111715550527e-06
1899,6.261357268856825e-06
1900,6.271845685595119e-06
1901,6.035041189582964e-06
1902,5.659421371920611e-06
1903,5.754552754565014e-06
1904,5.493267416056824e-06
1905,5.3432895441574155e-06
1906,5.131716317663404e-06
1907,5.1448726914316e-06
1908,4.904393550069537e-06
1909,4.804411236339742e-06
1910,4.596644364442324e-06
1911,4.449860869369461e-06
1912,4.443783959727301e-06
1913,4.25046160503127e-06
1914,4.113818532301496e-06
1915,4.388138333207995e-06
1916,4.515140121595453e-06
1917,4.527671463400956e-06
1918,4.5382927333597375e-06
1919,4.4890550167256805e-06
1920,5.191815646859205e-06
1921,5.576958468874896e-06
1922,5.6766024789973405e-06
1923,5.888280962754574e-06
1924,5.995038670952063e-06
1925,6.226048322486934e-06
1926,6.370894798887353e-06
1927,5.682149702376396e-06
1928,5.4459538704674874e-06
1929,5.373409776560883e-06
1930,5.042906176454056e-06
1931,5.361347402096531e-06
1932,5.382612508851383e-06
1933,5.2302328979538156e-06
1934,5.32964896698169e-06
1935,5.2998566267043704e-06
1936,5.247814019274496e-06
1937,5.399632908417322e-06
1938,4.96719917413608e-06
1939,4.957502155836631e-06
1940,5.173051333327651e-06
1941,5.074193307308405e-06
1942,5.085575490377486e-06
1943,5.042515120631411e-06
1944,4.9169822270909795e-06
1945,4.95349048991654e-06
1946,4.683972432267021e-06
1947,4.5110981530578035e-06
1948,4.678323203372818e-06
1949,4.605932127889543e-06
1950,4.413000892965004e-06
1951,4.374125414890223e-06
1952,4.395936633626109e-06
1953,4.401456640173202e-06
1954,4.350957003700679e-06
1955,4.157808090963856e-06
1956,4.1763272576084935e-06
1957,4.23404017573554e-06
1958,4.372107447129078e-06
1959,4.2638785952168035e-06
1960,4.288734265754458e-06
1961,4.348177477250407e-06
1962,4.220829522592697e-06
1963,4.1177603564384365e-06
1964,4.012173713263678e-06
1965,3.803278328971617e-06
1966,3.777484499930698e-06
1967,3.8129531641268547e-06
1968,3.692489687472695e-06
1969,3.644791854995333e-06
1970,3.544414458695704e-06
1971,3.502511108065067e-06
1972,3.46441491621314e-06
1973,3.3901294135115937e-06
1974,3.1996207821651164e-06
1975,3.1785822070925666e-06
1976,3.18441453980459e-06
1977,3.1718443719138833e-06
1978,3.0902250911830317e-06
1979,3.0513043764049797e-06
1980,2.9941700004444882e-06
1981,2.9934226348465084e-06
1982,2.9305218863636843e-06
1983,2.8200690377186026e-06
1984,2.7583758779314853e-06
1985,2.750131577451092e-06
1986,2.750491428774434e-06
1987,2.699934831643499e-06
1988,2.7612861848475793e-06
1989,2.8137750466125255e-06
1990,2.8290082698033203e-06
1991,2.8594873344088356e-06
1992,2.9036768408121e-06
1993,2.8640847367406807e-06
1994,3.0057761648549786e-06
1995,2.925194070968473e-06
1996,2.972559633868903e-06
1997,3.0366988674757067e-06
1998,3.108595908685175e-06
1999,3.118766746317598e-06
2000,3.233820969735949e-06
2001,3.3285184924482436e-06
2002,3.4081141944142246e-06
2003,3.3892378468181046e-06
2004,3.4307425824664506e-06
