year,ecology
1800,2.3301303109235505e-09
1801,1.8641042487388402e-09
1802,1.553420207282367e-09
1803,1.3315030348134575e-09
1804,1.3315030348134575e-09
1805,0.0
1806,2.0717147362704834e-09
1807,2.0717147362704834e-09
1808,2.8773676774562773e-09
1809,2.8773676774562773e-09
1810,2.8773676774562773e-09
1811,2.8773676774562773e-09
1812,2.8773676774562773e-09
1813,1.6898787131529908e-09
1814,2.472991843051529e-09
1815,1.6673389018657353e-09
1816,2.487618555591098e-09
1817,2.487618555591098e-09
1818,2.487618555591098e-09
1819,2.487618555591098e-09
1820,1.603392783623901e-09
1821,8.202796537253627e-10
1822,8.202796537253627e-10
1823,0.0
1824,5.631437538511364e-10
1825,5.631437538511364e-10
1826,5.631437538511364e-10
1827,1.3976415580430057e-09
1828,2.309336468085478e-09
1829,2.309336468085478e-09
1830,3.689859592473762e-09
1831,3.126715838622626e-09
1832,3.126715838622626e-09
1833,3.126715838622626e-09
1834,2.2922180344307564e-09
1835,1.3805231243882839e-09
1836,3.7967016197626435e-09
1837,2.4161784953743594e-09
1838,2.78504549581068e-09
1839,3.1950875596058785e-09
1840,3.902067621400615e-09
1841,4.583457550008266e-09
1842,4.583457550008266e-09
1843,6.208529563472048e-09
1844,1.0070677847195954e-08
1845,9.701810846759632e-09
1846,1.1711459706782129e-08
1847,1.1287845800924045e-08
1848,1.1137813877531196e-08
1849,1.1649188312391956e-08
1850,7.836450916747545e-09
1851,4.810263076748811e-09
1852,5.753590350186601e-09
1853,3.3338994263689054e-09
1854,3.050533270432254e-09
1855,3.046470456854625e-09
1856,5.934471691837473e-09
1857,5.7059585786437384e-09
1858,5.1784179008354914e-09
1859,6.035026827484151e-09
1860,6.718068006656657e-09
1861,7.0077451777958035e-09
1862,6.764447541789715e-09
1863,3.365071871946108e-09
1864,3.365071871946108e-09
1865,3.3175354209800746e-09
1866,1.7734819961796283e-09
1867,2.131539278416028e-09
1868,6.685863497755764e-09
1869,7.158230627294212e-09
1870,7.402856772031896e-09
1871,9.422300653990793e-09
1872,9.383288701592107e-09
1873,1.0393832508956028e-08
1874,9.780627768003162e-09
1875,5.617544937156335e-09
1876,5.952611641697153e-09
1877,7.711788636249091e-09
1878,7.864375531748839e-09
1879,8.159788622563724e-09
1880,7.354093968712862e-09
1881,7.574343818816942e-09
1882,8.560046037077638e-09
1883,7.664921649766906e-09
1884,6.730053926849523e-09
1885,5.814484417752753e-09
1886,6.794712649669877e-09
1887,8.874784573897898e-09
1888,1.07483893214371e-08
1889,1.2134088464169475e-08
1890,2.363932678178011e-08
1891,2.4952361415182215e-08
1892,3.123869916711795e-08
1893,3.871290749873119e-08
1894,4.544755554431694e-08
1895,6.481946972820246e-08
1896,9.3520445927047e-08
1897,1.1633322825689773e-07
1898,1.4784019151749458e-07
1899,1.6066952695276928e-07
1900,1.7527723526557434e-07
1901,2.1123208287272227e-07
1902,2.338457609139612e-07
1903,2.3757436893946859e-07
1904,2.4987036757145073e-07
1905,2.430985976330037e-07
1906,2.8395421011343356e-07
1907,3.190012579169986e-07
1908,3.650284772861921e-07
1909,3.6064210183285793e-07
1910,4.275098931369062e-07
1911,4.2221229813930806e-07
1912,4.583061768822663e-07
1913,4.506765939485799e-07
1914,4.4855872134113337e-07
1915,4.370218810326573e-07
1916,4.545910352910759e-07
1917,4.368016252190695e-07
1918,4.7372272733119706e-07
1919,4.838994001689554e-07
1920,5.116938192527089e-07
1921,5.377718567599134e-07
1922,5.463496880305943e-07
1923,5.891347199289092e-07
1924,6.528328067340843e-07
1925,7.853775136266807e-07
1926,8.789029110849762e-07
1927,9.261505660163039e-07
1928,1.1699928274465165e-06
1929,1.2667489360954472e-06
1930,1.3520280458375768e-06
1931,1.3737989311225971e-06
1932,1.363196570736136e-06
1933,1.3952379843219984e-06
1934,1.4773568481578941e-06
1935,1.4849146151415686e-06
1936,1.7456275734113141e-06
1937,1.8706840074449767e-06
1938,1.9021284656568177e-06
1939,1.981760081244082e-06
1940,2.0248018347704795e-06
1941,2.0833314877677367e-06
1942,2.004562890281899e-06
1943,1.8365021808059673e-06
1944,1.8434988920798136e-06
1945,2.0314680447037455e-06
1946,2.238264260410818e-06
1947,2.3381204619405637e-06
1948,2.3736314501223077e-06
1949,2.501237723606664e-06
1950,2.6159588141386588e-06
1951,2.7748976226657107e-06
1952,2.742002345306511e-06
1953,2.7033041242978987e-06
1954,2.8510867541139566e-06
1955,3.137639903830599e-06
1956,3.206937050898822e-06
1957,3.321893843682184e-06
1958,3.4183056923455164e-06
1959,3.6611743366522987e-06
1960,3.864495373103896e-06
1961,4.0148576080209105e-06
1962,4.014302190975222e-06
1963,4.165529218320379e-06
1964,4.386582666882077e-06
1965,4.5791204844444374e-06
1966,4.822992111590858e-06
1967,5.134552092199231e-06
1968,6.04087447137707e-06
1969,6.9799611525565665e-06
1970,8.169934941650223e-06
1971,9.20801522446319e-06
1972,1.0231523006609677e-05
1973,1.1134278500841382e-05
1974,1.1928987321750486e-05
1975,1.210931943010759e-05
1976,1.2372306331696693e-05
1977,1.2319838739521013e-05
1978,1.2496432901798471e-05
1979,1.2595901081015525e-05
1980,1.2844571711769146e-05
1981,1.2862357948506544e-05
1982,1.2863866365770654e-05
1983,1.30142549973503e-05
1984,1.303654322271086e-05
1985,1.2871794567104187e-05
1986,1.2792116645446835e-05
1987,1.2782759853280368e-05
1988,1.3038373517864394e-05
1989,1.3606591287335895e-05
1990,1.4043276416535785e-05
1991,1.4640082190859564e-05
1992,1.5244351004639611e-05
1993,1.5706486915892776e-05
1994,1.600516831753599e-05
1995,1.6266114903779843e-05
1996,1.630381490055502e-05
1997,1.630675722351173e-05
1998,1.616548319053176e-05
1999,1.5980969875174977e-05
2000,1.570455419904907e-05
2001,1.5225578556916323e-05
2002,1.5089125848059362e-05
2003,1.4839241794106782e-05
2004,1.4378999743769327e-05
