year,evolution
1800,2.038148559035946e-06
1801,2.02332245233805e-06
1802,1.9274381070448028e-06
1803,1.8357519490562273e-06
1804,1.918174686516798e-06
1805,1.8272708423186908e-06
1806,1.810607617867634e-06
1807,1.8216218182130563e-06
1808,1.7255423309896808e-06
1809,1.7438908445553482e-06
1810,1.8456256566220678e-06
1811,1.7317502738478652e-06
1812,1.7535409216102541e-06
1813,1.7571898874381629e-06
1814,1.7818072835597474e-06
1815,1.7901676339399891e-06
1816,1.9422882775772214e-06
1817,1.918172726624233e-06
1818,1.8940372538292903e-06
1819,2.061862552122611e-06
1820,1.9517275879264517e-06
1821,1.8051777648559714e-06
1822,1.9561289168785426e-06
1823,1.7868512530557925e-06
1824,1.7491379148256873e-06
1825,1.6875109317217503e-06
1826,1.6213028433131882e-06
1827,1.7918207815587856e-06
1828,1.9000834465503807e-06
1829,1.9154836934693568e-06
1830,2.0102274405393265e-06
1831,2.2668257389581366e-06
1832,2.3895094173807607e-06
1833,2.418195212453408e-06
1834,2.4212877213055805e-06
1835,2.4980913208492794e-06
1836,2.5044183612329566e-06
1837,2.6013095427871287e-06
1838,2.5383317504092318e-06
1839,2.7686143092723166e-06
1840,2.964301326592787e-06
1841,3.029529689494278e-06
1842,3.051530957476345e-06
1843,3.15043060172826e-06
1844,3.151442575217394e-06
1845,3.3778456325350703e-06
1846,3.4627318737458424e-06
1847,3.5192878653817724e-06
1848,3.657346275799865e-06
1849,3.8062538429655442e-06
1850,3.985770828750037e-06
1851,4.4229142864362e-06
1852,4.534691934906679e-06
1853,4.511835004145885e-06
1854,4.4495318462115355e-06
1855,4.583885614703069e-06
1856,4.6523348868581545e-06
1857,4.745989894163115e-06
1858,4.51881972374224e-06
1859,4.671698291452182e-06
1860,4.7843754931164995e-06
1861,5.650773805955721e-06
1862,5.973464619200644e-06
1863,6.242691344177892e-06
1864,6.680727085190645e-06
1865,7.148547548955061e-06
1866,7.16275708815114e-06
1867,7.976792426843207e-06
1868,8.353831025788492e-06
1869,9.223832407201371e-06
1870,1.0443092658566199e-05
1871,1.1529004711162217e-05
1872,1.2253661669855579e-05
1873,1.3261027344161189e-05
1874,1.42257932001907e-05
1875,1.4358044796024062e-05
1876,1.576432882188783e-05
1877,1.6437461186212333e-05
1878,1.67711232117134e-05
1879,1.791287490959803e-05
1880,1.9951028905649893e-05
1881,2.0616898219876543e-05
1882,2.2783803830504568e-05
1883,2.34714457170477e-05
1884,2.523202369226445e-05
1885,2.6534710635977327e-05
1886,2.7560839604185666e-05
1887,2.8026928256557377e-05
1888,2.967030826539485e-05
1889,3.064406562966074e-05
1890,3.1927839253447534e-05
1891,3.355905003640406e-05
1892,3.521917587282327e-05
1893,3.798482168804185e-05
1894,4.030508474832978e-05
1895,4.072058944919783e-05
1896,4.0706647203998205e-05
1897,4.059296726869174e-05
1898,3.932851318820342e-05
1899,3.963853198131671e-05
1900,3.785534236807767e-05
1901,3.6568594607290705e-05
1902,3.646826428393979e-05
1903,3.725164508848268e-05
1904,3.77075276674077e-05
1905,3.80537794870049e-05
1906,3.7040647977651785e-05
1907,3.79555039801614e-05
1908,3.873657794883911e-05
1909,3.973864587741056e-05
1910,4.010304391093606e-05
1911,4.0174582449838325e-05
1912,4.1209266555597424e-05
1913,4.2805577290242324e-05
1914,4.342522069984105e-05
1915,4.3719984351550275e-05
1916,4.306381889104419e-05
1917,4.3720589831407005e-05
1918,4.437528857741719e-05
1919,4.445133172177001e-05
1920,4.394449432863569e-05
1921,4.3968559704613396e-05
1922,4.438827459450425e-05
1923,4.5483467634507436e-05
1924,4.478133588950835e-05
1925,4.470649714351436e-05
1926,4.505223294667563e-05
1927,4.471821160580346e-05
1928,4.5018328194146306e-05
1929,4.3650327646511346e-05
1930,4.229365482290502e-05
1931,4.159008904025541e-05
1932,4.073898458045733e-05
1933,3.870802399725497e-05
1934,3.769934674632428e-05
1935,3.5339165500707684e-05
1936,3.463695489764567e-05
1937,3.446517402900489e-05
1938,3.35927234443391e-05
1939,3.272475030209015e-05
1940,3.2229140986471195e-05
1941,3.191232639616308e-05
1942,3.174337786455388e-05
1943,3.1176105011354593e-05
1944,3.0811208258033465e-05
1945,3.0961397698092696e-05
1946,3.1513402246576205e-05
1947,3.2052471474181796e-05
1948,3.2606348156605236e-05
1949,3.286188485520013e-05
1950,3.28091099959238e-05
1951,3.231624990413755e-05
1952,3.2214044015940354e-05
1953,3.1714684634412796e-05
1954,3.1929401635417373e-05
1955,3.2372703775048914e-05
1956,3.2607807668227906e-05
1957,3.332014991233986e-05
1958,3.430606018842549e-05
1959,3.5070729958468814e-05
1960,3.604959250326698e-05
1961,3.663301007301405e-05
1962,3.688787580813369e-05
1963,3.774410501884111e-05
1964,3.825390435200201e-05
1965,3.877695607863123e-05
1966,3.890103229358439e-05
1967,3.883444377704239e-05
1968,3.9115910088379936e-05
1969,3.924748815669383e-05
1970,3.9890724760230766e-05
1971,4.0943144670434e-05
1972,4.1309040747299666e-05
1973,4.204035553811991e-05
1974,4.308701335276055e-05
1975,4.351760514152504e-05
1976,4.395816962901986e-05
1977,4.4065196781113105e-05
1978,4.409098963671048e-05
1979,4.4566921246769205e-05
1980,4.521758821900741e-05
1981,4.525909128817927e-05
1982,4.568074925665704e-05
1983,4.612320475416709e-05
1984,4.6246923562063914e-05
1985,4.6238067877116654e-05
1986,4.6700795110155013e-05
1987,4.6567178628720285e-05
1988,4.6721383033140486e-05
1989,4.7112855684515254e-05
1990,4.765140602915251e-05
1991,4.823015713587405e-05
1992,4.8486740297448705e-05
1993,4.8511203349984756e-05
1994,4.8830061887526555e-05
1995,4.910057112640841e-05
1996,4.909843711889802e-05
1997,4.924997485237067e-05
1998,4.9213977807279926e-05
1999,4.919209368381417e-05
2000,4.9064773106368064e-05
2001,4.868874961110642e-05
2002,4.8610398929819595e-05
2003,4.847761607607026e-05
2004,4.792421016475146e-05
