year,goya
1800,1.1084895890078883e-08
1801,1.0621504209495926e-08
1802,1.0296379600778966e-08
1803,1.4866985737731804e-08
1804,1.838996713640232e-08
1805,2.0355468675705065e-08
1806,3.912395030170046e-08
1807,4.480184959529002e-08
1808,4.67718988618669e-08
1809,4.884510167763827e-08
1810,4.576618246281734e-08
1811,4.19212209073245e-08
1812,3.8624216333208294e-08
1813,2.2176566995467184e-08
1814,1.8064893961674703e-08
1815,1.9034779213151458e-08
1816,2.3105413582413803e-08
1817,2.2613561436100682e-08
1818,5.630195890457149e-08
1819,5.998909762589782e-08
1820,5.5245449421497435e-08
1821,5.737494447797888e-08
1822,5.497543848725124e-08
1823,4.876503994261887e-08
1824,4.854686881066479e-08
1825,1.7338155228990056e-08
1826,1.851314828422395e-08
1827,1.9620437465204888e-08
1828,2.4129970275867307e-08
1829,2.2791670741183012e-08
1830,2.8982342589348572e-08
1831,2.7677776166206465e-08
1832,2.3501871591692847e-08
1833,2.020109644641975e-08
1834,2.0648595119457776e-08
1835,1.9614080930858383e-08
1836,3.0895114212979383e-08
1837,2.7576363478435236e-08
1838,3.0317024827094685e-08
1839,3.072706689088989e-08
1840,2.8862739617377796e-07
1841,2.9502827612683446e-07
1842,2.8848288833950774e-07
1843,2.798558179798302e-07
1844,2.8224869244982844e-07
1845,3.4751627007802354e-07
1846,3.474086893717754e-07
1847,9.049729886103008e-08
1848,8.4105356647411e-08
1849,8.859374903532773e-08
1850,1.2867407336461918e-07
1851,1.2599898172435277e-07
1852,7.095681169617357e-08
1853,7.306309300427114e-08
1854,7.151796719919088e-08
1855,7.018347798164776e-08
1856,9.12934890541704e-08
1857,5.374405127283361e-08
1858,5.8926402455940415e-08
1859,4.8252210227417436e-08
1860,4.925867345763534e-08
1861,6.099929894531897e-08
1862,6.020835614200288e-08
1863,3.554799413560009e-08
1864,4.0375732281359785e-08
1865,6.352020757002411e-08
1866,7.691270242915493e-08
1867,8.28673829873188e-08
1868,9.408664742543188e-08
1869,1.0089392952851637e-07
1870,1.0544618941502445e-07
1871,1.0260792036666443e-07
1872,8.649401028737459e-08
1873,8.801374472090982e-08
1874,8.934120096107786e-08
1875,8.376094254699698e-08
1876,1.1078803333460943e-07
1877,1.208849687334939e-07
1878,1.3986333470748592e-07
1879,1.388898454817473e-07
1880,1.2749513275281797e-07
1881,1.3462173834418882e-07
1882,1.307365382460394e-07
1883,1.0848427817971335e-07
1884,1.02248419842077e-07
1885,8.425677817352247e-08
1886,8.984632820269972e-08
1887,8.798904777800639e-08
1888,1.4564942900958347e-07
1889,1.435117238855556e-07
1890,1.4378717716478917e-07
