year,gris
1800,1.6973555938548657e-07
1801,1.7436737316245398e-07
1802,3.779714493982548e-07
1803,4.013069554125487e-07
1804,5.241688458517453e-07
1805,5.912499258440919e-07
1806,5.944290883011912e-07
1807,6.206534920291265e-07
1808,6.132384400915823e-07
1809,4.4279000504283364e-07
1810,3.782965035828819e-07
1811,2.4264993785700586e-07
1812,2.1724416462579453e-07
1813,3.0038519950790844e-07
1814,3.027319059561202e-07
1815,3.18925555551987e-07
1816,3.3506196636271366e-07
1817,3.6237366352054323e-07
1818,3.648842206160907e-07
1819,3.5302740819531664e-07
1820,2.836596098327553e-07
1821,2.876298074002851e-07
1822,2.70121240359649e-07
1823,2.566530510022298e-07
1824,2.463500461402646e-07
1825,2.5252030688704963e-07
1826,2.5754421757134036e-07
1827,2.533697641534819e-07
1828,2.640807681102737e-07
1829,2.8253906382756456e-07
1830,2.854049516720636e-07
1831,3.062767937679821e-07
1832,3.054158128940847e-07
1833,2.7964644628524535e-07
1834,2.6540573063092516e-07
1835,2.3323108571433287e-07
1836,2.2701153664809022e-07
1837,2.1069663547201858e-07
1838,1.9575827413044674e-07
1839,1.877038763467961e-07
1840,1.7943174749187764e-07
1841,1.8435566793785692e-07
1842,1.7502850714810695e-07
1843,1.784694177521727e-07
1844,2.1112286138372636e-07
1845,2.0905470605419347e-07
1846,2.2547316883400216e-07
1847,2.621377140117025e-07
1848,2.6157191073445626e-07
1849,2.7693019874089735e-07
1850,2.625332896157216e-07
1851,2.250570356426047e-07
1852,2.1044746954603154e-07
1853,1.986254793180058e-07
1854,1.7367924029113422e-07
1855,1.7740643725489796e-07
1856,1.7072198202746793e-07
1857,1.7928049364116356e-07
1858,1.9890604130434753e-07
1859,2.1580238778502142e-07
1860,2.1652342090711887e-07
1861,2.1925539109687468e-07
1862,2.1161592375243797e-07
1863,1.9762672964773742e-07
1864,1.8576180079879888e-07
1865,1.8406688363979485e-07
1866,1.9054470087479357e-07
1867,1.8053059634505685e-07
1868,1.6932869024393377e-07
1869,1.9037952141737996e-07
1870,2.544937088844179e-07
1871,2.652900383021922e-07
1872,2.632710612531548e-07
1873,2.461230521769561e-07
1874,2.516586780711348e-07
1875,2.516656411044593e-07
1876,2.5257572815779686e-07
1877,2.298449118333577e-07
1878,2.5274555975102994e-07
1879,2.5501289018554326e-07
1880,2.4580997518405414e-07
1881,2.4611549393720775e-07
1882,2.569172876506645e-07
1883,2.3404358122964502e-07
1884,2.0357150379687485e-07
1885,1.7245719217763777e-07
1886,1.6037050625567722e-07
1887,1.658417218632278e-07
1888,1.6408613621811593e-07
1889,1.5256376238527638e-07
1890,1.5961699658831717e-07
1891,1.6483136706340368e-07
1892,1.7213586798815935e-07
1893,1.7550531160116988e-07
1894,1.8145795334577134e-07
1895,1.8997091612492157e-07
1896,1.980091877763966e-07
1897,1.9457385104702597e-07
1898,1.9881429616904915e-07
1899,2.1482961569991537e-07
1900,2.1850526372395912e-07
1901,2.1555294048093897e-07
1902,2.1459714173919865e-07
1903,2.0820268301477034e-07
1904,2.1420427522210262e-07
1905,2.0068425754526942e-07
1906,1.810229310894584e-07
1907,1.7918390747352827e-07
1908,1.8197458588410852e-07
1909,1.809069411733739e-07
1910,1.8245265525391424e-07
1911,1.6925157952929482e-07
1912,1.6811707047116796e-07
1913,1.629392288236632e-07
1914,1.5939584990798394e-07
1915,1.5551187563086648e-07
1916,1.5612715868553095e-07
1917,1.560615475816794e-07
1918,1.6077847776146168e-07
1919,1.593467052831064e-07
1920,1.7597323893297254e-07
1921,2.097670099446677e-07
1922,2.1398478118804324e-07
1923,2.200836310734771e-07
1924,2.4585137472657846e-07
1925,2.567740183415498e-07
1926,2.7252123347658905e-07
1927,2.740616829191974e-07
1928,2.593227043736133e-07
1929,2.700978417274109e-07
1930,2.7628870237693194e-07
1931,2.9660483743690745e-07
1932,2.964070500631268e-07
1933,3.579016173585866e-07
1934,3.5177828592144624e-07
1935,3.418217619034967e-07
1936,3.472384794541864e-07
1937,3.4382521892282825e-07
1938,3.3496712092168887e-07
1939,3.6035433445943556e-07
1940,3.0524325050906853e-07
1941,3.5184602447430843e-07
1942,3.6202050341620815e-07
1943,3.921938453999019e-07
1944,5.626884609049348e-07
1945,5.864990148144296e-07
1946,5.80470212975724e-07
1947,6.005412744869432e-07
1948,5.766849337110865e-07
1949,5.92040646602803e-07
1950,5.997807528095629e-07
1951,4.456103297150499e-07
1952,4.283036942252595e-07
1953,4.57122054367939e-07
1954,4.787830313800003e-07
1955,5.642056219049403e-07
1956,5.986911707976463e-07
1957,5.970771493731978e-07
1958,6.344515423504861e-07
1959,6.33585809024189e-07
1960,5.956559420309101e-07
1961,5.695869346336988e-07
1962,5.1019463555489e-07
1963,4.8505685988433e-07
1964,4.862675101944903e-07
1965,4.954024945190228e-07
1966,4.88607172816862e-07
1967,5.149834498523782e-07
1968,5.33868623023689e-07
1969,5.258206607271023e-07
1970,5.254074279774963e-07
1971,5.106189589249815e-07
1972,4.657002947716649e-07
1973,4.831267212956902e-07
1974,4.7010561101044707e-07
1975,4.7590588048151977e-07
1976,4.577307610403076e-07
1977,4.752832417790184e-07
1978,4.839757566773732e-07
1979,5.184696041382608e-07
1980,5.569485870588713e-07
1981,5.630703051754235e-07
1982,5.479930560119734e-07
1983,5.785720398015266e-07
1984,5.548738432535418e-07
1985,5.452543405987902e-07
1986,5.208705743545547e-07
1987,4.649971994753953e-07
1988,4.5284309533956595e-07
1989,4.6341728004201896e-07
1990,4.4369853251830756e-07
1991,4.3928722006013133e-07
1992,4.3993069796601147e-07
1993,4.3710145661687456e-07
1994,4.321221581829856e-07
1995,4.4341351841075447e-07
1996,4.273126634122905e-07
1997,4.277521268620482e-07
1998,4.422035873347901e-07
1999,4.295378703516357e-07
2000,4.329648107338967e-07
2001,4.4776559932862323e-07
2002,4.4579892370203805e-07
2003,4.4845410958060937e-07
2004,4.489823006714744e-07
