year,holocast
1800,0.0
1801,0.0
1802,0.0
1803,0.0
1804,0.0
1805,0.0
1806,0.0
1807,0.0
1808,0.0
1809,0.0
1810,0.0
1811,0.0
1812,0.0
1813,0.0
1814,0.0
1815,0.0
1816,0.0
1817,0.0
1818,0.0
1819,0.0
1820,0.0
1821,0.0
1822,0.0
1823,0.0
1824,0.0
1825,0.0
1826,0.0
1827,0.0
1828,0.0
1829,0.0
1830,0.0
1831,0.0
1832,0.0
1833,0.0
1834,0.0
1835,0.0
1836,0.0
1837,0.0
1838,0.0
1839,0.0
1840,0.0
1841,0.0
1842,0.0
1843,0.0
1844,0.0
1845,0.0
1846,0.0
1847,0.0
1848,0.0
1849,0.0
1850,0.0
1851,0.0
1852,0.0
1853,0.0
1854,0.0
1855,0.0
1856,0.0
1857,0.0
1858,0.0
1859,0.0
1860,0.0
1861,0.0
1862,0.0
1863,0.0
1864,0.0
1865,0.0
1866,0.0
1867,0.0
1868,0.0
1869,0.0
1870,0.0
1871,0.0
1872,0.0
1873,0.0
1874,0.0
1875,0.0
1876,0.0
1877,0.0
1878,0.0
1879,0.0
1880,0.0
1881,0.0
1882,0.0
1883,0.0
1884,0.0
1885,0.0
1886,0.0
1887,0.0
1888,0.0
1889,0.0
1890,0.0
1891,0.0
1892,0.0
1893,0.0
1894,0.0
1895,0.0
1896,0.0
1897,0.0
1898,0.0
1899,0.0
1900,0.0
1901,0.0
1902,0.0
1903,0.0
1904,0.0
1905,0.0
1906,0.0
1907,1.0544330488114286e-10
1908,1.0544330488114286e-10
1909,1.0544330488114286e-10
1910,3.1603938513821307e-10
1911,3.1603938513821307e-10
1912,3.1603938513821307e-10
1913,3.1603938513821307e-10
1914,5.728307352269115e-10
1915,5.728307352269115e-10
1916,6.985172678370638e-10
1917,4.879211875799935e-10
1918,4.879211875799935e-10
1919,4.879211875799935e-10
1920,7.360693086790247e-10
1921,9.083760172628225e-10
1922,1.036716879010413e-09
1923,9.11030346400261e-10
1924,1.380945944897048e-09
1925,1.380945944897048e-09
1926,1.380945944897048e-09
1927,1.1327978237980168e-09
1928,5.982564602443777e-10
1929,4.699155984967871e-10
1930,4.699155984967871e-10
1931,0.0
1932,0.0
1933,0.0
1934,0.0
1935,0.0
1936,0.0
1937,0.0
1938,0.0
1939,0.0
1940,0.0
1941,0.0
1942,0.0
1943,1.1872888386729334e-10
1944,2.218127031256805e-10
1945,7.986226679967956e-10
1946,8.85676317999692e-10
1947,8.85676317999692e-10
1948,1.1529663810984557e-09
1949,1.241052974673299e-09
1950,1.1223240908060055e-09
1951,1.1051869498933188e-09
1952,6.099294957984114e-10
1953,5.22875845795515e-10
1954,5.22875845795515e-10
1955,2.555857826967513e-10
1956,1.6749918912190813e-10
1957,2.2849759782696466e-10
1958,2.538113409920685e-10
1959,2.229408483219889e-10
1960,2.7128421334740184e-10
1961,4.175024730696768e-10
1962,5.040662054422995e-10
1963,5.864796069422949e-10
1964,7.597936089810884e-10
1965,8.285105855345063e-10
1966,8.865417170219761e-10
1967,9.780352559575688e-10
1968,1.007811136131766e-09
1969,1.708400869184144e-09
1970,1.8371736156184784e-09
1971,1.7087993440880108e-09
1972,1.668046038595859e-09
1973,1.7613783645905758e-09
1974,2.0850862544489044e-09
1975,2.236307829393626e-09
1976,1.5437966024592749e-09
1977,1.5804321859150657e-09
1978,1.8758296424107155e-09
1979,2.0908311510708137e-09
1980,2.2041962778805514e-09
1981,1.9020956119687936e-09
1982,1.914067388713343e-09
1983,1.99201907152042e-09
1984,1.960773065737672e-09
1985,1.8362974533804787e-09
1986,1.7001963745607742e-09
1987,1.6068954044363385e-09
1988,1.6111856511656443e-09
1989,1.666900857423746e-09
1990,1.646847947694192e-09
1991,1.4658648104872084e-09
1992,1.4479209854899114e-09
1993,1.37681841721233e-09
1994,1.5047042778437714e-09
1995,1.5363974021591937e-09
1996,1.2986822609370054e-09
1997,1.35038725043327e-09
1998,1.4784285779738988e-09
1999,1.4134889766584789e-09
2000,1.5808526828856424e-09
2001,1.541721536150017e-09
2002,1.5683430433973318e-09
2003,1.6619490728064789e-09
2004,1.7200058391453332e-09
