year,holocaust
1800,1.1339068617388648e-07
1801,9.421972393397481e-08
1802,8.718719316883987e-08
1803,9.527303948938686e-08
1804,7.841574056755007e-08
1805,7.412522367340151e-08
1806,7.312516192570229e-08
1807,6.14969026813128e-08
1808,6.785396003802394e-08
1809,7.78092651896957e-08
1810,7.01060305680861e-08
1811,7.865486598542962e-08
1812,9.106730582329548e-08
1813,1.0781646762682482e-07
1814,1.1904065060670225e-07
1815,1.2205720929208447e-07
1816,1.1369290340925075e-07
1817,1.2000326110594983e-07
1818,1.2542886266128255e-07
1819,1.2375910591571377e-07
1820,1.2154156319483483e-07
1821,1.1429597712719897e-07
1822,1.4993149851808394e-07
1823,1.5731807577269918e-07
1824,1.5393781842882553e-07
1825,1.7839771973956635e-07
1826,1.6774143661381557e-07
1827,1.649799662598436e-07
1828,1.6254778599313268e-07
1829,1.2776488511612172e-07
1830,1.3390377692371456e-07
1831,1.536860723445293e-07
1832,1.3684224781889448e-07
1833,1.5131216882632463e-07
1834,1.474300767816723e-07
1835,1.646058412748833e-07
1836,1.8155896037390968e-07
1837,1.7788259839715943e-07
1838,1.7368597312764473e-07
1839,1.7583352637399026e-07
1840,1.772680272730095e-07
1841,1.8761222921247012e-07
1842,1.8539557387699445e-07
1843,1.7933686611927767e-07
1844,1.9554586334307495e-07
1845,1.9024230562309743e-07
1846,2.0794380899730974e-07
1847,2.2761499811935995e-07
1848,2.2883393050296012e-07
1849,2.3007090626287712e-07
1850,2.4780600504925587e-07
1851,2.5452284803582715e-07
1852,2.6785662415080527e-07
1853,2.6053734430193334e-07
1854,2.490964565092315e-07
1855,2.467435079430861e-07
1856,2.5081079265846083e-07
1857,2.6937004465083755e-07
1858,2.695171078061419e-07
1859,2.668518924878579e-07
1860,2.5843614280342463e-07
1861,2.7316003456004777e-07
1862,2.7998318879214015e-07
1863,2.93075062234622e-07
1864,2.755749636421508e-07
1865,2.769365086775975e-07
1866,2.8192670429940036e-07
1867,2.976646875017609e-07
1868,3.0737004835008316e-07
1869,3.098450831303826e-07
1870,3.106717181289298e-07
1871,3.263668014254404e-07
1872,3.2011268600941533e-07
1873,3.136526650150882e-07
1874,3.0375876969301885e-07
1875,2.943987643349339e-07
1876,2.8635040857530723e-07
1877,2.7839138086857164e-07
1878,2.642598966000926e-07
1879,2.747975482085354e-07
1880,2.764072285657956e-07
1881,2.753993923862045e-07
1882,2.5874850984042297e-07
1883,2.6350171256073196e-07
1884,2.6486202861101103e-07
1885,2.609056690535841e-07
1886,2.602999628382412e-07
1887,2.6246089523951355e-07
1888,2.6591726828443084e-07
1889,2.723652261663442e-07
1890,2.745906458561415e-07
1891,2.9061146996792585e-07
1892,2.8829820105816643e-07
1893,2.748897247606408e-07
1894,2.75602397332391e-07
1895,2.8013605256140194e-07
1896,3.088322848089829e-07
1897,3.108093847847826e-07
1898,2.9731071923436557e-07
1899,3.074222143993412e-07
1900,3.101743448593755e-07
1901,3.280727027979832e-07
1902,3.3601042134393365e-07
1903,3.1388914180561856e-07
1904,3.206614206068587e-07
1905,3.2004834395392224e-07
1906,3.1140861000977793e-07
1907,3.178904747689972e-07
1908,3.0054862061788613e-07
1909,2.9157496080266044e-07
1910,3.2076990206083724e-07
1911,3.1955015223588443e-07
1912,3.389630277334759e-07
1913,3.548338901989848e-07
1914,3.6817028161876107e-07
1915,3.9344500632080124e-07
1916,4.155943721860313e-07
1917,4.0795587168724575e-07
1918,4.116316926047351e-07
1919,4.1719208708292293e-07
1920,4.1312990658618325e-07
1921,4.095022246218351e-07
1922,3.954035230822685e-07
1923,3.9046879984905303e-07
1924,3.868809357479971e-07
1925,3.897501875048194e-07
1926,3.838691363825372e-07
1927,3.954161147401436e-07
1928,4.183200007025688e-07
1929,4.264239902772106e-07
1930,4.457483782083216e-07
1931,4.558800708677678e-07
1932,4.7281580685597036e-07
1933,4.938151351005107e-07
1934,4.970055156316988e-07
1935,4.981168363496887e-07
1936,5.104793594977255e-07
1937,5.164557983336086e-07
1938,5.30254209953261e-07
1939,5.540027822048543e-07
1940,5.963001705902978e-07
1941,6.589686321849848e-07
1942,6.956251075956083e-07
1943,7.275816798253081e-07
1944,7.433101678293903e-07
1945,7.577480658493841e-07
1946,7.522857197184153e-07
1947,7.275449029897629e-07
1948,6.887759034235329e-07
1949,6.656100328049166e-07
1950,6.498366645267341e-07
1951,6.447987870781903e-07
1952,6.362009525703474e-07
1953,6.490495017156103e-07
1954,6.648843844222644e-07
1955,6.771132997074325e-07
1956,7.001710754596579e-07
1957,7.483881193569098e-07
1958,8.16691402386446e-07
1959,8.669493936154714e-07
1960,9.319947486224096e-07
1961,9.77574576026858e-07
1962,1.0314425477529556e-06
1963,1.078983989012881e-06
1964,1.1096001221971058e-06
1965,1.1436985120865425e-06
1966,1.181976720499023e-06
1967,1.2212609598525958e-06
1968,1.2860807297851042e-06
1969,1.3514742568863724e-06
1970,1.4231200987805235e-06
1971,1.5047387021484482e-06
1972,1.5627781912996852e-06
1973,1.645941656747141e-06
1974,1.7376500950508754e-06
1975,1.8277147502132607e-06
1976,2.10188747131111e-06
1977,2.329636982244056e-06
1978,2.4917606182839336e-06
1979,2.8378833033368015e-06
1980,3.1661115872542008e-06
1981,3.386604224228255e-06
1982,3.735776460242083e-06
1983,3.837065286457378e-06
1984,4.170290924524319e-06
1985,4.566117317393394e-06
1986,4.7740063529033705e-06
1987,4.977248315084028e-06
1988,5.2700549762870915e-06
1989,5.435685052036986e-06
1990,5.745119195361375e-06
1991,5.913337083488354e-06
1992,6.186190569833018e-06
1993,6.493020607527861e-06
1994,6.9456471944054754e-06
1995,7.4157075451759225e-06
1996,7.903694239530523e-06
1997,8.490498120953102e-06
1998,9.111375530121027e-06
1999,9.465173045595878e-06
2000,9.846256399928931e-06
2001,9.942960385192886e-06
2002,1.0107603921246284e-05
2003,1.0287641065076513e-05
2004,1.0247114150985226e-05
