year,human
1800,0.00022921678078091645
1801,0.0002267852359182143
1802,0.00022143800417021944
1803,0.00022247411418772702
1804,0.00022320955758914351
1805,0.00021919978111587364
1806,0.00022576530279496052
1807,0.00022004359347452658
1808,0.000221544059318798
1809,0.00022324831739492114
1810,0.00022190965754426934
1811,0.00021553321838447507
1812,0.00021842057809148434
1813,0.0002128787177753111
1814,0.00021477680593307014
1815,0.0002155423550383213
1816,0.000217149058114176
1817,0.00021513424501660796
1818,0.00021831935243556345
1819,0.00021766475583717693
1820,0.00022039631507401024
1821,0.00022212597111449992
1822,0.0002198828143004253
1823,0.0002203417861892376
1824,0.0002205665427287126
1825,0.00022348875050478715
1826,0.0002257738827081214
1827,0.0002245860311761914
1828,0.0002214391912015604
1829,0.0002244874793697298
1830,0.00023014813236191652
1831,0.0002377075269838055
1832,0.0002406966686976375
1833,0.00024176997443906397
1834,0.00024246765458104034
1835,0.0002443578110355052
1836,0.0002413302643487571
1837,0.00023746597824875998
1838,0.00023799220720580448
1839,0.00023742853058398135
1840,0.00023578475013761948
1841,0.00023417499804574097
1842,0.00023406190354892585
1843,0.00023613630862330735
1844,0.0002366750982868585
1845,0.00023854744683506266
1846,0.00024173362141612285
1847,0.00024806184670264235
1848,0.0002508818759971681
1849,0.00025275431185686363
1850,0.00025337628682921477
1851,0.0002571900231487234
1852,0.0002535712888597378
1853,0.00025024549995578127
1854,0.00024206315798177717
1855,0.00024187503640860086
1856,0.00024034513418363143
1857,0.00024090392512984442
1858,0.0002341923360030965
1859,0.00023024545212787677
1860,0.00023150281633986327
1861,0.0002343319197929564
1862,0.00023387526263312402
1863,0.00023334711360283627
1864,0.0002333125318857908
1865,0.0002348737672426588
1866,0.00023534578148038624
1867,0.00023442720313531548
1868,0.0002353289703803187
1869,0.0002361107791719925
1870,0.0002391492611682874
1871,0.0002394672418241888
1872,0.00024187976837960635
1873,0.00024219192502122108
1874,0.00024100791415548883
1875,0.00023641433797040788
1876,0.00023238880658027483
1877,0.0002296178139918733
1878,0.00022659803640375946
1879,0.0002231730491725362
1880,0.00022406782825003444
1881,0.00022529193509918902
1882,0.00022672551663812816
1883,0.00022840336792536876
1884,0.0002287419990482574
1885,0.0002316315944231714
1886,0.00023225063081814108
1887,0.00023199033824182282
1888,0.00023205432236344286
1889,0.00023414792004976856
1890,0.0002348276018113081
1891,0.00023426732514053583
1892,0.00022831331508703964
1893,0.0002288506536517941
1894,0.00022796108390009195
1895,0.00022356469357224083
1896,0.00022119684347541937
1897,0.00021887564006257368
1898,0.0002172574625417058
1899,0.0002190525839458652
1900,0.00021514411063045763
1901,0.00021000779517115525
1902,0.00020822220202327508
1903,0.00020549867804220412
1904,0.0002057154273903247
1905,0.00020301962285884656
1906,0.00020305443039043375
1907,0.00020487969075994833
1908,0.00020887638908919013
1909,0.00021220913289913109
1910,0.00021509715562777792
1911,0.0002145940782481505
1912,0.00021738176318259709
1913,0.00021807717751341573
1914,0.00021932592023534068
1915,0.00022161514009764818
1916,0.00022216175407915477
1917,0.00022414387590937883
1918,0.00022678792031781213
1919,0.00022874000049861415
1920,0.00023118578311758547
1921,0.00023398331424167345
1922,0.00023269057016607673
1923,0.0002336223512559497
1924,0.00023370492661862433
1925,0.00023259730382311057
1926,0.00023410875071151947
1927,0.0002331954378210607
1928,0.0002327837338660694
1929,0.00023376995432045078
1930,0.00023308484339525293
1931,0.00023460610775925619
1932,0.00023569580597333176
1933,0.00023457101828431144
1934,0.00023441906029932267
1935,0.00023240818193569015
1936,0.00023318770529710622
1937,0.00023334318926312593
1938,0.00022979089460152733
1939,0.00023085917577450994
1940,0.00023103866481376047
1941,0.00023325031608172658
1942,0.0002380350115345209
1943,0.00024129633558394356
1944,0.00024283123496258798
1945,0.00024733042560650835
1946,0.000248961869926591
1947,0.00025141305442437964
1948,0.000250880286460285
1949,0.00024702096587654
1950,0.0002459019763461713
1951,0.000245316657258497
1952,0.0002444141945099026
1953,0.00024514251630794855
1954,0.00024636540053636836
1955,0.00024822995042736044
1956,0.000251297401129185
1957,0.0002511823326390835
1958,0.0002542828039752619
1959,0.0002560268619293181
1960,0.00025697217123316865
1961,0.0002585399400101908
1962,0.000260391034056998
1963,0.000261514996704396
1964,0.0002636885479400267
1965,0.0002663757196777234
1966,0.0002676313322029143
1967,0.0002710290536924731
1968,0.00027289753779768944
1969,0.00027529998026563717
1970,0.00028086452584830113
1971,0.00028378446430516694
1972,0.00028553716219903436
1973,0.0002892571886020181
1974,0.0002906358859036118
1975,0.00029224403832423765
1976,0.00029544078928925695
1977,0.0002943926875949338
1978,0.0002959304339518505
1979,0.00029883729959172863
1980,0.0003009648748307622
1981,0.00030231194614316337
1982,0.00030441186494759416
1983,0.00030505695031024516
1984,0.0003068423694847817
1985,0.00030776056415301615
1986,0.0003078858946017655
1987,0.0003083437950408552
1988,0.00031015863714856096
1989,0.00031018680861702057
1990,0.0003129368030516032
1991,0.0003163537211159044
1992,0.0003216393769045161
1993,0.0003264151606085111
1994,0.00033006352168740705
1995,0.00033361706664436497
1996,0.000339859718743745
1997,0.00034249691816512495
1998,0.00034445799298867186
1999,0.0003440620306979067
2000,0.00034451496945361475
2001,0.0003441785723095693
2002,0.00034414494924324873
2003,0.00034253305129823276
2004,0.00034164934368163813
