year,linux
1800,0.0
1801,0.0
1802,0.0
1803,0.0
1804,0.0
1805,0.0
1806,1.0358573681352417e-09
1807,1.0358573681352417e-09
1808,1.0358573681352417e-09
1809,1.0358573681352417e-09
1810,1.0358573681352417e-09
1811,1.8839677119940136e-09
1812,1.8839677119940136e-09
1813,1.7323361158259688e-09
1814,1.7323361158259688e-09
1815,1.7323361158259688e-09
1816,1.7323361158259688e-09
1817,1.7323361158259688e-09
1818,8.842257719671969e-10
1819,8.842257719671969e-10
1820,5.617064274027988e-10
1821,1.4856367564724288e-09
1822,1.4856367564724288e-09
1823,1.4856367564724288e-09
1824,2.0487805103235654e-09
1825,2.5707685821377677e-09
1826,2.5707685821377677e-09
1827,2.0090621547349687e-09
1828,1.540979280686575e-09
1829,1.540979280686575e-09
1830,1.540979280686575e-09
1831,9.778355268354387e-10
1832,4.558474550212363e-10
1833,4.558474550212363e-10
1834,4.558474550212363e-10
1835,3.9837444454349225e-10
1836,3.9837444454349225e-10
1837,3.9837444454349225e-10
1838,3.9837444454349225e-10
1839,8.084165083386909e-10
1840,1.1619065392360589e-09
1841,1.1619065392360589e-09
1842,1.0762081701999803e-09
1843,1.0762081701999803e-09
1844,1.0762081701999803e-09
1845,1.6891525955742281e-09
1846,1.2791105317790296e-09
1847,9.256205008816615e-10
1848,1.456978506096464e-09
1849,1.1443024305890503e-09
1850,1.3728155437827842e-09
1851,1.5818056547140763e-09
1852,9.688612293398284e-10
1853,9.688612293398284e-10
1854,1.2201536289272293e-09
1855,6.887956237124269e-10
1856,9.31608171558399e-10
1857,9.380759343916419e-10
1858,1.0375055893772712e-09
1859,1.0375055893772712e-09
1860,1.0375055893772712e-09
1861,7.862131897898701e-10
1862,1.6382058566831249e-09
1863,1.395393308837153e-09
1864,1.1604124328101761e-09
1865,8.519926668932548e-10
1866,8.519926668932548e-10
1867,1.1122672782803988e-09
1868,1.1122672782803988e-09
1869,2.6027461138714413e-10
1870,9.941530456001958e-10
1871,9.941530456001958e-10
1872,1.216024408152399e-09
1873,1.216024408152399e-09
1874,1.169696656993275e-09
1875,1.8506152166253287e-09
1876,1.8506152166253287e-09
1877,1.4810646201520885e-09
1878,1.6620671822969208e-09
1879,1.6126239708670808e-09
1880,1.766201280466768e-09
1881,1.5522544202387476e-09
1882,1.0379979415680346e-09
1883,1.4306119463672726e-09
1884,1.6007518168135805e-09
1885,1.5992437215775877e-09
1886,1.4268155704552247e-09
1887,1.2732382608555375e-09
1888,1.2732382608555375e-09
1889,1.259192179097519e-09
1890,1.0225987834289185e-09
1891,8.0572708822351e-10
1892,6.262326213146707e-10
1893,7.621677891985915e-10
1894,9.006073664608039e-10
1895,9.006073664608039e-10
1896,7.479913672574818e-10
1897,6.984964590855164e-10
1898,3.809004461048054e-10
1899,7.07726131667284e-10
1900,5.717909637833632e-10
1901,6.36633634698569e-10
1902,6.36633634698569e-10
1903,7.388869595535499e-10
