year,man
1800,0.000916420674911933
1801,0.0009104259883315535
1802,0.0009086187143717931
1803,0.0009220447160000081
1804,0.0009297719368208033
1805,0.0009258906546684946
1806,0.0009575051052317056
1807,0.0009646547693721784
1808,0.0009784648999422124
1809,0.0010007696348891062
1810,0.000994107849172516
1811,0.0009770548583349279
1812,0.000967158981178987
1813,0.0009704423926970256
1814,0.0009594451785233105
1815,0.000946618637629269
1816,0.0009298776673988739
1817,0.0009364194860868988
1818,0.0009450592824578052
1819,0.0009577519789932662
1820,0.0009672710532738295
1821,0.0009859667435583625
1822,0.0010068509626372751
1823,0.0010120312763319816
1824,0.000994103792306435
1825,0.0010108506578814871
1826,0.0009885773865140177
1827,0.0009864390303846449
1828,0.0009717929359404869
1829,0.0009565380577052046
1830,0.0009623627769802365
1831,0.0009721220425750029
1832,0.0009605023112401666
1833,0.0009669683027563483
1834,0.0009485111526633512
1835,0.0009431046263281522
1836,0.0009696876279901646
1837,0.0009560882211059964
1838,0.0009621342308361948
1839,0.0009677307506145942
1840,0.0009767202139171008
1841,0.000987366767731146
1842,0.0009947272397507082
1843,0.0009732227078659759
1844,0.0009786894734133966
1845,0.0009755382353822435
1846,0.0009725646289423041
1847,0.0009782640247846888
1848,0.0009698777066660114
1849,0.0009704351001086511
1850,0.0009760090324562043
1851,0.0009826312577518234
1852,0.0009856741411827638
1853,0.0009962683850192533
1854,0.0009867995764320117
1855,0.000988274123561236
1856,0.0009930077358148992
1857,0.0009996407612301742
1858,0.0009993075379627822
1859,0.0009950121503996862
1860,0.0010029991333015329
1861,0.0010137919364621795
1862,0.0010193470672155464
1863,0.0010130219031582654
1864,0.0010043854100721156
1865,0.0010044368256265962
1866,0.001013712370747401
1867,0.0010088756207551342
1868,0.001020127851266547
1869,0.001023915634764957
1870,0.0010371211958824591
1871,0.001042682233673986
1872,0.0010424616531443981
1873,0.0010358627821135868
1874,0.0010199573132142956
1875,0.0009952407739807054
1876,0.0009834795819188002
1877,0.0009720379171735008
1878,0.0009601835528363673
1879,0.0009565780996386561
1880,0.0009702769067579149
1881,0.000977294202000069
1882,0.0009804037597080295
1883,0.0009820650744326745
1884,0.0009950168174067844
1885,0.0010050684104498941
1886,0.0010042368464512816
1887,0.0009925349560424884
1888,0.0009975675898853556
1889,0.0010055670811977635
1890,0.0010163918159378227
1891,0.0010045828717660957
1892,0.0009967049144116963
1893,0.0010061793410776382
1894,0.0010149135450774338
1895,0.0010121256740863568
1896,0.0010270454040437471
1897,0.0010368770376122222
1898,0.0010470668307139672
1899,0.0010525363806144533
1900,0.0010481863095524854
1901,0.0010418897753489936
1902,0.0010329702760957715
1903,0.0010151258315350528
1904,0.0009983703520057524
1905,0.0009851920429874944
1906,0.0009827680338016112
1907,0.0009815091294253112
1908,0.0009773055550925034
1909,0.0009826233586604108
1910,0.0009772589660964773
1911,0.0009675965333631861
1912,0.0009594197176089178
1913,0.000949120001418383
1914,0.0009387404419872577
1915,0.0009346110382466577
1916,0.000929260596811738
1917,0.0009203491863445379
1918,0.0009185390195593105
1919,0.0009214092221684821
1920,0.0009258903935135875
1921,0.0009286477704465922
1922,0.0009284876681964046
1923,0.0009279498798215563
1924,0.0009282000553087398
1925,0.0009265849663019513
1926,0.0009293252665624355
1927,0.000920842986358496
1928,0.0009127166761442953
1929,0.0009016534859256353
1930,0.0008891499434996929
1931,0.0008832943120588814
1932,0.0008783220047397272
1933,0.0008653716130148886
1934,0.0008580053857128535
1935,0.0008452448419120628
1936,0.0008335504233920282
1937,0.0008250920935617094
1938,0.0008117806308811332
1939,0.0008007313335838262
1940,0.0007896042843640316
1941,0.0007858030959531398
1942,0.0007926283085128358
1943,0.0008003400320636242
1944,0.0008038065685208754
1945,0.0008055493485049478
1946,0.0008009596978289275
1947,0.0007996145499678928
1948,0.0007902618209690056
1949,0.0007771870197237669
1950,0.0007650098294626722
1951,0.0007550795505397088
1952,0.0007521793356448013
1953,0.0007571495085098182
1954,0.0007556792718657691
1955,0.0007526445385467793
1956,0.0007482176713113274
1957,0.0007452689418901823
1958,0.0007447773719572329
1959,0.0007411055760582842
1960,0.0007344992825112837
1961,0.0007309395924884094
1962,0.0007309899426348108
1963,0.000728004741436702
1964,0.0007248821753559501
1965,0.0007246453990644243
1966,0.0007249252121255267
1967,0.0007249169996482253
1968,0.000721215484060979
1969,0.000717490879781378
1970,0.0007152917584919903
1971,0.0007067229432453002
1972,0.0006906695364575301
1973,0.0006726078104942904
1974,0.0006539676536963919
1975,0.0006350637314816204
1976,0.0006139939510571172
1977,0.000593824266356283
1978,0.0005778482773166616
1979,0.0005634879193426709
1980,0.000550547400052892
1981,0.0005347484600081641
1982,0.0005232261740145207
1983,0.0005139657379394132
1984,0.0005065080554881465
1985,0.0004984809638699517
1986,0.0004923946471535601
1987,0.0004850736841035541
1988,0.0004827073535125237
1989,0.00047772598450787233
1990,0.00047517982134844976
1991,0.0004690966873438031
1992,0.0004626522012196282
1993,0.0004584989889865807
1994,0.00045377215584656885
1995,0.00044606922269200107
1996,0.0004428117572388146
1997,0.0004406292282510549
1998,0.0004401343004636666
1999,0.00044066917949489186
2000,0.0004469731330963051
2001,0.000460093285385353
2002,0.0004657605750253424
2003,0.0004723502934211865
2004,0.0004780280705745099
