year,medieval
1800,4.4488818851107226e-08
1801,3.559105508088578e-08
1802,2.9659212567404818e-08
1803,2.663048575308429e-08
1804,2.0774155094573288e-08
1805,4.7961186768117974e-09
1806,9.975405517488006e-09
1807,8.604063239658899e-09
1808,9.409716180844692e-09
1809,1.0237686761830186e-08
1810,1.49545797967221e-08
1811,1.2738106950191e-08
1812,1.547975918876026e-08
1813,1.1184698120051247e-08
1814,1.3534037636629494e-08
1815,1.27283846954437e-08
1816,1.436125301219298e-08
1817,1.955441396108069e-08
1818,2.1913388500597157e-08
1819,1.9698470378669086e-08
1820,3.566543780943375e-08
1821,3.33160982928555e-08
1822,3.466084153025406e-08
1823,3.571635707823516e-08
1824,2.6287430803557347e-08
1825,3.436821808097282e-08
1826,3.773118928407371e-08
1827,2.5886982652727804e-08
1828,2.7254525049512172e-08
1829,2.636447330292161e-08
1830,2.2848118857205742e-08
1831,2.3528709044587766e-08
1832,1.7107531803871112e-08
1833,1.3608165641950824e-08
1834,1.1987569920839699e-08
1835,1.579889527140007e-08
1836,1.9831392528146804e-08
1837,2.4549438513789468e-08
1838,5.390197856312641e-08
1839,7.161562324117402e-08
1840,8.182998494683195e-08
1841,9.615973262100397e-08
1842,1.4132171172980587e-07
1843,2.1734866754005315e-07
1844,3.259203093123172e-07
1845,3.610086901163965e-07
1846,4.3061979274458147e-07
1847,4.979407847002397e-07
1848,6.497278497758733e-07
1849,7.10866628450546e-07
1850,7.240428625226209e-07
1851,7.332213766935475e-07
1852,7.579131778052377e-07
1853,7.769340558841772e-07
1854,8.254084405174516e-07
1855,7.550367330720422e-07
1856,7.771040095860826e-07
1857,8.131230754112753e-07
1858,8.667625596306802e-07
1859,8.77496190757451e-07
1860,9.501870213820698e-07
1861,9.434236147853881e-07
1862,9.760669839360096e-07
1863,1.1166351028586114e-06
1864,1.1838757737945928e-06
1865,1.1869949203863989e-06
1866,1.1922293121001206e-06
1867,1.2462844379358882e-06
1868,1.2314311652923086e-06
1869,1.2774020023341237e-06
1870,1.2462007360016157e-06
1871,1.3530647281965815e-06
1872,1.493110789039877e-06
1873,1.6230950084913535e-06
1874,1.6615484028648098e-06
1875,1.944888573746084e-06
1876,2.0020188996129818e-06
1877,2.0095805339792605e-06
1878,2.1313034486476165e-06
1879,2.0687760715938045e-06
1880,2.0087028827577214e-06
1881,1.945244311026987e-06
1882,1.7657816694541649e-06
1883,1.9082076891306443e-06
1884,1.979481853352029e-06
1885,1.8531621017408336e-06
1886,1.814866249917811e-06
1887,1.8650678766464677e-06
1888,1.9718799900861735e-06
1889,2.0099991410964842e-06
1890,2.0417831245416503e-06
1891,2.1864233253105733e-06
1892,2.7206853516759115e-06
1893,2.8853009957125716e-06
1894,2.9435953022373596e-06
1895,3.084702678433717e-06
1896,3.329055701328798e-06
1897,3.3371243241780183e-06
1898,3.366624115739926e-06
1899,3.05072775168875e-06
1900,3.202430357467684e-06
1901,3.4510832916469425e-06
1902,3.529375616397244e-06
1903,3.5983862188361726e-06
1904,4.034760148588898e-06
1905,4.43918056549007e-06
1906,4.658334394288691e-06
1907,5.059797585106805e-06
1908,5.412569160106224e-06
1909,5.878374342468565e-06
1910,6.355311021317382e-06
1911,6.6354573756858116e-06
1912,6.790394398389513e-06
1913,7.2715878129006995e-06
1914,7.684680797735511e-06
1915,8.256129612098969e-06
1916,8.51188945359484e-06
1917,8.861721257501032e-06
1918,9.135980625225265e-06
1919,9.313667431700066e-06
1920,9.559687049837911e-06
1921,9.788061778489724e-06
1922,9.887240470415496e-06
1923,1.0621675152882354e-05
1924,1.1105966931625386e-05
1925,1.1759873627527537e-05
1926,1.2638489818885188e-05
1927,1.3282587466229804e-05
1928,1.3845441697770053e-05
1929,1.4716049881664211e-05
1930,1.464805649626604e-05
1931,1.5109805847909488e-05
1932,1.65612765710778e-05
1933,1.7789090683046587e-05
1934,1.927901877252225e-05
1935,1.9943727197966966e-05
1936,2.049101366960063e-05
1937,2.1505158319509326e-05
1938,2.2198527334791966e-05
1939,2.1093501345603727e-05
1940,2.033313075701569e-05
1941,1.9254262736824653e-05
1942,1.913611601318215e-05
1943,1.8701564605245426e-05
1944,1.8808357550272247e-05
1945,1.8717228864976016e-05
1946,1.9090655322478206e-05
1947,1.9726638860057782e-05
1948,2.0174005462487393e-05
1949,2.0564283902656045e-05
1950,2.1037493439735044e-05
1951,2.130339133340645e-05
1952,2.1543526295480267e-05
1953,2.181020668347498e-05
1954,2.2030138544388524e-05
1955,2.2579105478013973e-05
1956,2.3108095766539402e-05
1957,2.35165389231692e-05
1958,2.3859675987328694e-05
1959,2.437242719517079e-05
1960,2.476922441831318e-05
1961,2.4818550477740636e-05
1962,2.4989512581896637e-05
1963,2.5044921216021976e-05
1964,2.4896901980550214e-05
1965,2.4363934110332203e-05
1966,2.394326418604058e-05
1967,2.3738270272133377e-05
1968,2.337863516694532e-05
1969,2.2846150603835925e-05
1970,2.224986609584383e-05
1971,2.2256358296398764e-05
1972,2.236751949981551e-05
1973,2.2213091578951856e-05
1974,2.2180095756750363e-05
1975,2.206054691506714e-05
1976,2.192748249894651e-05
1977,2.1734848297277108e-05
1978,2.1516720786556626e-05
1979,2.154946123969889e-05
1980,2.1737279715645335e-05
1981,2.1650848669959748e-05
1982,2.2141881310793516e-05
1983,2.2226213890316364e-05
1984,2.281133289930689e-05
1985,2.3119316543735685e-05
1986,2.3296796943636112e-05
1987,2.32712655860366e-05
1988,2.3826567954188253e-05
1989,2.3953716590442908e-05
1990,2.4459690444749477e-05
1991,2.485920493557257e-05
1992,2.5194783702886525e-05
1993,2.576722010668878e-05
1994,2.634474889110347e-05
1995,2.6464281899864416e-05
1996,2.6605991745246422e-05
1997,2.7068926008106636e-05
1998,2.692968535151457e-05
1999,2.6792887475884137e-05
2000,2.6328613517177602e-05
2001,2.6000648231518297e-05
2002,2.5905884470489582e-05
2003,2.5816142368739747e-05
2004,2.5140511940691113e-05
