year,millenium
1800,1.3936729192920438e-07
1801,2.2898420084516147e-07
1802,2.5007033658634253e-07
1803,2.336788598812843e-07
1804,2.710437498570124e-07
1805,2.541776903238916e-07
1806,3.1395985658885396e-07
1807,3.276896139833444e-07
1808,2.663262054066909e-07
1809,2.4783119873766116e-07
1810,2.521991269789835e-07
1811,2.228755303487365e-07
1812,2.4274905032127337e-07
1813,1.9600765150633898e-07
1814,2.0223833680737308e-07
1815,2.3767626267101605e-07
1816,2.6608610553020237e-07
1817,2.8562337942413964e-07
1818,3.025349260634057e-07
1819,2.896062183082344e-07
1820,3.041565368455679e-07
1821,2.9496682474317026e-07
1822,2.593830046621853e-07
1823,2.2915738202249664e-07
1824,2.3941797947354566e-07
1825,2.533712628911238e-07
1826,2.4717186373836496e-07
1827,3.022306273819148e-07
1828,3.1467011834302685e-07
1829,3.359081131978518e-07
1830,3.468487330365073e-07
1831,3.293744034658732e-07
1832,3.1615158621204185e-07
1833,3.657109041631048e-07
1834,2.9986442592492117e-07
1835,3.0516847166721964e-07
1836,3.067351464571187e-07
1837,3.121629112978752e-07
1838,3.097054807531054e-07
1839,5.215645672177313e-07
1840,4.927205466171663e-07
1841,4.924202326847141e-07
1842,4.927164881175981e-07
1843,4.851141465042223e-07
1844,4.620872707012629e-07
1845,4.72652372066459e-07
1846,2.6635715211220656e-07
1847,2.6715599399373957e-07
1848,2.571882708389341e-07
1849,2.4509110287316916e-07
1850,2.3969673576143944e-07
1851,2.4513877010840753e-07
1852,2.302499183061611e-07
1853,2.1939690109107346e-07
1854,1.9969014172386122e-07
1855,1.9291206216592067e-07
1856,1.921084149853718e-07
1857,1.7563178463956115e-07
1858,1.6642045275183648e-07
1859,1.5373672027482348e-07
1860,1.420042705963758e-07
1861,1.354911388798793e-07
1862,1.3401461048826287e-07
1863,1.2054654750594448e-07
1864,1.3097102630992602e-07
1865,1.2475055810590163e-07
1866,1.2303234573986443e-07
1867,1.2165403874751594e-07
1868,1.2318608787000228e-07
1869,1.1708308897010308e-07
1870,1.0997918851808818e-07
1871,9.951777708255046e-08
1872,1.1320301034662655e-07
1873,1.1799142103046429e-07
1874,1.1910912759268859e-07
1875,1.1207675655798357e-07
1876,1.1967308260236414e-07
1877,1.206409311338419e-07
1878,1.2882648319540684e-07
1879,1.1614325550508246e-07
1880,1.1048917867930084e-07
1881,1.0811239267319703e-07
1882,1.149934577242868e-07
1883,1.228321806965939e-07
1884,1.2795641722375605e-07
1885,1.2183403140321657e-07
1886,1.2403941700751225e-07
1887,1.3510894825152775e-07
1888,1.390002965586033e-07
1889,1.3193106849853008e-07
1890,1.2123311511823077e-07
1891,1.213344716604376e-07
1892,1.2010065535734376e-07
1893,1.1611622403278384e-07
1894,1.0851454457228015e-07
1895,1.0327591258376043e-07
1896,1.0757655927966831e-07
1897,1.0372674886476624e-07
1898,9.925993182946513e-08
1899,9.732200937203776e-08
1900,1.0367731425756484e-07
1901,1.0056532616177704e-07
1902,1.0325033634422149e-07
1903,1.0433409330934396e-07
1904,1.1504465223323634e-07
1905,1.243275127373243e-07
1906,1.264277746699476e-07
1907,1.2800591197332472e-07
1908,1.364095843662102e-07
1909,1.415342344593792e-07
1910,1.4230505734902366e-07
1911,1.398152498777172e-07
1912,1.3661873691863035e-07
1913,1.4325551667931133e-07
1914,1.4364414209687227e-07
1915,1.4963600611769425e-07
1916,1.5283126059933192e-07
1917,1.5916941596495958e-07
1918,1.6240295714580505e-07
1919,1.7455021491688934e-07
1920,1.8670014042701917e-07
1921,1.9352535409110162e-07
1922,1.8751475115509818e-07
1923,1.9331948771953276e-07
1924,2.1344762677978834e-07
1925,2.295415569048791e-07
1926,2.3829611020939216e-07
1927,2.3528656403363053e-07
1928,2.3689650917908217e-07
1929,2.6105167453906374e-07
1930,2.7173114486300776e-07
1931,2.5537352071891567e-07
1932,2.4759478319179097e-07
1933,2.4102337780369206e-07
1934,2.3915302532762084e-07
1935,2.401407244405946e-07
1936,2.1899978272113939e-07
1937,2.0274387708368075e-07
1938,1.9874458888148793e-07
1939,1.9615405658487563e-07
1940,1.9673355861853687e-07
1941,2.0218588236182405e-07
1942,2.0624271185321064e-07
1943,2.1399370153663e-07
1944,2.3505827421007754e-07
1945,2.5454690434832473e-07
1946,2.643511956001987e-07
1947,2.700202025941932e-07
1948,2.7690719788570864e-07
1949,2.821350681335235e-07
1950,3.188935466802434e-07
1951,3.160457390556053e-07
1952,3.2884612653573596e-07
1953,3.4316057463877415e-07
1954,3.4617900122681427e-07
1955,3.6424929482161066e-07
1956,3.772507439928471e-07
1957,3.6398323217350684e-07
1958,3.771354703292167e-07
1959,3.6689409861028514e-07
1960,3.7568193078651996e-07
1961,4.0569765236142535e-07
1962,4.005163663421486e-07
1963,4.0677316695944145e-07
1964,4.1115145297889094e-07
1965,4.1296021940124513e-07
1966,4.3878031774635673e-07
1967,4.4215250135807136e-07
1968,4.3404762281199337e-07
1969,4.4792843483560626e-07
1970,4.5754305685477957e-07
1971,4.764580548353793e-07
1972,4.929119704701256e-07
1973,5.006390422779283e-07
1974,5.120980891797673e-07
1975,5.278976005932253e-07
1976,5.385659905741771e-07
1977,5.515187974330133e-07
1978,5.603803806779923e-07
1979,5.717207446671273e-07
1980,5.739002238039755e-07
1981,5.787064812753532e-07
1982,5.742166062004474e-07
1983,5.759638460135972e-07
1984,5.672854240642725e-07
1985,5.45573450448446e-07
1986,5.302655083916363e-07
1987,5.124600801487134e-07
1988,4.899376894026579e-07
1989,4.858150199904543e-07
1990,4.60582765704487e-07
1991,4.438237489586986e-07
1992,4.3675307231134344e-07
1993,4.356508155175679e-07
1994,4.311249786694203e-07
1995,4.429022915721146e-07
1996,4.5203680563789455e-07
1997,4.778969359924596e-07
1998,4.922576100392056e-07
1999,5.030908629371262e-07
2000,4.995818732034252e-07
2001,4.957304982384463e-07
2002,4.967438191153898e-07
2003,4.85921256476729e-07
2004,4.625751990339211e-07
