year,morphology
1800,3.5318514779447696e-09
1801,2.8254811823558157e-09
1802,2.3545676519631797e-09
1803,2.0182008445398682e-09
1804,1.10823642326555e-09
1805,1.10823642326555e-09
1806,4.215808527671275e-09
1807,4.215808527671275e-09
1808,4.215808527671275e-09
1809,4.215808527671275e-09
1810,5.203341249934315e-09
1811,4.095104826668765e-09
1812,4.095104826668765e-09
1813,9.875327222630403e-10
1814,3.3368722388412866e-09
1815,1.8221674594595276e-07
1816,1.8221674594595276e-07
1817,1.8122921322368972e-07
1818,1.8358818769976487e-07
1819,1.8411492181640604e-07
1820,1.8411492181640604e-07
1821,1.817655822998278e-07
1822,3.333956349089411e-09
1823,3.920015423375389e-09
1824,3.920015423375389e-09
1825,1.561040947300236e-09
1826,1.520519995626809e-09
1827,2.772266701914613e-09
1828,4.1398090986989794e-09
1829,1.6877614353713203e-08
1830,2.4574694025756927e-08
1831,2.741871980254424e-08
1832,4.4296774692753615e-08
1833,4.966564886339191e-08
1834,7.46584315004993e-08
1835,7.846975685105966e-08
1836,7.080639798294288e-08
1837,8.07214365508965e-08
1838,8.009061284016841e-08
1839,6.731297868307299e-08
1840,6.605326165397076e-08
1841,6.093181958988225e-08
1842,7.326281226127662e-08
1843,7.426829211938061e-08
1844,8.60017638374241e-08
1845,1.0830633878633478e-07
1846,1.9766647950193927e-07
1847,2.2452475320225827e-07
1848,2.2013944330926248e-07
1849,2.161810056046574e-07
1850,2.4050210216992293e-07
1851,2.256177409977665e-07
1852,2.3718223185476006e-07
1853,1.9058266323820507e-07
1854,2.3275769267527835e-07
1855,2.8430464198742863e-07
1856,3.227151029580203e-07
1857,3.343973690331633e-07
1858,3.8380981167865767e-07
1859,3.8732614173118763e-07
1860,3.6437159017006185e-07
1861,3.524441525927711e-07
1862,2.946673353574982e-07
1863,2.750155866846983e-07
1864,3.0850954755935943e-07
1865,3.1814067875351224e-07
1866,4.310482175640118e-07
1867,4.964159675070943e-07
1868,5.208869683518255e-07
1869,6.109755637291008e-07
1870,6.770051385527966e-07
1871,6.748015331276796e-07
1872,6.905685718499351e-07
1873,6.246015842949402e-07
1874,6.52998165762142e-07
1875,6.948386197842232e-07
1876,8.195135583477509e-07
1877,8.55975146762944e-07
1878,8.981758950556337e-07
1879,9.491917951314528e-07
1880,1.0368093157353542e-06
1881,1.0110128957511018e-06
1882,1.0421624863405604e-06
