year,physiology
1800,2.37059924268479e-06
1801,2.4628881607924315e-06
1802,2.3732247991977338e-06
1803,2.275853397039538e-06
1804,2.1044294411203575e-06
1805,2.0154910982077875e-06
1806,2.1667553425126177e-06
1807,1.850730788431422e-06
1808,1.701545085402196e-06
1809,1.5797327854727428e-06
1810,1.700496588747618e-06
1811,1.7734822616180932e-06
1812,1.947336197563995e-06
1813,1.9423915205152298e-06
1814,2.117342951635237e-06
1815,2.153329508100147e-06
1816,2.607982182212254e-06
1817,2.5710784724099407e-06
1818,2.522454475898225e-06
1819,2.695046675731711e-06
1820,2.6819572391494665e-06
1821,2.7144077796898666e-06
1822,2.7699729920576436e-06
1823,2.5647683433557437e-06
1824,2.684694237586882e-06
1825,2.8981148371290795e-06
1826,3.145837392740499e-06
1827,3.1383588766483887e-06
1828,3.4663006362377146e-06
1829,3.7973018842356917e-06
1830,3.929401917243272e-06
1831,4.4675141168681876e-06
1832,4.74494559706987e-06
1833,5.126311906776339e-06
1834,5.736741469166061e-06
1835,6.077294159467784e-06
1836,6.478345483174053e-06
1837,7.106958183352877e-06
1838,7.282010536917889e-06
1839,7.548710588675281e-06
1840,7.659634844360751e-06
1841,8.209315589218541e-06
1842,8.268508151689146e-06
1843,8.510379067112289e-06
1844,8.796958565783696e-06
1845,8.95587135119058e-06
1846,9.213888444849414e-06
1847,9.663350234794571e-06
1848,9.557966304133256e-06
1849,9.903006587462318e-06
1850,9.902945099124088e-06
1851,9.855562926272146e-06
1852,1.0047834101507241e-05
1853,1.0226702686720404e-05
1854,1.0023379640447924e-05
1855,1.0684129717576849e-05
1856,1.0818151866130523e-05
1857,1.108581679838088e-05
1858,1.1013806986933819e-05
1859,1.0664250664506523e-05
1860,1.0385767918056185e-05
1861,1.0073200996885133e-05
1862,9.407529205418541e-06
1863,9.184716223639303e-06
1864,9.387527459888848e-06
1865,9.771007975294717e-06
1866,1.0038850892410015e-05
1867,1.0735021354386324e-05
1868,1.1341524587546051e-05
1869,1.1760974968767965e-05
1870,1.265454661084472e-05
1871,1.2884728026360142e-05
1872,1.3471087056262019e-05
1873,1.3743816160578198e-05
1874,1.3436218897108381e-05
1875,1.3416978471728466e-05
1876,1.370008268557805e-05
1877,1.3111585912741117e-05
1878,1.2983228348925227e-05
1879,1.2233684758809562e-05
1880,1.230254516063464e-05
1881,1.2718541670762663e-05
1882,1.2729807451705712e-05
1883,1.2269532947227293e-05
1884,1.2063904072030188e-05
1885,1.1873303321863204e-05
1886,1.207532313531244e-05
1887,1.2161346059461461e-05
1888,1.2015870782176664e-05
1889,1.200656214450646e-05
1890,1.2122126585316956e-05
1891,1.2341632684962991e-05
1892,1.2230658212177203e-05
1893,1.2101293293653725e-05
1894,1.188347767668217e-05
1895,1.1805531049243916e-05
1896,1.1693479174417526e-05
1897,1.1732793349697852e-05
1898,1.1752972081272414e-05
1899,1.1754825737040977e-05
1900,1.1734301949672956e-05
1901,1.166942136673502e-05
1902,1.152357925450685e-05
1903,1.1295733258975817e-05
1904,1.1325546251685279e-05
1905,1.1127718672858983e-05
1906,1.1027846174524062e-05
1907,1.0993365411390448e-05
1908,1.103064488461314e-05
1909,1.1105125679478078e-05
1910,1.134331804613404e-05
1911,1.1004650722108117e-05
1912,1.1188244099815036e-05
1913,1.1216142439707255e-05
1914,1.1345104825620314e-05
1915,1.1488819743427875e-05
1916,1.130151997179902e-05
1917,1.1136032343626668e-05
1918,1.1100131181202804e-05
1919,1.0761129662536664e-05
1920,1.0482941706056539e-05
1921,9.985956434580398e-06
1922,9.659884459064674e-06
1923,9.470275322038494e-06
1924,9.400232719209661e-06
1925,9.499575619591788e-06
1926,9.665861853136448e-06
1927,9.804862506663475e-06
1928,1.0027308377402733e-05
1929,1.0054835736842246e-05
1930,1.0213340276875118e-05
1931,1.1198624666316652e-05
1932,1.0873793475038188e-05
1933,1.0648232414415101e-05
1934,1.0692749057739093e-05
1935,1.059765207246853e-05
1936,1.0616965310207758e-05
1937,1.055581837355086e-05
1938,9.79707491564698e-06
1939,1.0072907327542322e-05
1940,1.0211323707868098e-05
1941,1.002320705164753e-05
1942,9.891467085156235e-06
