year,pig
1800,4.6989744812986345e-06
1801,4.323834781949642e-06
1802,4.15234358171664e-06
1803,4.176594751445098e-06
1804,3.8270828379387874e-06
1805,3.6102933738441886e-06
1806,3.631334890436782e-06
1807,3.803705982059163e-06
1808,3.871687809972205e-06
1809,3.876244693604544e-06
1810,3.852308739433446e-06
1811,3.760318413981167e-06
1812,3.901760811584966e-06
1813,3.7673833459856657e-06
1814,3.599204839182286e-06
1815,3.657549982502165e-06
1816,4.059994113094133e-06
1817,3.9748429661352295e-06
1818,3.990146483826403e-06
1819,3.811046086583352e-06
1820,4.056620869441474e-06
1821,4.107832464659923e-06
1822,4.194969256410275e-06
1823,3.749195539550141e-06
1824,3.856355665592709e-06
1825,3.849933443854172e-06
1826,3.9318573976971606e-06
1827,3.8871829164399685e-06
1828,4.241178698714622e-06
1829,4.205485511895749e-06
1830,4.4247067610493825e-06
1831,4.640594159356835e-06
1832,4.89539847617745e-06
1833,5.093360635350612e-06
1834,5.276852641955543e-06
1835,5.091939167201076e-06
1836,5.165627827454142e-06
1837,5.146025181090863e-06
1838,5.082602734367876e-06
1839,4.970898607784387e-06
1840,4.8833855283346235e-06
1841,4.746911393230643e-06
1842,4.766974844321632e-06
1843,4.897747429209533e-06
1844,5.1609343561917095e-06
1845,5.373357852635405e-06
1846,5.344043353362946e-06
1847,5.646788370228251e-06
1848,5.850962907568861e-06
1849,6.258137828650336e-06
1850,6.3482431126463515e-06
1851,6.588955337909803e-06
1852,6.608477657924336e-06
1853,6.852332922286613e-06
1854,6.979069730001746e-06
1855,7.071445194485802e-06
1856,6.948865680962106e-06
1857,7.152940544382805e-06
1858,7.3177950282245415e-06
1859,7.3823504282342715e-06
1860,7.871877394498889e-06
1861,8.081956780513013e-06
1862,8.580054891841168e-06
1863,8.836191251962841e-06
1864,9.232064958350098e-06
1865,9.602724858837064e-06
1866,1.0611404755016857e-05
1867,1.159929565882781e-05
1868,1.1643507144348016e-05
1869,1.2254932445086655e-05
1870,1.2401618430349767e-05
1871,1.24111964165e-05
1872,1.216864664854711e-05
1873,1.1799883608887285e-05
1874,1.0680733221793812e-05
1875,1.0913748458360065e-05
1876,1.0352106796420101e-05
1877,1.051107525183527e-05
1878,1.0343404091323854e-05
1879,1.0263211925527167e-05
1880,1.0047898389383852e-05
1881,1.1259012329186849e-05
1882,1.1057450241277625e-05
1883,1.1273598159635056e-05
1884,1.141621208538319e-05
1885,1.1663168229298598e-05
1886,1.1728978932978862e-05
1887,1.1764012561294684e-05
1888,1.1065767824090602e-05
1889,1.1470548626237229e-05
1890,1.1373917910110062e-05
1891,1.1055900230871885e-05
1892,1.1207558324193608e-05
1893,1.1670116894687713e-05
1894,1.1946819678801798e-05
1895,1.172049678643816e-05
1896,1.1445541503007917e-05
1897,1.1428683659378942e-05
1898,1.1651853081876393e-05
1899,1.1741651054616599e-05
1900,1.188714313725216e-05
1901,1.1837597708920708e-05
1902,1.216121378279565e-05
1903,1.2646272086921533e-05
1904,1.3585954637359724e-05
1905,1.4069700908083047e-05
1906,1.4541888412671661e-05
1907,1.5178669719213239e-05
1908,1.6305970364425904e-05
1909,1.676197262919946e-05
1910,1.751791263464903e-05
1911,1.7604093242441975e-05
1912,1.7815115126852883e-05
1913,1.8302225644869656e-05
1914,1.8210041271718834e-05
1915,1.802602298945593e-05
1916,1.8188560019893885e-05
1917,1.8137210951912103e-05
1918,1.7749049397204025e-05
1919,1.786899853430311e-05
1920,1.7585872212423836e-05
1921,1.7380668375770775e-05
1922,1.7032437040955172e-05
1923,1.6915140430942953e-05
1924,1.6403752933261524e-05
1925,1.6225617234307978e-05
1926,1.6652067318188658e-05
1927,1.6529211649185527e-05
1928,1.6527321674532557e-05
1929,1.641002413066417e-05
1930,1.629944346705413e-05
1931,1.6496540910436253e-05
1932,1.6698717329534573e-05
1933,1.617079593683814e-05
1934,1.611181524806073e-05
1935,1.6082216611883788e-05
1936,1.6172252864115372e-05
1937,1.6399547182085632e-05
1938,1.59880516252185e-05
1939,1.635985112459691e-05
1940,1.6426334344795836e-05
1941,1.6463305651573785e-05
1942,1.6338377321289954e-05
1943,1.646595709254533e-05
1944,1.623345899913277e-05
1945,1.6739510944116125e-05
1946,1.678500968742875e-05
1947,1.656858801319621e-05
1948,1.6324054436316665e-05
1949,1.6443782551992365e-05
1950,1.6477722971736902e-05
1951,1.6750840698266855e-05
1952,1.6837547771534188e-05
1953,1.6496536352812135e-05
1954,1.6691850508518004e-05
1955,1.6661075079582588e-05
1956,1.6377311220188468e-05
1957,1.600873354894767e-05
1958,1.5844186147465473e-05
1959,1.54061530314006e-05
1960,1.5223992958470132e-05
1961,1.4902012255544961e-05
1962,1.4823173302147552e-05
1963,1.4780474821967412e-05
1964,1.4541364038223035e-05
1965,1.4175500477823075e-05
1966,1.3907244780040986e-05
1967,1.3710773089314898e-05
1968,1.3644647594901471e-05
1969,1.352906349641866e-05
1970,1.3455107770304104e-05
1971,1.3604356847654992e-05
1972,1.3508493602947575e-05
1973,1.3642504760420186e-05
1974,1.3572476536946203e-05
1975,1.3395368453318821e-05
1976,1.3451372950612495e-05
1977,1.337579078811554e-05
1978,1.3252084542614284e-05
1979,1.3213047651561281e-05
1980,1.3046825553634077e-05
1981,1.296356757864357e-05
1982,1.3098572915331325e-05
1983,1.2965947829814339e-05
1984,1.2885314973232198e-05
1985,1.2662984364705413e-05
1986,1.2526347366100968e-05
1987,1.2181631149132954e-05
1988,1.1985067506056373e-05
1989,1.148341677240491e-05
1990,1.1203890216344397e-05
1991,1.083362299933047e-05
1992,1.0512887000808339e-05
1993,1.0152617959542048e-05
1994,1.0057331064469313e-05
1995,9.767951182888218e-06
1996,9.62900195235404e-06
1997,9.450273238493473e-06
1998,9.361790776754983e-06
1999,9.268370848961435e-06
2000,9.170167385060982e-06
2001,9.012385414207203e-06
2002,8.98355629056861e-06
2003,8.956949038463335e-06
2004,8.86408627387425e-06
