year,porn
1800,8.352367975028585e-08
1801,7.383329378995995e-08
1802,6.875337528929511e-08
1803,6.25563751910363e-08
1804,6.889064468091582e-08
1805,5.7710111102591913e-08
1806,5.899206761179293e-08
1807,4.90639109023456e-08
1808,5.291584326272414e-08
1809,5.1690269207784115e-08
1810,5.004042399495542e-08
1811,4.0722013126627746e-08
1812,3.832718948564613e-08
1813,4.964492937377583e-08
1814,4.8209002694627704e-08
1815,6.030930593021416e-08
1816,6.354427910843746e-08
1817,6.58930194852303e-08
1818,7.495820421508726e-08
1819,7.38283569199995e-08
1820,6.25617990746008e-08
1821,6.852783232932527e-08
1822,5.204782420926384e-08
1823,4.560320476798552e-08
1824,4.296883027166132e-08
1825,3.4556852236887285e-08
1826,3.123436363518449e-08
1827,2.685292264738491e-08
1828,2.3096024616618497e-08
1829,2.0432313111281734e-08
1830,2.2355530886792556e-08
1831,2.445813380396495e-08
1832,2.152927410950919e-08
1833,2.309747377487221e-08
1834,2.3986421103318534e-08
1835,2.102144414095619e-08
1836,2.1273688461625236e-08
1837,1.8603303310525477e-08
1838,1.960654004230987e-08
1839,1.843369917026954e-08
1840,1.6334606968624957e-08
1841,1.4569087047888729e-08
1842,1.453896961553117e-08
1843,1.3400555617540784e-08
1844,1.5608002636367605e-08
1845,1.2958037119505304e-08
1846,1.5249866512436128e-08
1847,1.5536103324466562e-08
1848,1.694576047737785e-08
1849,1.870631408503901e-08
1850,2.0744388365808875e-08
1851,2.1914723813409864e-08
1852,2.35427273866305e-08
1853,2.2676402152857885e-08
1854,2.3991713948845472e-08
1855,2.396530573989253e-08
1856,2.4283560051685527e-08
1857,2.389767913716209e-08
1858,2.5060442483087238e-08
1859,2.416703148711008e-08
1860,2.4516564968633606e-08
1861,2.4687505056115404e-08
1862,2.5236052010007322e-08
1863,2.3938954215755156e-08
1864,2.410871163022981e-08
1865,2.1426872435067627e-08
1866,2.03381537960163e-08
1867,1.978596864127269e-08
1868,2.2973205782150785e-08
1869,2.1770577340873842e-08
1870,2.2850252864462358e-08
1871,2.3685828282842588e-08
1872,2.4366053619218064e-08
1873,2.4685585195019906e-08
1874,2.3962033056181198e-08
1875,2.099293989437407e-08
1876,2.0184179216897746e-08
1877,1.89453802487297e-08
1878,1.8432301399481536e-08
1879,1.7813638183586785e-08
1880,1.908162796025538e-08
1881,1.9372697699994642e-08
1882,1.9301346616223162e-08
1883,1.9888761050777604e-08
1884,1.9840664857083212e-08
1885,1.9456038304253653e-08
1886,2.1766054355712835e-08
1887,2.038369947435622e-08
1888,2.1651725253971473e-08
1889,2.121818747686482e-08
1890,2.2254670503255425e-08
1891,2.3769153899090767e-08
