year,pornography
1800,0.0
1801,0.0
1802,0.0
1803,0.0
1804,0.0
1805,0.0
1806,0.0
1807,0.0
1808,0.0
1809,0.0
1810,0.0
1811,0.0
1812,0.0
1813,0.0
1814,0.0
1815,0.0
1816,0.0
1817,0.0
1818,0.0
1819,0.0
1820,0.0
1821,0.0
1822,0.0
1823,0.0
1824,0.0
1825,0.0
1826,0.0
1827,0.0
1828,0.0
1829,0.0
1830,4.601743747960947e-10
1831,4.601743747960947e-10
1832,4.601743747960947e-10
1833,4.601743747960947e-10
1834,4.601743747960947e-10
1835,4.601743747960947e-10
1836,4.601743747960947e-10
1837,0.0
1838,0.0
1839,0.0
1840,0.0
1841,0.0
1842,0.0
1843,0.0
1844,9.655371105817982e-10
1845,9.655371105817982e-10
1846,9.655371105817982e-10
1847,9.655371105817982e-10
1848,1.2312161131891995e-09
1849,1.2312161131891995e-09
1850,1.2312161131891995e-09
1851,4.746691135386933e-10
1852,9.463327423274238e-10
1853,9.463327423274238e-10
1854,9.463327423274238e-10
1855,6.806537397200227e-10
1856,4.322842052571576e-09
1857,4.322842052571576e-09
1858,4.7306914734741255e-09
1859,4.259027844685395e-09
1860,4.259027844685395e-09
1861,5.707413700381128e-09
1862,5.707413700381128e-09
1863,2.0652253875295757e-09
1864,2.3406800941927486e-09
1865,1.7238405623589058e-09
1866,1.7238405623589058e-09
1867,1.7238405623589058e-09
1868,2.754547066631728e-10
1869,2.754547066631728e-10
1870,7.647069961385406e-10
1871,4.892522894753678e-10
1872,4.892522894753678e-10
1873,4.892522894753678e-10
1874,4.892522894753678e-10
1875,4.892522894753678e-10
1876,4.892522894753678e-10
1877,1.8216391886990583e-10
1878,1.268179291738899e-09
1879,1.268179291738899e-09
1880,1.268179291738899e-09
1881,1.268179291738899e-09
1882,1.6015034536615807e-09
1883,1.7978104560611996e-09
1884,1.6156465371912937e-09
1885,1.0681145650488182e-09
1886,4.624707299656044e-09
1887,4.806193284626455e-09
1888,7.3279416820274224e-09
1889,6.994617520104741e-09
1890,9.138619702245674e-09
1891,9.138619702245674e-09
1892,1.2951751242924153e-08
1893,9.667028844084768e-09
1894,1.1285257395243775e-08
1895,1.005137151288693e-08
1896,1.2832682028118825e-08
1897,1.0705424245495619e-08
1898,1.2816538100654133e-08
1899,8.79174883688145e-09
1900,1.009936183888576e-08
1901,1.0942316655945409e-08
1902,1.0394481196408987e-08
1903,1.1396543788043192e-08
1904,1.2500666073706718e-08
1905,1.986543819919108e-08
1906,2.120846014681226e-08
1907,2.3741265731125338e-08
1908,2.860645725062077e-08
1909,3.1060138968744666e-08
1910,3.369994651590348e-08
1911,4.122444511153337e-08
1912,3.823476644816891e-08
1913,4.142643039717342e-08
1914,4.624926256254927e-08
1915,4.836286309523835e-08
1916,5.296171939101718e-08
1917,5.271082250045213e-08
1918,4.821353919278895e-08
1919,5.072389739981174e-08
1920,5.429942184775882e-08
1921,7.342772209309851e-08
1922,7.61269836058176e-08
1923,9.491084275646346e-08
1924,1.1047215534417834e-07
1925,1.4146755365564344e-07
1926,1.6194081128454283e-07
1927,1.751924515141263e-07
1928,1.8224578121220756e-07
1929,2.011276981628285e-07
1930,2.1463426959554358e-07
1931,2.1961180910309454e-07
1932,2.1242098551572347e-07
1933,2.4367336930770325e-07
1934,2.59429792259791e-07
1935,2.482015787896863e-07
1936,2.4055669185190407e-07
1937,2.2142858640312418e-07
1938,2.1764513328089867e-07
1939,2.1682733618101834e-07
1940,1.7760877609899035e-07
1941,1.5880809750568045e-07
1942,1.6915424975806813e-07
1943,1.7480380260741818e-07
1944,1.8260929872988235e-07
1945,1.8650328056527394e-07
1946,1.8589758492877045e-07
1947,1.9141201201040253e-07
1948,2.0234768900926984e-07
1949,1.9674114235376399e-07
1950,2.0795328588483845e-07
1951,2.1941594616611428e-07
1952,2.4030250144508566e-07
1953,2.732353877837086e-07
1954,2.8931281611680297e-07
1955,3.17711326739253e-07
1956,3.423024416613986e-07
1957,3.8789075199449237e-07
1958,5.072151478189924e-07
1959,5.642666593340196e-07
1960,5.820543733024509e-07
1961,6.582729718461268e-07
1962,7.144286458300135e-07
1963,8.367499302330828e-07
1964,9.148389548764766e-07
1965,9.266299924830841e-07
1966,1.0696275203971238e-06
1967,1.234064340240236e-06
1968,1.3874355636441952e-06
1969,1.556197399895812e-06
1970,1.7232007749612421e-06
1971,1.9064045211030541e-06
1972,2.0208234861992684e-06
1973,2.10799027351121e-06
1974,2.1576439408477204e-06
1975,2.14804004577169e-06
1976,2.1969911776815413e-06
1977,2.2249097632201905e-06
1978,2.212292259226193e-06
1979,2.3444619860717756e-06
1980,2.463356436420229e-06
1981,2.668583458590287e-06
1982,2.9399832521497567e-06
1983,3.060036214514688e-06
1984,3.442222464654167e-06
1985,3.6602442590500625e-06
1986,4.2391680185208505e-06
1987,4.4575542388664805e-06
1988,4.639348646711433e-06
1989,4.958609466143571e-06
1990,5.442719942802147e-06
1991,5.6624251116537455e-06
1992,5.939046035154304e-06
1993,5.736865126948487e-06
1994,6.009091397934136e-06
1995,6.20771897175132e-06
1996,6.114693257127816e-06
1997,5.82107452475254e-06
1998,5.604168063452368e-06
1999,5.461131344475233e-06
2000,5.297066567980632e-06
2001,4.99735851455796e-06
2002,4.806868444321803e-06
2003,4.703239274661541e-06
2004,4.754863168532353e-06
