year,scientific community
1800,2.2298718427293807e-09
1801,1.7838974741835045e-09
1802,1.4865812284862538e-09
1803,1.2742124815596461e-09
1804,1.2742124815596461e-09
1805,0.0
1806,0.0
1807,0.0
1808,0.0
1809,0.0
1810,0.0
1811,0.0
1812,8.750956784605738e-10
1813,8.750956784605738e-10
1814,8.750956784605738e-10
1815,8.750956784605738e-10
1816,8.750956784605738e-10
1817,8.750956784605738e-10
1818,8.750956784605738e-10
1819,0.0
1820,0.0
1821,0.0
1822,0.0
1823,0.0
1824,0.0
1825,0.0
1826,2.3246278552895613e-09
1827,3.5221060353965836e-09
1828,3.958755862803238e-09
1829,3.958755862803238e-09
1830,5.281210897172579e-09
1831,6.1897988956616246e-09
1832,6.959806508888278e-09
1833,5.009033124788889e-09
1834,5.837239834351391e-09
1835,5.781681926870469e-09
1836,5.781681926870469e-09
1837,4.459226892501127e-09
1838,3.5506388940120814e-09
1839,2.7806312807854283e-09
1840,2.4067768095952555e-09
1841,1.3599396846737071e-09
1842,9.788477647479763e-10
1843,1.573768892981775e-09
1844,1.573768892981775e-09
1845,3.03973097486627e-09
1846,3.03973097486627e-09
1847,3.852784853058162e-09
1848,3.382421136827978e-09
1849,3.8717670339646506e-09
1850,4.589113026095706e-09
1851,4.589113026095706e-09
1852,3.5738344030176806e-09
1853,3.5738344030176806e-09
1854,2.7607805248257885e-09
1855,2.5042984035701058e-09
1856,2.7111594080864165e-09
1857,2.2972546880645997e-09
1858,3.1808357059404102e-09
1859,3.41778511841235e-09
1860,3.41778511841235e-09
1861,3.694391538720611e-09
1862,3.442389611458501e-09
1863,4.487817990244431e-09
1864,4.9046251504591964e-09
1865,4.768493536541232e-09
1866,4.813503627433744e-09
1867,5.310446495242007e-09
1868,6.250858497480749e-09
1869,6.250858497480749e-09
1870,4.742799803685622e-09
1871,4.07017061324463e-09
1872,4.5929597268314285e-09
1873,4.061743306772923e-09
1874,3.5648004389646613e-09
1875,2.78067618137661e-09
1876,3.4055868442755307e-09
1877,3.345838907518685e-09
1878,3.2213617487794213e-09
1879,2.115602804053651e-09
1880,3.2329289880093727e-09
1881,5.087603877867204e-09
1882,4.654709712908251e-09
1883,4.21694836193e-09
1884,4.552899422551247e-09
1885,5.575655365979466e-09
1886,5.5897167053739085e-09
1887,4.444030445225979e-09
1888,2.910095815116571e-09
1889,3.055563008962687e-09
1890,3.910185381832727e-09
1891,3.400405671324539e-09
1892,1.8595865165187725e-09
1893,2.5883067911181e-09
1894,2.54720628716549e-09
1895,2.71766177815737e-09
1896,2.903707813877483e-09
1897,3.081033460107717e-09
1898,3.3987390045199716e-09
1899,3.814135134711754e-09
1900,3.444568154518736e-09
1901,3.409505582625221e-09
1902,3.2206674628808075e-09
1903,3.5715212216252165e-09
1904,2.4489942851424473e-09
1905,2.3234202577755117e-09
1906,2.1201172167068752e-09
1907,1.6828805333395686e-09
1908,2.291125400510907e-09
1909,2.0838475072488497e-09
1910,1.0028841693606897e-08
1911,1.0343082874302617e-08
1912,1.1049316104929017e-08
1913,1.1300087112063397e-08
1914,1.1544633867924655e-08
1915,1.0970446781158723e-08
1916,1.2193059157577274e-08
1917,3.76175060149261e-09
1918,5.140905550466661e-09
1919,5.302057023584947e-09
1920,6.495371867349624e-09
1921,6.914715157600528e-09
1922,7.028381495847011e-09
1923,6.227592378290783e-09
1924,6.703637819452776e-09
1925,6.373894221946484e-09
1926,6.730505660737915e-09
1927,6.4968256647495485e-09
1928,6.767848821047957e-09
1929,7.167446715504256e-09
1930,7.096624351657762e-09
1931,8.235011046091906e-09
1932,7.2456329745586496e-09
1933,6.283552210297115e-09
1934,5.634536956059374e-09
1935,5.678635062178472e-09
1936,6.233770142939831e-09
1937,6.595598805209895e-09
1938,6.919733643227589e-09
1939,7.490379713307301e-09
1940,8.106898041759791e-09
1941,8.339202693465251e-09
1942,7.994977410267064e-09
1943,1.6758075720752734e-08
1944,1.683515362037115e-08
1945,1.6076063305955505e-08
1946,1.7359981071710503e-08
1947,2.3169159099215416e-08
1948,2.9556057855119533e-08
1949,3.2182204710652836e-08
1950,2.5132079147941307e-08
1951,3.047600038996734e-08
1952,3.602239722384175e-08
