year,scientist
1800,8.261488448901844e-08
1801,6.959908258608039e-08
1802,6.088948767413171e-08
1803,5.339929298742163e-08
1804,5.5300617545534746e-08
1805,2.2013041421433044e-08
1806,2.167968725176804e-08
1807,2.7878877365391675e-08
1808,2.7790711192616465e-08
1809,2.9453205081202734e-08
1810,3.2195032544685935e-08
1811,3.239822892504256e-08
1812,3.605376524313491e-08
1813,3.3678787314528336e-08
1814,3.707183899542039e-08
1815,3.7449878182676296e-08
1816,3.659114389265028e-08
1817,3.6347132097753436e-08
1818,2.8528782320640696e-08
1819,2.8560384723874677e-08
1820,3.128558459916267e-08
1821,2.3093791450585447e-08
1822,2.5677766738293632e-08
1823,2.591300256910805e-08
1824,2.4459458363474644e-08
1825,2.6276388430192454e-08
1826,3.377215294721379e-08
1827,3.386823957792931e-08
1828,3.930170306658859e-08
1829,3.66508787129151e-08
1830,3.543539614117971e-08
1831,3.60268468074005e-08
1832,3.265465910372102e-08
1833,2.3813790748862725e-08
1834,2.1340546980346583e-08
1835,2.7476772983853996e-08
1836,2.992614962187596e-08
1837,3.503934989776017e-08
1838,4.0679265384773496e-08
1839,4.315588499258029e-08
1840,4.258130026357776e-08
1841,4.455314542691927e-08
1842,3.3025749722272376e-08
1843,3.126774391784945e-08
1844,3.286535104380611e-08
1845,2.8059076363971614e-08
1846,2.871073750172164e-08
1847,3.176051180783393e-08
1848,3.431414758685897e-08
1849,3.4568309484736155e-08
1850,3.480499954910954e-08
1851,3.477989471026684e-08
1852,3.723385523711288e-08
1853,3.7462412981272205e-08
1854,3.4906820116959684e-08
1855,4.4083700705727883e-08
1856,5.048514376390248e-08
1857,5.0588627937513716e-08
1858,5.517252294711434e-08
1859,5.948052560013549e-08
1860,6.112582023083085e-08
1861,7.016159792832305e-08
1862,6.541864675365819e-08
1863,6.168140017795817e-08
1864,6.811353043494656e-08
1865,6.523927683791239e-08
1866,8.192322179364657e-08
1867,1.20884605119593e-07
1868,1.6185142280379849e-07
1869,2.1078044922161e-07
1870,2.669384219698502e-07
1871,3.316904045393341e-07
1872,4.1395828961502244e-07
1873,4.697856522842666e-07
1874,5.786322588059128e-07
1875,6.66410278071794e-07
1876,7.511291532884863e-07
1877,8.448067246393163e-07
1878,9.320412073878157e-07
1879,1.0018492778231445e-06
1880,1.1185488512564592e-06
1881,1.1705585595426067e-06
1882,1.260509985152274e-06
1883,1.393167978948538e-06
1884,1.5655850020834805e-06
1885,1.700111059424866e-06
1886,1.8263588350870511e-06
1887,1.9604610618070443e-06
1888,2.016594981414853e-06
1889,2.0758086206131206e-06
1890,2.203768348506076e-06
1891,2.2346668332927166e-06
1892,2.2908784375528868e-06
1893,2.5084888436919883e-06
1894,2.6032065798225242e-06
1895,2.707459655328291e-06
1896,2.8738078380488985e-06
1897,2.956034450107836e-06
1898,3.052040418489404e-06
1899,3.1938296233745082e-06
1900,3.1652186253592973e-06
1901,3.2024677726180277e-06
1902,3.305105780425168e-06
1903,3.4517201186190505e-06
1904,3.572280933537643e-06
1905,3.7607436524922377e-06
1906,3.971048158746271e-06
1907,4.190009028499325e-06
1908,4.431402966734563e-06
1909,4.7354322784290815e-06
1910,5.070415012044447e-06
1911,5.136301841243299e-06
1912,5.217400095196873e-06
1913,5.252798603448485e-06
1914,5.646144663679869e-06
1915,5.7002261217218934e-06
1916,5.699389289150401e-06
1917,5.592614643644213e-06
1918,5.73827936786334e-06
1919,5.9686778602749e-06
1920,6.226197346645027e-06
1921,6.177825789726349e-06
1922,6.473902796447614e-06
1923,6.800779918389058e-06
1924,7.099491731261358e-06
1925,7.572540649139878e-06
1926,7.954606364332254e-06
1927,8.429098772109812e-06
1928,8.79953732026349e-06
1929,9.107752268684116e-06
1930,9.213707410741076e-06
1931,9.513866911804922e-06
1932,9.609696283925067e-06
1933,9.599383206802615e-06
1934,9.666385657120763e-06
1935,9.666020064612115e-06
1936,9.919270853840446e-06
1937,1.0171992049176229e-05
1938,1.0312103211975097e-05
1939,1.0778783969759129e-05
1940,1.1254958341818824e-05
1941,1.1601612450411786e-05
1942,1.2018981696623346e-05
1943,1.2349772252459193e-05
1944,1.2695210634612003e-05
1945,1.2975103045066913e-05
1946,1.3094153270490745e-05
1947,1.3393748296104085e-05
1948,1.3327827795300046e-05
1949,1.347623915697633e-05
1950,1.3573282355342339e-05
1951,1.3583494705926569e-05
1952,1.3636454225109317e-05
1953,1.367412091570129e-05
1954,1.3701648104610545e-05
1955,1.406848558157695e-05
1956,1.4262839743293756e-05
1957,1.4372866985468136e-05
1958,1.4683338187231648e-05
1959,1.5256283502042476e-05
1960,1.5518302185617877e-05
1961,1.5721803785189487e-05
1962,1.5874627836508027e-05
1963,1.6124306788307357e-05
1964,1.6102918899767766e-05
1965,1.644343719168059e-05
1966,1.6154754510872798e-05
1967,1.621409793577706e-05
1968,1.6221525795247415e-05
1969,1.6028652193459235e-05
1970,1.5937601834333952e-05
1971,1.5961939945035347e-05
1972,1.567175026398867e-05
1973,1.5666996075326877e-05
1974,1.5448865480850926e-05
1975,1.5124373784861486e-05
1976,1.5039873427927627e-05
1977,1.4681030864137159e-05
1978,1.4442459262552022e-05
1979,1.4160237956925162e-05
1980,1.3862235261642906e-05
1981,1.3602443946833123e-05
1982,1.3464763242154731e-05
1983,1.3185412106914945e-05
1984,1.2964622653401291e-05
1985,1.2814026441836696e-05
1986,1.2677367197154257e-05
1987,1.2533070373267818e-05
1988,1.2392962324676252e-05
1989,1.2176264525416108e-05
1990,1.2081000120036022e-05
1991,1.2079893070092243e-05
1992,1.2026989127532162e-05
1993,1.1987362443375916e-05
1994,1.1954105502809398e-05
1995,1.198351404647318e-05
1996,1.2040273889267284e-05
1997,1.2072375739080599e-05
1998,1.2043161112680017e-05
1999,1.2025409205307369e-05
2000,1.1972584713605882e-05
2001,1.1876270361556506e-05
2002,1.1820168727657196e-05
2003,1.1777998315665174e-05
2004,1.1712620391790551e-05
