year,taxidermy
1800,2.3521239178592168e-08
1801,1.8816991342873735e-08
1802,1.5680826119061447e-08
1803,1.3440708102052668e-08
1804,1.3315030348134575e-09
1805,0.0
1806,0.0
1807,0.0
1808,0.0
1809,0.0
1810,0.0
1811,0.0
1812,0.0
1813,0.0
1814,7.831131298985383e-10
1815,7.831131298985383e-10
1816,7.831131298985383e-10
1817,7.831131298985383e-10
1818,7.831131298985383e-10
1819,7.831131298985383e-10
1820,1.0332122586070066e-08
1821,1.0010974620706342e-08
1822,1.1803965646198631e-08
1823,1.2390024720484608e-08
1824,1.2390024720484608e-08
1825,1.291201279229881e-08
1826,1.6801717985158252e-08
1827,7.66995743108266e-09
1828,1.2222314271781443e-08
1829,1.1793397718713143e-08
1830,1.3968384893203734e-08
1831,2.0130440647747605e-08
1832,2.6841904698926555e-08
1833,3.153966091470498e-08
1834,3.408550400659952e-08
1835,4.938827857792205e-08
1836,6.148577018955897e-08
1837,8.062993707623279e-08
1838,8.442729036519025e-08
1839,9.154531037986707e-08
1840,1.0310678047861392e-07
1841,1.4886306787254e-07
1842,1.845149881456771e-07
1843,2.2887439032892587e-07
1844,2.4719988865408637e-07
1845,2.93018423398144e-07
1846,3.358321470755701e-07
1847,3.5677130697361494e-07
1848,3.463097044686947e-07
1849,3.2102315294935124e-07
1850,2.7919810292280953e-07
1851,2.4899891685034194e-07
1852,2.1043669567217496e-07
1853,1.6597214222028152e-07
1854,1.3468445458908462e-07
1855,1.1224553326487959e-07
1856,8.811900658362809e-08
1857,8.692688361186132e-08
1858,8.028797558536282e-08
1859,6.739210005919053e-08
1860,6.322947243564414e-08
1861,5.690519465164e-08
1862,4.392631468088024e-08
1863,4.388451605282943e-08
1864,3.844618081037611e-08
1865,4.0792996377650836e-08
1866,3.9799625373149183e-08
1867,4.635753869663972e-08
1868,4.9764993665617803e-08
1869,4.81856259496435e-08
1870,4.705326112868542e-08
1871,4.823378607632378e-08
1872,5.647224922609796e-08
1873,6.074433277016209e-08
1874,5.3136544846716615e-08
1875,5.487793230951609e-08
1876,7.108022718035503e-08
1877,7.899641781986385e-08
1878,7.424251483431224e-08
1879,7.164487676141513e-08
1880,7.863616139199994e-08
1881,9.302286680628364e-08
1882,1.0989719667620078e-07
1883,1.0558686312579977e-07
1884,1.0404718737382674e-07
1885,1.1494809091873646e-07
1886,1.1423761086299627e-07
1887,1.1543704684210557e-07
1888,1.2483188019781925e-07
1889,1.1337325370571908e-07
1890,1.2534000218674836e-07
1891,1.4121256437198732e-07
1892,1.3467334669670095e-07
1893,1.5241401785104358e-07
1894,1.7054243395264734e-07
1895,1.7584805097773225e-07
1896,1.6864476776972432e-07
1897,1.6078261328671723e-07
1898,1.5270734210481862e-07
1899,1.5050633279350173e-07
1900,1.3315226719625072e-07
1901,1.1305776386511773e-07
1902,8.969723651132608e-08
1903,9.942488703768807e-08
1904,9.159058196000253e-08
1905,8.282138186377352e-08
1906,8.11027209359137e-08
1907,8.185598744857105e-08
1908,7.585788885933198e-08
1909,7.841205640346516e-08
1910,8.069536645243554e-08
1911,8.130025890602203e-08
1912,7.85331890946444e-08
1913,8.287287878161465e-08
1914,8.506963520917209e-08
1915,8.975244065417038e-08
1916,9.183099258791572e-08
1917,8.604731048324409e-08
1918,9.19881247999196e-08
1919,9.650335438696597e-08
1920,1.25509191484241e-07
1921,1.2633630789135202e-07
1922,1.2422401799280385e-07
1923,1.2359696732744396e-07
1924,1.3003379757086414e-07
1925,1.2725875363019311e-07
1926,1.319355805876451e-07
1927,1.0348718095163991e-07
1928,1.0060059406148878e-07
1929,1.0060586400470076e-07
1930,9.258735897014045e-08
1931,8.000092751750795e-08
1932,7.717807788092707e-08
1933,7.425428855123428e-08
1934,7.413632784653805e-08
1935,7.509599560449689e-08
1936,9.054002990988811e-08
1937,1.0277749517324202e-07
1938,1.0218730724296878e-07
1939,1.0438897250576926e-07
1940,1.0229749306375373e-07
1941,1.1151166612322073e-07
1942,1.1094188704216127e-07
1943,9.55451144233978e-08
1944,8.45171828316766e-08
1945,9.193960902915371e-08
1946,1.0792086953457871e-07
1947,1.039778798299957e-07
1948,9.47984312160699e-08
1949,9.162261211630758e-08
1950,9.38392314726271e-08
1951,1.0276576781606144e-07
1952,9.953873787121076e-08
1953,8.049589323671265e-08
1954,7.853516633047975e-08
1955,7.377662793382556e-08
1956,7.292031843432665e-08
1957,6.745336973106625e-08
1958,5.679368045297118e-08
1959,5.169638235348804e-08
1960,4.784180373291441e-08
1961,4.8421679689690326e-08
1962,5.091844840210414e-08
1963,4.7929416586394476e-08
1964,5.0299360613134277e-08
1965,4.914410317183712e-08
1966,5.1475998301210776e-08
1967,5.169297448029805e-08
1968,5.2634855735827253e-08
1969,5.072767387101099e-08
1970,5.424662994992145e-08
1971,5.2306419830370846e-08
1972,5.717430824019638e-08
1973,5.955538519484906e-08
1974,6.292002059847337e-08
1975,6.135570106741943e-08
1976,6.425636236587603e-08
1977,6.902095943196938e-08
1978,7.155029120774006e-08
1979,6.893007029448331e-08
1980,7.003420845633609e-08
1981,7.365813941324311e-08
1982,8.405459786927797e-08
1983,8.497572287094865e-08
1984,8.352881015432396e-08
1985,8.707650120002139e-08
1986,9.067681125011059e-08
1987,9.211716587932882e-08
1988,9.717547885415963e-08
1989,9.497135555758264e-08
1990,1.0839107904876092e-07
1991,1.0999530971770152e-07
1992,1.0713069786838503e-07
1993,1.0929498422169407e-07
1994,1.0986664492459601e-07
1995,1.0736114695676844e-07
1996,1.1089553242360495e-07
1997,1.0305083940144653e-07
1998,1.0378220042081156e-07
1999,1.1302452164661605e-07
2000,1.2522849676280652e-07
2001,1.2887964438514287e-07
2002,1.3237596518944628e-07
2003,1.336840013133056e-07
2004,1.386222576171825e-07
