year,the scientist
1800,0.0
1801,0.0
1802,0.0
1803,0.0
1804,0.0
1805,0.0
1806,9.913480829888093e-10
1807,9.913480829888093e-10
1808,9.913480829888093e-10
1809,9.913480829888093e-10
1810,9.913480829888093e-10
1811,2.6143081350531765e-09
1812,2.6143081350531765e-09
1813,1.6229600520643673e-09
1814,2.371846719029236e-09
1815,2.371846719029236e-09
1816,2.371846719029236e-09
1817,2.9629585134622567e-09
1818,2.0923055668983383e-09
1819,2.0923055668983383e-09
1820,2.0923055668983383e-09
1821,1.34341889993347e-09
1822,1.34341889993347e-09
1823,1.34341889993347e-09
1824,7.523071055004493e-10
1825,0.0
1826,0.0
1827,7.983187444438045e-10
1828,7.983187444438045e-10
1829,7.983187444438045e-10
1830,7.983187444438045e-10
1831,7.983187444438045e-10
1832,7.983187444438045e-10
1833,1.1721732156339775e-09
1834,3.73854471190173e-10
1835,7.54946391115904e-10
1836,1.0854088104496539e-09
1837,3.6650045220909533e-09
1838,4.370676360514787e-09
1839,4.370676360514787e-09
1840,3.9968218893246134e-09
1841,3.9968218893246134e-09
1842,4.214441018390858e-09
1843,4.478899727290907e-09
1844,4.3632639723512065e-09
1845,3.950784556648403e-09
1846,3.950784556648403e-09
1847,4.4928204965901026e-09
1848,5.001304545107896e-09
1849,4.4025934961159206e-09
1850,4.026383559896374e-09
1851,2.561667544753732e-09
1852,2.7191585808391696e-09
1853,3.137912406105313e-09
1854,2.5958764661636125e-09
1855,5.615419288293059e-09
1856,7.93610896046967e-09
1857,9.064941400690633e-09
1858,8.360224465090279e-09
1859,9.284806748840627e-09
1860,9.844159186224642e-09
1861,1.150379770807421e-08
1862,9.875717450163231e-09
1863,8.052637858112024e-09
1864,8.546331610657733e-09
1865,1.223820138880021e-08
1866,2.0143079791447504e-08
1867,3.25824308961791e-08
1868,4.5527012810480423e-08
1869,6.28801729891342e-08
1870,8.130226617339023e-08
1871,1.0280666100965468e-07
1872,1.2718892593101468e-07
1873,1.4570564537447997e-07
1874,1.7556332538542258e-07
1875,2.0965969758725477e-07
1876,2.437323021345758e-07
1877,2.720939901168507e-07
1878,3.0331768409639993e-07
1879,3.244573721599459e-07
1880,3.480918614621028e-07
1881,3.661755537200305e-07
1882,3.913888925019141e-07
1883,4.1048996370283775e-07
1884,4.938821032458256e-07
1885,5.250850453172466e-07
1886,5.459218156264203e-07
1887,5.981572766623953e-07
1888,5.980598357499138e-07
1889,6.053165976080014e-07
1890,6.424246673678422e-07
1891,6.209635778274349e-07
1892,6.245639054824892e-07
1893,7.140263572783364e-07
1894,7.421935390082369e-07
1895,7.789257052375527e-07
1896,8.432893178359331e-07
1897,8.733411054340223e-07
1898,8.942820372162938e-07
1899,9.524789157071872e-07
1900,9.398920192931521e-07
1901,9.43238254328246e-07
1902,9.75762412774068e-07
1903,9.79471521476784e-07
1904,1.0041511223159359e-06
1905,1.0561384224949675e-06
1906,1.1335997081981678e-06
