year,the scientists
1800,3.3799787413357762e-09
1801,2.703982993068621e-09
1802,2.2533191608905176e-09
1803,1.9314164236204435e-09
1804,0.0
1805,0.0
1806,0.0
1807,0.0
1808,0.0
1809,1.5857179696305528e-09
1810,3.475966054671582e-09
1811,3.475966054671582e-09
1812,3.475966054671582e-09
1813,3.475966054671582e-09
1814,3.475966054671582e-09
1815,3.475966054671582e-09
1816,1.8902480850410288e-09
1817,5.911117944330207e-10
1818,5.911117944330207e-10
1819,5.911117944330207e-10
1820,5.911117944330207e-10
1821,5.911117944330207e-10
1822,5.911117944330207e-10
1823,5.911117944330207e-10
1824,0.0
1825,0.0
1826,4.6492559009030694e-10
1827,4.6492559009030694e-10
1828,1.3382252449036157e-09
1829,1.3382252449036157e-09
1830,1.3382252449036157e-09
1831,1.3382252449036157e-09
1832,1.3382252449036157e-09
1833,8.732996548133087e-10
1834,8.732996548133087e-10
1835,7.621838398514618e-10
1836,1.4231086785189616e-09
1837,1.4231086785189616e-09
1838,1.4231086785189616e-09
1839,1.4231086785189616e-09
1840,1.4231086785189616e-09
1841,1.4231086785189616e-09
1842,1.2596358876594748e-09
1843,8.961716131088743e-10
1844,8.961716131088743e-10
1845,2.655326149435057e-09
1846,3.2336959459351125e-09
1847,3.2336959459351125e-09
1848,3.487937970194009e-09
1849,2.889226921202034e-09
1850,3.0291887411136388e-09
1851,6.026920518209523e-09
1852,4.267765981883339e-09
1853,4.108150010649427e-09
1854,4.108150010649427e-09
1855,4.105909913652641e-09
1856,4.570047848087962e-09
1857,4.357216064145218e-09
1858,7.83907829125598e-09
1859,8.87052762989425e-09
1860,1.1060057171695194e-08
1861,1.299630211385302e-08
1862,1.410140490091091e-08
1863,1.4881292166789097e-08
1864,1.570883721514958e-08
1865,9.727542803007947e-09
1866,1.1138236713900288e-08
1867,2.2195881830912508e-08
1868,3.486385719802294e-08
1869,4.7946582513804156e-08
1870,5.2775548566229095e-08
1871,6.842946219189271e-08
1872,8.804327343371807e-08
1873,1.1500940561808598e-07
1874,1.4033192921988504e-07
1875,1.4585728805701794e-07
1876,1.6474602942168864e-07
1877,1.8266139106033155e-07
1878,1.85123680512029e-07
1879,2.002101989592323e-07
1880,2.0611518917032103e-07
1881,2.403863932037049e-07
1882,2.5570370938104195e-07
1883,2.7477694494340963e-07
1884,2.8392427168074826e-07
1885,3.060156468226438e-07
1886,3.109887243914398e-07
1887,3.156538123264393e-07
1888,2.768737347645457e-07
1889,2.8128485093529114e-07
1890,2.814180996489414e-07
1891,2.834242879120755e-07
1892,2.735694937884757e-07
1893,2.8899993306400316e-07
1894,2.8478435495519043e-07
1895,2.9254761121525317e-07
1896,3.120304648948239e-07
1897,3.059226991730668e-07
1898,3.298740630494227e-07
1899,3.48108981703835e-07
1900,3.610090781869246e-07
1901,3.872644741395196e-07
1902,4.0569474072224156e-07
1903,4.050374379386109e-07
1904,4.2563000051438445e-07
1905,4.302283661391673e-07
1906,4.4909459662179074e-07
1907,4.602551673116295e-07
1908,4.914173071008625e-07
1909,5.080440316694381e-07
1910,5.435592143372097e-07
1911,5.528476127685573e-07
1912,5.860671161071553e-07
1913,6.158039472633651e-07
1914,6.312473136585846e-07
1915,6.471576543860229e-07
1916,6.798252219576894e-07
1917,6.755166048755257e-07
1918,6.991108632955648e-07
1919,7.185539114828998e-07
1920,7.373082297082842e-07
1921,7.842433128299067e-07
1922,8.276779091939294e-07
1923,8.665785801958188e-07
1924,9.0965185124097e-07
1925,9.848637631141142e-07
1926,1.025581774172224e-06
1927,1.0927434611776983e-06
1928,1.1218834871889222e-06
1929,1.1112166711870129e-06
1930,1.1175846703943243e-06
1931,1.178601774652423e-06
1932,1.1868814182897886e-06
1933,1.2154009285986994e-06
1934,1.220524522592216e-06
1935,1.2243251211582366e-06
1936,1.3031490107958836e-06
1937,1.3336166643388277e-06
1938,1.357744038215409e-06
1939,1.426260600036398e-06
1940,1.4365823630362636e-06
1941,1.4759490743238807e-06
1942,1.5674194455377638e-06
1943,1.672894437325973e-06
1944,1.872651821547119e-06
1945,1.9674309904412927e-06
1946,2.0321912087086147e-06
1947,2.120833912552403e-06
1948,2.1491443157170157e-06
1949,2.122695344449913e-06
1950,2.102333034770254e-06
1951,1.996517138788282e-06
1952,1.9913058249950865e-06
1953,2.016705290636927e-06
1954,2.0886838960620935e-06
1955,2.162207102125129e-06
1956,2.274223203916189e-06
1957,2.2950395813633614e-06
1958,2.3312932668773097e-06
1959,2.5172766007537054e-06
1960,2.486187575304452e-06
1961,2.4703200635554723e-06
1962,2.6116836553719788e-06
1963,2.593603628245741e-06
1964,2.5683021738538107e-06
1965,2.6017511451925657e-06
1966,2.3891627107173822e-06
1967,2.3960430147898904e-06
1968,2.38022238338179e-06
1969,2.208492531201906e-06
1970,2.1581918507556404e-06
1971,2.1510919940530874e-06
1972,2.083707640210264e-06
1973,2.0651343406135373e-06
1974,2.00785330787109e-06
1975,1.9503780774548266e-06
1976,1.9207003599015186e-06
1977,1.897547581159691e-06
1978,1.8502255440771317e-06
1979,1.8225915331880418e-06
1980,1.8211655754234764e-06
1981,1.8035270145893328e-06
1982,1.8041082837174014e-06
1983,1.7940770339817748e-06
1984,1.779546121381616e-06
1985,1.7692121246121978e-06
1986,1.7609272123004464e-06
1987,1.7375269500011622e-06
1988,1.7169814618966939e-06
1989,1.6719463066091781e-06
1990,1.6491772153618254e-06
1991,1.634717445345554e-06
1992,1.6248450359159148e-06
1993,1.6071397467446298e-06
1994,1.5966266064180803e-06
1995,1.6014230274562027e-06
1996,1.6128931878967025e-06
1997,1.6196281022372107e-06
1998,1.63115129530362e-06
1999,1.6515894891711014e-06
2000,1.6540901078038976e-06
2001,1.644610983017206e-06
2002,1.6536543968233748e-06
2003,1.6562425756205813e-06
2004,1.6426497428945197e-06
