year,vampire
1800,6.83694298952986e-08
1801,5.995630640853733e-08
1802,5.42989669523782e-08
1803,6.10416143028861e-08
1804,3.761629293766841e-08
1805,3.93492929668631e-08
1806,4.5564437175674554e-08
1807,5.848410822295591e-08
1808,5.5532073669642805e-08
1809,6.340762277139739e-08
1810,6.07583728091348e-08
1811,6.291791570285049e-08
1812,6.766075065302499e-08
1813,6.675096107601674e-08
1814,5.6765281237452266e-08
1815,6.224837407436163e-08
1816,7.854629530917074e-08
1817,9.634485691784838e-08
1818,1.1284079290011359e-07
1819,1.1950397481110186e-07
1820,1.2767957443696585e-07
1821,1.483494665840571e-07
1822,2.2005583098584835e-07
1823,2.038875036104924e-07
1824,2.3449493080640593e-07
1825,2.6700218946906773e-07
1826,2.794005291890349e-07
1827,3.030547265200515e-07
1828,3.0451105345211514e-07
1829,2.628912619024553e-07
1830,2.9488664652989526e-07
1831,2.9103677525098094e-07
1832,2.6918469872175675e-07
1833,2.741631645835391e-07
1834,2.645424391608689e-07
1835,2.8914875259213245e-07
1836,3.1076172153048684e-07
1837,3.0815955666594975e-07
1838,2.9417275206254446e-07
1839,2.8961964934229704e-07
1840,2.8684096358461933e-07
1841,2.988471536584975e-07
1842,2.8633984418467507e-07
1843,2.588163682418606e-07
1844,2.6211667192299615e-07
1845,2.607642413744925e-07
1846,2.607140014352995e-07
1847,3.184407353679879e-07
1848,3.121299937878876e-07
1849,3.0972121077356617e-07
1850,3.1970321989760464e-07
1851,3.2816301390578164e-07
1852,3.434595412521446e-07
1853,3.4426565661708046e-07
1854,3.0338175064211927e-07
1855,3.1314643329188083e-07
1856,3.1458885813811275e-07
1857,3.122089386385442e-07
1858,2.9572797296698437e-07
1859,2.6996308639353525e-07
1860,3.083276456055423e-07
1861,3.1902010985288397e-07
1862,3.396610065272857e-07
1863,3.535517701142814e-07
1864,3.587312579370458e-07
1865,3.758188037915135e-07
1866,4.2633472549117156e-07
1867,4.5015272094011447e-07
1868,4.618179362734866e-07
1869,4.882098793806173e-07
1870,5.03486056783028e-07
1871,5.174572446721625e-07
1872,5.221064618738629e-07
1873,4.922819019093083e-07
1874,4.575506635795534e-07
1875,4.356143133194784e-07
1876,4.254996926863644e-07
1877,4.072139300045511e-07
1878,3.957900035648062e-07
1879,3.886984394669517e-07
1880,3.8931729402185464e-07
1881,3.739909532856395e-07
1882,3.7349202413367824e-07
1883,3.528839603068284e-07
1884,3.6903883184256715e-07
1885,3.770935219638005e-07
1886,3.971866457000825e-07
1887,4.2966849554483743e-07
1888,4.675587036904817e-07
1889,4.910545384286178e-07
1890,5.096241085641598e-07
1891,5.084999438346012e-07
1892,5.139786160806332e-07
1893,5.127174352700539e-07
1894,4.81348810746748e-07
1895,4.54779328957449e-07
1896,4.4194620874016266e-07
1897,4.165025697983842e-07
1898,4.3461724409864034e-07
1899,4.5133167330441945e-07
1900,4.3866086065134725e-07
1901,4.49265848269574e-07
1902,4.426084056723718e-07
1903,4.641289017876764e-07
1904,4.803126115250831e-07
1905,4.6835880925958205e-07
1906,4.7180211229910387e-07
1907,4.947391612576877e-07
1908,4.936068245570928e-07
1909,5.09407319691592e-07
1910,4.921845805202654e-07
1911,4.977740162281918e-07
1912,4.956812803388491e-07
1913,4.977483916463703e-07
1914,5.466877640422243e-07
1915,5.68311817320374e-07
1916,6.111937645833113e-07
1917,6.663413132062297e-07
1918,6.718829334482835e-07
1919,6.997495727935542e-07
1920,7.195662243513517e-07
1921,6.992691100446027e-07
1922,7.03961925260391e-07
1923,6.704513190339663e-07
1924,6.597312937855244e-07
1925,7.91337819335983e-07
1926,7.690876438561287e-07
1927,7.60900107112304e-07
1928,7.513167090371959e-07
1929,7.411192766783512e-07
1930,7.373035581435618e-07
1931,7.478995414089694e-07
1932,6.18421829809027e-07
1933,6.256245376994636e-07
1934,5.78467417014902e-07
1935,5.256901290781205e-07
1936,5.194643123905353e-07
1937,5.177996345980977e-07
1938,4.658755927700043e-07
1939,4.425100631953529e-07
1940,4.418881274226294e-07
1941,5.021022970095957e-07
1942,5.425042198327544e-07
1943,5.596371721594551e-07
1944,5.726883760865624e-07
1945,5.832174479231915e-07
1946,6.080390978015413e-07
1947,5.848035950733227e-07
1948,5.627619404765686e-07
1949,5.584786736559773e-07
1950,5.629098597407076e-07
1951,5.699312184732313e-07
1952,5.719779345397009e-07
1953,5.796092490723787e-07
1954,6.012835744544682e-07
1955,6.188750892390158e-07
1956,6.072738950115207e-07
1957,5.99633875949682e-07
1958,5.944284451965741e-07
1959,6.125177282838885e-07
1960,5.903203351222328e-07
1961,5.717838314568879e-07
1962,5.55044816584273e-07
1963,5.582809325309158e-07
1964,5.486273936420158e-07
1965,5.473106410937488e-07
1966,5.345133430153684e-07
1967,5.561386776812125e-07
1968,5.987855219277298e-07
1969,6.60831686197635e-07
1970,7.232266654127224e-07
1971,7.559309320091603e-07
1972,8.828985115703703e-07
1973,9.833974218434856e-07
1974,1.027886243359128e-06
