year,window
1800,2.351512160458924e-05
1801,2.2834827097995e-05
1802,2.2927972925875416e-05
1803,2.3615783837677945e-05
1804,2.3688714443486398e-05
1805,2.472016002538372e-05
1806,2.5166551783481085e-05
1807,2.422660342306569e-05
1808,2.4231823070002588e-05
1809,2.3603125283346212e-05
1810,2.3507067928513997e-05
1811,2.347923164945444e-05
1812,2.2836847283055507e-05
1813,2.2716480896990887e-05
1814,2.3896924627056902e-05
1815,2.4460366660150612e-05
1816,2.5545001887751694e-05
1817,2.5702051366189543e-05
1818,2.6283633997893825e-05
1819,2.605469524447861e-05
1820,2.6214661890630202e-05
1821,2.5984262050217565e-05
1822,2.7686761520888986e-05
1823,2.796432154030169e-05
1824,2.8244201522349094e-05
1825,2.8277675627107006e-05
1826,2.8274007509107184e-05
1827,2.8120066504909247e-05
1828,2.880833730703866e-05
1829,2.749866568763082e-05
1830,2.806176862536956e-05
1831,2.8221833233033067e-05
1832,2.9198540992021143e-05
1833,3.0032994841024318e-05
1834,3.083521060278014e-05
1835,3.144966947843386e-05
1836,3.251066984181047e-05
1837,3.2430755376416134e-05
1838,3.2602872506361435e-05
1839,3.219552790564454e-05
1840,3.181998474133252e-05
1841,3.2348357880859377e-05
1842,3.1890164811849384e-05
1843,3.177105453541377e-05
1844,3.208644248177604e-05
1845,3.282536919105691e-05
1846,3.34856854310926e-05
1847,3.478158555481059e-05
1848,3.673511337508119e-05
1849,3.77473097695916e-05
1850,3.811689528479941e-05
1851,3.797293691474936e-05
1852,3.760254372764393e-05
1853,3.77036056176751e-05
1854,3.753518326123283e-05
1855,3.5697731034036095e-05
1856,3.495832499668592e-05
1857,3.5350480508051465e-05
1858,3.6311986020466846e-05
1859,3.723471320427052e-05
1860,3.7783781968820615e-05
1861,3.845653034366998e-05
1862,3.9983899455364735e-05
1863,4.0445161979667834e-05
1864,4.1591397697564905e-05
1865,4.2604259525497976e-05
1866,4.3188926205013036e-05
1867,4.3102030685661574e-05
1868,4.352278703631133e-05
1869,4.379593886077211e-05
1870,4.498171028899378e-05
1871,4.584341299310576e-05
1872,4.5161892509375836e-05
1873,4.4610956657769354e-05
1874,4.536459991706059e-05
1875,4.505940763367887e-05
1876,4.44804346021296e-05
1877,4.4316044116905164e-05
1878,4.29812525421117e-05
1879,4.3634060911504745e-05
1880,4.461769920486144e-05
1881,4.4342820006347346e-05
1882,4.454533019173011e-05
1883,4.453787296857367e-05
1884,4.5666264221771205e-05
1885,4.582397947063197e-05
1886,4.502917118186035e-05
1887,4.4035177235660475e-05
1888,4.420158169945612e-05
1889,4.4233996358603425e-05
1890,4.5467487455295804e-05
1891,4.5239450141057856e-05
1892,4.602472386393076e-05
1893,4.8032801511713584e-05
1894,5.045497845555604e-05
1895,5.159212729820086e-05
1896,5.383154746141372e-05
1897,5.564914439608921e-05
1898,5.6807055882148105e-05
1899,5.7575547154036546e-05
1900,5.720274665626286e-05
1901,5.679464944868024e-05
1902,5.655858823112274e-05
1903,5.597635119361907e-05
1904,5.40349317361688e-05
1905,5.312327235580077e-05
1906,5.266636860921738e-05
1907,5.276750151291967e-05
1908,5.256255761716082e-05
1909,5.2825049773933385e-05
1910,5.3755983685732645e-05
1911,5.469078811464507e-05
1912,5.433945375443727e-05
1913,5.420949537437991e-05
1914,5.4485137655189775e-05
1915,5.3916019299192287e-05
1916,5.3866431894026126e-05
1917,5.2378490668810885e-05
1918,5.16495143269172e-05
1919,5.2068011054221385e-05
1920,5.2476822296349776e-05
1921,5.305365825084404e-05
1922,5.3787507080674656e-05
1923,5.473967657313292e-05
1924,5.5184586114722016e-05
1925,5.559324959644333e-05
1926,5.6223211182831226e-05
1927,5.659325799050358e-05
1928,5.602532230243794e-05
1929,5.560902016960816e-05
1930,5.492867688060089e-05
1931,5.466726374184613e-05
1932,5.4339343543168586e-05
1933,5.389946415691936e-05
1934,5.3288896375696435e-05
1935,5.256796365366817e-05
1936,5.1363231445325906e-05
1937,5.027591456447616e-05
1938,4.9741681047115496e-05
1939,4.921281405196558e-05
1940,4.816784488476905e-05
1941,4.7746235915318334e-05
1942,4.7508923752762454e-05
1943,4.926840108510078e-05
1944,4.9933856254418576e-05
1945,5.0128534602273635e-05
1946,5.003256386057079e-05
1947,4.987262936343281e-05
1948,4.970403205918826e-05
1949,4.90205422433324e-05
1950,4.7436725221164776e-05
1951,4.6898635527473486e-05
1952,4.632065019904985e-05
1953,4.5604903334606206e-05
1954,4.49175008887843e-05
1955,4.386824584149248e-05
1956,4.3255924294628904e-05
1957,4.2165594257832186e-05
1958,4.080836572484259e-05
1959,3.9391849311089443e-05
1960,3.8598013296515485e-05
1961,3.771484666361045e-05
1962,3.6748308973853583e-05
1963,3.609004707933699e-05
1964,3.585770686446008e-05
1965,3.547246296875528e-05
1966,3.541598019702568e-05
1967,3.555324394710624e-05
1968,3.556216199740447e-05
1969,3.588941569887538e-05
1970,3.597093330297087e-05
1971,3.6092306621477685e-05
1972,3.634941050937154e-05
1973,3.6935536757352694e-05
1974,3.744645276323614e-05
1975,3.821636641987425e-05
1976,3.908188992746935e-05
1977,4.032410770703011e-05
1978,4.1581644625564097e-05
1979,4.255832068013531e-05
1980,4.349576628166168e-05
1981,4.4372922145287574e-05
1982,4.626152277913726e-05
1983,4.802629603416011e-05
1984,4.96200174049071e-05
1985,5.124116257450494e-05
1986,5.399165167675944e-05
1987,5.764824576155141e-05
1988,6.103237218927201e-05
1989,6.51277021980994e-05
1990,6.924997413599549e-05
1991,7.308451287307045e-05
1992,7.70108445716947e-05
1993,7.937599749701414e-05
1994,8.102850090706073e-05
1995,8.251458978390604e-05
1996,8.25555552442633e-05
1997,8.229371074516427e-05
1998,8.337666791443814e-05
1999,8.451324142047918e-05
2000,8.629258133753735e-05
2001,8.729014936242102e-05
2002,8.834825909313318e-05
2003,8.946576381276827e-05
2004,9.132827165103663e-05
