year,windows
1800,2.4456627997437863e-05
1801,2.3491584818202683e-05
1802,2.3767186452990547e-05
1803,2.4996051653910657e-05
1804,2.5570829779196306e-05
1805,2.637721552137659e-05
1806,2.6571813106914177e-05
1807,2.573425560318096e-05
1808,2.565126379749927e-05
1809,2.4701975226954736e-05
1810,2.43192506356341e-05
1811,2.4579849346244892e-05
1812,2.482302956049612e-05
1813,2.471583942614026e-05
1814,2.5251915141260334e-05
1815,2.6379830395788823e-05
1816,2.7576677270855854e-05
1817,2.681527033335637e-05
1818,2.6661243930042084e-05
1819,2.5061168898332653e-05
1820,2.4401651706235888e-05
1821,2.362072966783606e-05
1822,2.473790412287664e-05
1823,2.466770722061743e-05
1824,2.4741661446471748e-05
1825,2.546477225402149e-05
1826,2.677218342179393e-05
1827,2.6910904225019294e-05
1828,2.8341853158459734e-05
1829,2.638668959978726e-05
1830,2.63321452333035e-05
1831,2.6755515102243927e-05
1832,2.6874390854914054e-05
1833,2.7078165371920348e-05
1834,2.779212122407314e-05
1835,2.8505888082008823e-05
1836,2.9804238583405353e-05
1837,3.0109026149765278e-05
1838,3.0243785382871075e-05
1839,3.0063418092497936e-05
1840,2.9474685427593223e-05
1841,2.953340468739693e-05
1842,2.819242944594537e-05
1843,2.7887847307640963e-05
1844,2.8650698997775438e-05
1845,2.9415462047869107e-05
1846,2.9878461288847443e-05
1847,3.101929159145454e-05
1848,3.308077471534229e-05
1849,3.4007147324440924e-05
1850,3.429229076346019e-05
1851,3.35832989272993e-05
1852,3.2974962469519854e-05
1853,3.227056129568544e-05
1854,3.14843743061439e-05
1855,2.9409400399669853e-05
1856,2.8546797766791447e-05
1857,2.875987271977465e-05
1858,2.9009974318634185e-05
1859,2.9883835939667085e-05
1860,2.993013792109066e-05
1861,2.9939782414040955e-05
1862,3.11532612816531e-05
1863,3.1076079198198515e-05
1864,3.169364926439552e-05
1865,3.165700799659784e-05
1866,3.136203393897371e-05
1867,3.1051257711364345e-05
1868,3.171549857532747e-05
1869,3.132615535962811e-05
1870,3.214087978368038e-05
1871,3.2558338200975155e-05
1872,3.245351784032989e-05
1873,3.2122362763889866e-05
1874,3.309072376721035e-05
1875,3.3058855438282216e-05
1876,3.264414965948552e-05
1877,3.267427835242286e-05
1878,3.196752374330053e-05
1879,3.259961485468921e-05
1880,3.27984569261324e-05
1881,3.214259273574628e-05
1882,3.185275097702547e-05
1883,3.2436275497665126e-05
1884,3.2941678520208886e-05
1885,3.2703439241491386e-05
1886,3.196193331080264e-05
1887,3.1400835618049836e-05
1888,3.1675765618339415e-05
1889,3.148892113001368e-05
1890,3.14291757409332e-05
1891,3.085413127986872e-05
1892,3.0749523984598325e-05
1893,3.172597549954454e-05
1894,3.272466368896078e-05
1895,3.30828729764627e-05
1896,3.434038105102185e-05
1897,3.536270058443084e-05
1898,3.6325574049962075e-05
1899,3.6722890903157736e-05
1900,3.6330234438862264e-05
1901,3.6373814217378306e-05
1902,3.616323881975144e-05
1903,3.60941859461101e-05
1904,3.511988180499819e-05
1905,3.437019151013893e-05
1906,3.4875420291362904e-05
1907,3.515477707846263e-05
1908,3.500185514277681e-05
1909,3.5335164552309705e-05
1910,3.559433500705772e-05
1911,3.6095922277062134e-05
1912,3.6000824163043686e-05
1913,3.531113177197247e-05
1914,3.52188004951261e-05
1915,3.464087925359699e-05
1916,3.408889042637903e-05
1917,3.2931596633391435e-05
1918,3.218757102071582e-05
1919,3.1928852990859014e-05
1920,3.167931335415882e-05
1921,3.209966215373632e-05
1922,3.2470858237892184e-05
1923,3.320787981562847e-05
1924,3.358525604621069e-05
1925,3.394227904404293e-05
1926,3.423937356014253e-05
1927,3.435458370404376e-05
1928,3.3799456965815413e-05
1929,3.3655221289206694e-05
1930,3.307529450629383e-05
1931,3.280871728098386e-05
1932,3.252119576505461e-05
1933,3.238783813230839e-05
1934,3.276172432314135e-05
1935,3.254839489435264e-05
1936,3.19931071593211e-05
1937,3.151536943083296e-05
1938,3.1503637866795285e-05
1939,3.1288109125528407e-05
1940,3.0685960000807556e-05
1941,3.0088512508947523e-05
1942,3.006981851935312e-05
1943,3.1055246202933115e-05
1944,3.1443115956010714e-05
1945,3.154615439728202e-05
1946,3.125357752001686e-05
1947,3.116827258509147e-05
1948,3.096845011896221e-05
1949,3.0324658772380125e-05
1950,2.914066192261089e-05
1951,2.869709840069845e-05
1952,2.803388145723927e-05
1953,2.7816765404103145e-05
1954,2.7371383940330167e-05
1955,2.6796634951356933e-05
1956,2.6368610584930658e-05
1957,2.5729331468937744e-05
1958,2.48027237554587e-05
1959,2.394600086777895e-05
1960,2.3420096178077593e-05
1961,2.298705372335722e-05
1962,2.2552992098618624e-05
1963,2.2277165166022837e-05
1964,2.2209441665056928e-05
1965,2.2161126261315595e-05
1966,2.2262054008998738e-05
1967,2.2263911879300785e-05
1968,2.2233096810201198e-05
1969,2.2310133723684495e-05
1970,2.216379552269895e-05
1971,2.21480952973252e-05
1972,2.2184169413971434e-05
1973,2.23407979465914e-05
1974,2.2438301868987764e-05
1975,2.278610230632694e-05
1976,2.3117715670650796e-05
1977,2.368371729387166e-05
1978,2.4068117373384928e-05
1979,2.4356521894982768e-05
1980,2.4521908569243222e-05
1981,2.47057004441688e-05
1982,2.5061742754977396e-05
1983,2.5415640607207024e-05
1984,2.573798334586692e-05
1985,2.6180319228582706e-05
1986,2.6765526935638005e-05
1987,2.820129170036775e-05
1988,2.9814843433736575e-05
1989,3.327682696051072e-05
1990,3.750617455417731e-05
1991,4.131134515513882e-05
1992,4.6454268028485656e-05
1993,5.10872854257676e-05
1994,5.5761530997447804e-05
1995,6.16363080812984e-05
1996,6.423668518047114e-05
1997,6.699357436446007e-05
1998,7.021166831171805e-05
1999,7.228468738113796e-05
2000,7.607540854743482e-05
2001,7.522823606060618e-05
2002,7.486842271949475e-05
2003,7.604810452903621e-05
2004,7.601321794936666e-05
