year,woman
1800,0.00010049861629113366
1801,9.922540821207803e-05
1802,9.592664014235197e-05
1803,9.861226349780087e-05
1804,9.66890474956017e-05
1805,9.765573765564892e-05
1806,0.00010129948213943862
1807,0.00010049995785266219
1808,0.00010346279168516048
1809,0.00010481631807124359
1810,0.00010289325570868511
1811,0.00010241803303350545
1812,0.0001001302178532829
1813,9.8399294626818e-05
1814,9.814634436874518e-05
1815,9.471736809375996e-05
1816,9.66541889023834e-05
1817,9.979065264685363e-05
1818,0.0001022646096576604
1819,0.00010454057685040295
1820,0.00010830916962082224
1821,0.0001111914061441764
1822,0.00011460335453453548
1823,0.00011447101272616627
1824,0.00011244417571885735
1825,0.00010964386625086522
1826,0.00010620442406304522
1827,0.00010192520130658522
1828,9.924027935020214e-05
1829,9.890302806070395e-05
1830,9.974337534198899e-05
1831,9.936870000209248e-05
1832,0.00010120719338959004
1833,0.00010432095997917454
1834,0.00010575069864314303
1835,0.00010624264002347315
1836,0.00010538917065007678
1837,0.00010522796895072264
1838,0.00010548402266457353
1839,0.00010424510651318997
1840,0.00010425776148232606
1841,0.00010592705919927019
1842,0.00010721458514646136
1843,0.00010664193785357513
1844,0.00010602526698936085
1845,0.0001061072626790909
1846,0.0001061107196359704
1847,0.00010638866323071332
1848,0.00010482190366799062
1849,0.00010661230570414253
1850,0.00010943093301258549
1851,0.00011172402287229488
1852,0.00011354329142575028
1853,0.0001170005616911242
1854,0.00011873570675951279
1855,0.00012107751880258937
1856,0.00012134784011712847
1857,0.00012271418206312643
1858,0.0001262436256053791
1859,0.00012689155112509198
1860,0.00013017993114772253
1861,0.00013400363299557024
1862,0.00013582892298862656
1863,0.00013725767179753996
1864,0.00013982217114971718
1865,0.0001421370729985938
1866,0.00014638898671494514
1867,0.00014890361496457314
1868,0.00015164169053605292
1869,0.00015490523407736743
1870,0.00015862075841661344
1871,0.00015841049727376752
1872,0.00015608370163785627
1873,0.00015481877881029504
1874,0.00015154509563737
1875,0.00014870116196366974
1876,0.00014798867225960879
1877,0.0001457464835376803
1878,0.00014688191147018057
1879,0.00014944033085027643
1880,0.00015372437435092121
1881,0.00015596353744383253
1882,0.0001581116558944424
1883,0.00015881084423848994
1884,0.00016226841151884791
1885,0.0001622274233211231
1886,0.00016281233443545977
1887,0.00015917948245000195
1888,0.00016046275205943466
1889,0.00016153031434181943
1890,0.00016585487336279975
1891,0.00016585613086915276
1892,0.00016920439962372517
1893,0.000173725288602457
1894,0.00018072507711102453
1895,0.00018572761603406562
1896,0.00019179251830792055
1897,0.00019935818415563387
1898,0.00020637856713230055
1899,0.00020782362025784096
1900,0.00020728913282904872
1901,0.00020656958492639078
1902,0.0002026763521436286
1903,0.0002003558027874013
1904,0.00019186176645494667
1905,0.00018731936350897222
1906,0.00018773578007572463
1907,0.00018878944527906633
1908,0.00018977871241077082
1909,0.00019374911257078305
1910,0.00019672318753042158
1911,0.00019906081719714818
1912,0.00019799696227502345
1913,0.00019710673677764134
1914,0.00019455747224128572
1915,0.0001917007496428726
1916,0.00018816921757596513
1917,0.0001825515669874481
1918,0.00017837528827970218
1919,0.0001790863676173363
1920,0.0001794357672874217
1921,0.00018057780692158434
1922,0.00018123956085349036
1923,0.00018334893294585136
1924,0.0001852829562787
1925,0.00018756019094975533
1926,0.00019012906692036528
1927,0.00018942573985571343
1928,0.00018876957074098755
1929,0.00018759120108110698
1930,0.00018473003300251937
1931,0.00018299276208771125
1932,0.00018184700560855811
1933,0.00017760648110457365
1934,0.0001749206442452435
1935,0.00017077236641073666
1936,0.00016686318693765704
1937,0.00016305370939205332
1938,0.00015825964796282018
1939,0.00015422435288720796
1940,0.00014881291554047493
1941,0.00014693702516004644
1942,0.0001460739940739586
1943,0.00014611443605515106
1944,0.00014664240578505475
1945,0.00014578218685658482
1946,0.00014394797588985448
1947,0.0001441236802617953
1948,0.00014123157000410304
1949,0.00013824821118240443
1950,0.000137204596155373
1951,0.00013524734484755236
1952,0.00013506039145535657
1953,0.00013469696503826914
1954,0.00013383060260301654
1955,0.00013307178609725919
1956,0.00013255658983065847
1957,0.00012962037362740375
1958,0.00012787910041619658
1959,0.00012519261651635003
1960,0.00012353242060011586
1961,0.00012141522490440237
1962,0.00012056809438425782
1963,0.00011873598642913359
1964,0.00011819702740467619
1965,0.00011791791777276168
1966,0.00011923354434527156
1967,0.000120788861750043
1968,0.0001230056190511927
1969,0.00012554558699256243
1970,0.00012934380057621247
1971,0.00013328118049165435
1972,0.0001372787524555211
1973,0.0001422269922061657
1974,0.0001468425847893481
1975,0.00015089004812450315
1976,0.00015441854040026165
1977,0.0001587319792244151
1978,0.00016219338171400262
1979,0.00016506370463633045
1980,0.00016709212988124427
1981,0.0001683204779640489
1982,0.00017070041836372444
1983,0.00017224879879254983
1984,0.00017453244436183013
1985,0.00017609580897572284
1986,0.0001786285004397671
1987,0.00018099147837347118
1988,0.00018481373068165598
1989,0.00018837622870445818
1990,0.00019453140924140046
1991,0.00019916421985856556
1992,0.0002038646980508929
1993,0.00020809884959557427
1994,0.0002105505910939038
1995,0.0002125306301812608
1996,0.0002125627660071976
1997,0.00021147961134764567
1998,0.0002089515642832599
1999,0.00020643978028341996
2000,0.00020448732214260547
2001,0.00020494643766661675
2002,0.00020391692896737368
2003,0.00020440015450731155
2004,0.00020324823185546848
